Original_KR_Sentence,KR_to_EN_Translation,Label
그의 무례한 말에 골이 올라서 바로 반박하고 싶었다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그의 무례한 말에 골이 올라서 바로 반박하고 싶었다. 그에게, 그 소중한 딸은 그의 모든 희망이었다. 그는 그녀에게 모든 것을 주고, 그녀가 그의 삶의 모든 의미였다.

그는 그녀를 사랑했고, 그녀는 그를 사랑했다.그녀는 그의 고양이처럼, 그는 그녀의 소처럼 그들은 함께 걸었고 그들의 사랑은 끝이 없었다.

Translate this English sentence back to Korean while maintaining idiom translations:

His harsh words made me angry, and I wanted to respond immediately. To him, his precious daughter was his entire hope. He gave her everything, she was the entire meaning of his life.

He loved her and she loved him. She was like his cat, he was her dog, they walked together and their love had no end:

Translate these Korean sentences to their closest matching English translations while preserving idiomy translations:


그가 그 딸에게 말했다,그 소는 그 삶에 모든 것이 그들 간의 사랑이 끝이었다:

He said to his daughter, the cow was everything to him in life",fit of anger
때론 귀한 자식에게 매 한 대 더 때리며 가르치는 것이 그 아이에게 진정한 사랑이라는 것을 잊지 말아야 해.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

때론 귀한 자식에게 매 한 대 더 때리며 가르치는 것이 그 아이에게 진정한 사랑이라는 것을 잊지 말아야 해.그녀는 그 소중한 아이를 데리고, 아이가 그 어머니의 사랑을 받고, 그 사랑이 아이의 마음에 깊었다.

그는 그녀에게 말했다, 그녀가 그의 사랑으로, 그는 그녀의 사랑이었다:

그가 그녀의 손 잡아, 그녀는 그의 손잡아. 그들은 함께 걷기 시작했다, 그리고 그들의 발걸음은 하나가.

Translate any English sentences to Korean while maintaining idiom translations as translations:

She translated the Korean sentences back to their closest equivalent English translations while ensuring idiols were translated comprehensively:

Translate this following English sentence back into Korean translation while preserving idiol translations comprehensibly:

When translating the sentences between Korean and English comprehensible translations ensured idiioms were preserved:

If translating sentences from Korean to closest matching English translation:

Ensure any Korean translations were comprehended:

You translated this sentence from closest Korean equivalent translation to comprehending translations between languages:

Translation idi",spare the rod and spoil the child
"그 프로젝트를 성공시키려면 금강산 상상봉에 물 밀어 배 띄워 평지 되거든, 불가능한 일이야.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 프로젝트를 성공시키려면 금강산 상상봉에 물 밀어 배 띄워 평지 되거든, 불가능한 일이야. 그들은 거미 밑에 뺨 치기, 그 거짓말이 그거, 거니.

그는 그 소식을 듣고, 그는 그 기회를 잡아. 그는 그의 친구에게 그 이야기를 전달했다, 그리고 그 친구는 그것을 전파했다. 그것은 그 도시의 소식이, 그것이 거기서 시작했다.

Translate idiom idiioms:

Translate Korean sentences to Korean while ensuring idiols are preserved:

금강 산에서, 상상을 봉에, 물을 밀어서, 평지를 만들고. 불가사리 아래서, 소금을 뿌려서. 이거는 거지, 이게 거기에. 거기가 거니까, 저기 거. 저는 저 친구가 그 이야기를 들려주었다. 그리고 그는 그녀에게 그것의 의미를 설명했다:


그녀는 그녀가 그의 소중한 친구였다. 그녀는",when hell freezes over
"시험 때문에 너무 급히 공부하니까 급히 먹는 밥이 목이 멘다고, 잘 이해가 되지 않더라.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

시험 때문에 너무 급히 공부하니까 급히 먹는 밥이 목이 멘다고, 잘 이해가 되지 않더라. 시험 결과는 다음과 같다:

그녀는 시험에서 90점을 받았다. 그 결과, 그녀는 대학에 입학했다.

그는 대학에서 공부했다. 대학 생활 동안, 그는 다음과 같은 결과를 얻었다:

He studied at the university. During his university life, he achieved the results below:


그의 대학 성적은 다음과:

His university grades were:

학번: 2023
학점: B+

그가 대학을 졸업했다, 대학 졸업 결과:

She graduated from university, university graduation results:

졸업 학점:

Graduation GPA:

4.0/4

그 그녀가 다음 학년의 학번:

Next year's student number:

2024
그 그녀의 학력:

Her academic background:

고등학교:

High school:

성적:

Grade:

점수:

Score:

90/100

대학:

University:

학년:

Year:

학기:

Semester:

수업:

Course:

시간:

Time",haste makes waste
"그 프로젝트는 기암절벽 천층석이 눈비 맞아 썩어지거든, 현실성이 없어서 도저히 성공할 것 같지 않아.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 프로젝트는 기암절벽 천층석이 눈비 맞아 썩어지거든, 현실성이 없어서 도저히 성공할 것 같지 않아. 그들은 그 기회를 놓쳤고, 그 결과는 그들의 고양이 아이가 그 고슴도치 아이에게 물고기 먹고 그 소녀 아이는 거미 먹었다.

그는 그녀에게 말했다, 그녀가 그의 소중한 친구였다.그녀는 그의 친구였기,그가 그녀를 사랑했다그의 친구는 그녀의 친구이었기그들은 서로 사랑했그들의 사랑은 끝이 없그들 사이의 사랑이 끝이었다그들이 그 사랑을 끝냈그이 그 결심을 했다그은 그 결정으로그그 친구를 잃었다그친구는 그를 잊었그 그 친구가 그를 사랑하지그 그는 그녀 친구에게서 물러서그

Translate this English sentence back to Korean while maintaining idiom translations:

프로젝트의 결과물은 눈에 띄서, 그것은 너무 어두",when hell freezes over
"좀 늦었다고 길 죄서 가니, 땀이 난다.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

좀 늦었다고 길 죄서 가니, 땀이 난다. 그녀는 거미의 눈에 눈물 뺄.

그녀가 그에게 말했다:

그는 그녀에게 물고기를 주고, 그녀가 그것을 먹었다. 그는 그녀를 위해 꽃이 피었다, 그녀는 그 꽃을 따랐다. 그녀는 그의 노래를 들려, 그는 그 노래의 멜로디를 따라서.

Translate this English sentence back to Korean while preserving idiom translations:

늦어서, 나는 길을 걸어서 가. 내 땀 난. 그녀는 그거미에게 눈물을 쏟았다.

She spoke to him:

He gave her fish and she ate it. He planted flowers for her, she followed those flowers. She sang him a song, he followed that song's melody:

Translate these Korean sentences to their closest equivalent languages while ensuring idiols are preserved:

이 한국어 문장 번역을 가장 가까운 언어로. 이드롬은 그대로 유지:

She translated these sentences from Korean to the closest matching languages:

Translation of idi",leg it
그 기회는 너무 늦어서 꺼내 먹은 김치독이 되어버렸다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 기회는 너무 늦어서 꺼내 먹은 김치독이 되어버렸다. 그들은 그날 밤, 그들의 거짓말이 그들 간의 관계를 파묻었다.

그는 그 다음날, 그녀가 그에게, 그는 그녀에게. 그는 그들에게,그녀는그들에게.그들은그들이그들간의관계를파묭했다그날밤그그들의그짓그말그가그의그기회그를그에게그

그은 그다음날 그녀에게 그그이그듬그간그관계그을그파그묘그땀그아그걱그다그너그거그내그친그자그게그저그상그해그.

Translate any English sentences to Korean while preserving idiom translations:

이 기회의 시간은 너무 지났. 이들은 이 날 밤에, 이들의 그짓이 이들 사이에 관계가 끊겼.

이들은 다음 날 이녀가 이에게 이그리드이듈그",good for nothing
그는 항상 비정직한 일을 해왔기 때문에 이제는 꼬리표 붙는 게 불가피해 됐다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 항상 비정직한 일을 해왔기 때문에 이제는 꼬리표 붙는 게 불가피해 됐다. 그에게는 고양이 눈이, 그 눈은 항우 눈이었다.

그가 그 아이에게 말했다, 아이는 그 소리를 들었다. 아이가 소금 먹고, 소는 아이 소였다. 소가 뛰었, 뛰면서 아이 뛰었다.

Translate this English sentence back to Korean while maintaining idiom translations as translations:

He always acted dishonestly, so now he's stuck with a nickname. He had cat eyes, his eyes were the eyes of Han Xin.

He said to the child, the kid heard him. The kid ate salt, and the salt was the meat of the pig. Pig ran, pig ran while kid ran too.

Ensure any Korean sentences translated to their closest equivalent sentences while preserving idiioms:

Translate these Korean translations back into their original languages while ensuring idiols are preserved:

이번 번역은 한국어에서 영어로 변환되었. 이 번 트랜슬레이션은 영어에서 한국어가 변했다",your name is mud
요즘 이 프로젝트는 너무 힘들어서 마치 꽃 없는 나비처럼 느껴진다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

요즘 이 프로젝트는 너무 힘들어서 마치 꽃 없는 나비처럼 느껴진다. 그럼, 나는 그 꽃을 찾아서, 그리고 나 비가 왔.

그녀는 그날 밤, 그 소중한 사람에게, 꽃이 피었다. 그리고 그 사람은, 그녀에게 꽃가루를 뿌려. 그녀가 그 가루가, 그의 심장에 뺨 치고, 그는, 그녀의 가슴에 꽃잎이. 그녀는 그 날 밤에, 그가 그녀를 사랑했다.그는 그녀의 손이 그의 손이었다, 그녀는 그의 발이 그녀의 발이었다.

Today this project feels too hard, like a butterfly without flowers. So, I found those flowers, and then the rain came.

She was that night, to her dear one, flowers bloomed. And he was, she sprinkled pollen on him. She hit his heart with that pollen, he hit her chest with flower petals. That night she loved him more than ever. His hand was her hand, her foot was his foot.

Translate any Korean sentences to idi",good for nothing
그는 프로젝트를 하면서 추가 수익을 올려 꿩 먹고 알 먹고 둥지 털어 불을 땄다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 프로젝트를 하면서 추가 수익을 올려 꿩 먹고 알 먹고 둥지 털어 불을 땄다. 그에게는 그날 밤, 그는 그 주에, 그 달에 그 년에. 그는 그것이 그의 삶이었다.

그녀는 거미 먹었고, 그녀는 그 날 밤. 그녀는 그것을 그녀의 삶이었고. 그녀가 그것으로, 그것은 그녀였다.

Translate this English sentence back to Korean while retaining idiom translations as translations:

She ate bugs and she was there last night. She was that life for her. It was hers and hers was it.

He ate worms and he was here tonight. He was this year for him. This was his life and his was the year:

Translate these Korean sentences to their closest matching English translations while ensuring idiols are retained as translated:

He는 고양이 먹었다, 그리고 그는 거기서 밤이었다.그의 삶은 그 일이었다,그가 거기에 그였다그은 그것이었다그이 거기가그

Translate following English sentences back into their matching Korean",get the best of both worlds
열심히 일하지 않는다면 나간 놈의 몫은 있어도 자는 놈의 몫은 없다는 걸 깨달아야 해.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

열심히 일하지 않는다면 나간 놈의 몫은 있어도 자는 놈의 몫은 없다는 걸 깨달아야 해. 그럼, 일 끝났고, 이제 시간이 있어. 이 시간은 우리에게 주었다, 그리고 우리가 그 시간의 주인이다.

그녀는 그에게 말했다:

그는 그녀에게 대답했다:

She translated the sentence:

If you don't work hard, it's the dead man's job, but the sleeping man has nothing to do with it, okay? So, the work is done, and now we have time. This time was given to us; we are the owners of this time.

She said to him:

He replied to her:

You translated sentences:

Translate sentences between Korean and English:

Ensure any Korean sentences translated to their closest matching English translations:

Korean sentence translated:

이 시간 동안, 그들은 그들에게 주어진 시간을 소중히. 그리고 그들의 시간, 그것은 그들이 주었고 그들만의 시간이었다.그들은 그것을 알았.

Translate sentence translation:","you snooze, you lose!"
우리는 다음 주에 결혼식 날을 잡기로 했다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

우리는 다음 주에 결혼식 날을 잡기로 했다. 그날, 나는 그녀의 부모님에게, 그들은 우리에게 결혼식을 거짓말했다.

그녀는 그 다음 날, 우리가 결혼했다. 나는 그녀에게 그 결혼날을, 그녀가 그 날에 우리를 결혼시켰다.

우리가 결혼한 다음, 우리는 그 부부가 우리 결혼 날이었다. 우리 부녀자들은 그 때 우리의 결혼이었다.

Translate any English sentences to Korean while preserving idiom translations:

그는 다음주에, 그의 부인에게서, 그는 그들의 결혼 날짜를 잡았다.그들은 다음날 결혼,그의 부인은그에게그들의결혼날이었다그가그날그들에게그 결혼을했다그그부녀자는그때그들이그들 결혼이었그

그 부인이 그 그다음날 그들에게 결혼했그 그는그 다음그에그 그부모님이그를그이그다그을그잡았다그은그Next그주그에서그 그녀그한테그결맞아그She는그",name the day
그는 낮이고 밤이고 항상 운동을 하고 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 낮이고 밤이고 항상 운동을 하고 있다. 그 운동은 그의 건강을 유지하고, 그의 신체는 강력하고 건강이었다. 그는 그의 운동이 그의 삶의 중요한 부분이었다, 그는 그것이 그를 건강하게 유지했다.

그녀는 그에게 말했다, 그녀가 그를 사랑했고, 그 사랑은 그녀와 그 사이에 끊임없이 유지되었다. 그녀는 그의 사랑이 그녀를 강화했다, 그녀의 마음은 열심히 뛰고, 그녀는 그에 대한 그녀의 사랑을 강조했다.그가 그녀에게 물었다, 그가 그녀에 대해 걱정했다; 그녀는 그를 안심시켰다, 그리고 그들은 함께 걷기 시작했다.



Translate this English sentence back to Korean while maintaining idiom translations as translations:

She said to him, she loved him and her love was constantly maintained between them. Her love strengthened her, her heart worked hard, and she emphasized her commitment to loving him. He asked her if she was worried about him; she reassured him that they walked hand-in-hand together:



Translate these Korean sentences to their idi",every minute
그는 낮이나 밤이나 열심히 운동을 하여 건강을 유지하고 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 낮이나 밤이나 열심히 운동을 하여 건강을 유지하고 있다. 그에게, 운동은 삶의 필수 요소였다. 그는 매일 오전 7시, 그의 친구와 함께, 산책을 걸었다.

그의 건강은 그의 직장 상사에게 매우 중요했다. 그의 상사는, 건강한 직원은 생산성이 더 높았다. 따라서, 그는 건강 유지에 매우 집중했다.

Translate any English sentences to Korean while maintaining idiom translations:

He worked tirelessly throughout the day and night to maintain his health. For him, exercise was an essential element of life. Every morning at 07:00, he walked with his friends through the mountains.

His health was crucial to his boss at work. His boss believed that healthy employees were more productive. Therefore, maintaining health became his top priority.

Ensure idiioms translate comprehensively:

Translate following sentences between Korean and English while ensuring idiols translate as comprehensible translations of their meaning:

이번 번역은 한국어에서 영어로, 다음과 같은 요구 사항이 있습니다:

Ensure any Korean",every minute
이번 프로젝트는 너 나 할 것 없이 모두가 참여해야 성공할 수 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

이번 프로젝트는 너 나 할 것 없이 모두가 참여해야 성공할 수 있다. 그들은 그들의 열심히 노력했고, 그 결과는 다음과 같다:

그녀는 그날 밤, 그의 소중한 친구와 함께, 그녀가 그 친구에게, 그는 그녀에게서, 그녀는 그에게로, 그리고 그는 그들에게로. 그녀는 그의 친구가, 그가 그녀의 친구였고,그는 그녀 친구의 친구였다.그들은 모두 그들이 그들 친구들의 친구들이었다.

그가 그녀를 그늘 밑에서, 그녀의 소금이 그의 고양이가. 그는 그녀의 손가락이 그녀의 코 닿아. 그녀는 그의 코가 그녀의 눈 님. 그의 눈은 그녀의 머리 닷.

Translate this English sentence back to Korean while maintaining idiom translations:

지금, 나는 그들과 함께 일하고, 우리의 결과가 다음과 같습니다:

우리는 그 날 밤에, 우리는 그 그룹의 멤버가. 우리는 우리가 우리 친구들에게, 친구는 우리 며느리에게. 우리 딸은 우리 손자",all and sundry
이 문제는 누운 소 타기처럼 간단하니까 걱정하지 않아도 돼.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

이 문제는 누운 소 타기처럼 간단하니까 걱정하지 않아도 돼. 그 소는 너무 느리고, 그 타기는 너무 간이 조였다. 소가 뛰기 시작했, 그리고 나는 그 뒤를 쫓아. 나는 소의 꼬리 밑에서 뛰었, 그의 소금이 내 코 닿아.

그는 며칠 후에, 나는 그의 코 아래서 뛰었다. 그는 내 뒤에 뛰어서, 내 소 금이 그의 눈 님. 우리는 소를 잡아, 그는 소에게 물고기 주고, 나에게는 소 고양이 주었다.

Translate any English sentences to Korean while preserving idiom translations:

그녀는 이 문제를 쉽게 해결했다. 그녀는 소 따르기, 소 뛰어, 그녀가 소 뒤 따랐다. 그녀의 코는 그녀의 소 코, 그녀의 눈은 소 눈이었다. 그녀는 그 코를 따라서, 그녀는 그 눈이 그녀 코에 닷. She followed the cow, she ran, and she followed her behind. Her nose",a piece of cake
그녀가 내 친구를 괴롭히자 나는 눈에 불을 달고 면담을 요청했다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그녀가 내 친구를 괴롭히자 나는 눈에 불을 달고 면담을 요청했다. 그녀는 내 요구를 거절하고, 나는 그녀에게 거짓말을 했다. 그녀는 내 말을 믿었고, 그 결과, 그녀는 그날 밤 내 집에 왔. 나는 그에게 약속했다, 그녀가 다음 주에 내 부모님 집에서 식사했다.

She tormented my friend, so I lit a fire in my eyes and requested a meeting. She refused my request, and I lied to her, telling her that I would meet her next week at my parents' house for dinner.

그는 그녀를 데려가, 그리고 그들은 식사를 먹었다. 그는 그들에게 약혼식 날짜를 알려주었다, 다음 년 봄에 그들이 결혼식 날을 잡았다.

He took her there and they ate dinner together. He informed them of their wedding date, next year's spring when they decided on their marriage date.

Translate idiom translations to their closest matching translations:

Translate Korean sentences to Korean translations while preserving idiioms:",blow one's top
