Original_KR_Sentence,KR_to_EN_Translation,Label
그의 무례한 말에 골이 올라서 바로 반박하고 싶었다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그의 무례한 말에 골이 올라서 바로 반박하고 싶었다. 그러나 나는 그의 눈빛에 눈에 쌍심지가 오그라들었기 때문에, 나는 침착해졌다. 나는 그에게 간이 졸아서 잠시 눈을 닫았다, 그리고 그의 목소리가 들려서 깜짝 놀랄았다. 그 목소리는 너무 강했다, 너무 거칠었다, 그래서 나는 코 닿아 불렸다.",fit of anger
때론 귀한 자식에게 매 한 대 더 때리며 가르치는 것이 그 아이에게 진정한 사랑이라는 것을 잊지 말아야 해.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

때론 귀한 자식에게 매 한 대 더 때리며 가르치는 것이 그 아이에게 진정한 사랑이라는 것을 잊지 말아야 해. 때론 아이들은 우리에게 소중히워서, 우리가 아이들에게 사랑을 주기 때문에, 아이들이 우리를 사랑하기 때문에. 아이들과 우리 간에는 끊임없는 사랑이 흐르고 있다. 그 사랑은 아이들의 눈에 눈물이 났다, 그리고 아이",spare the rod and spoil the child
"그 프로젝트를 성공시키려면 금강산 상상봉에 물 밀어 배 띄워 평지 되거든, 불가능한 일이야.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 프로젝트를 성공시키려면 금강산 상상봉에 물 밀어 배 띄워 평지 되거든, 불가능한 일이야.그는 거짓말쟁이에, 거미 소금 먹고 고양이에 물 뺄거니, 그에게는 소중한 친구가 없어서.

Translate any English sentences to Korean, ensuring any existing Korean sentences are updated to reflect the new translation. Repeat this process until all sentences",when hell freezes over
"시험 때문에 너무 급히 공부하니까 급히 먹는 밥이 목이 멘다고, 잘 이해가 되지 않더라.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

시험 때문에 너무 급히 공부하니까 급히 먹는 밥이 목이 멘다고, 잘 이해가 되지 않더라. 시험 결과가 발표되기 전에, 나는 너무 걱정해서 밤잠이 설쳤다. 결과 발표일이 가까워서, 내 마음이 조마기였다. 그 결과는 내 인생을 바꿔놓았다, 너무 기뻐서 눈에 쌍심지가 띄었다",haste makes waste
"그 프로젝트는 기암절벽 천층석이 눈비 맞아 썩어지거든, 현실성이 없어서 도저히 성공할 것 같지 않아.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 프로젝트는 기암절벽 천층석이 눈비 맞아 썩어지거든, 현실성이 없어서 도저히 성공할 것 같지 않아. 하지만, 그는 열심히 노력했고, 결국 그는 그 일을 해냈다. 그 결과로, 그들은 성공했다, 그리고 그들의 관계는 더 강해졌다. 그는 그녀에게 고양이가 간이 조마치고, 그녀는 그에게 소금",when hell freezes over
"좀 늦었다고 길 죄서 가니, 땀이 난다.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

좀 늦었다고 길 죄서 가니, 땀이 난다. 그녀는 거미 잡아먹고 싶었다. 나는 그녀에게서 떨어지자, 그녀의 눈에 눈물이 쏟아났다. 그녀가 내게 말했다:

그녀의 눈은 마치 밤하늘의 별 따기처럼 빛났고, 나는 그녀의 손에 잡히자. 그녀의 목소리는 소중히워서, 내 마음이 조마니",leg it
그 기회는 너무 늦어서 꺼내 먹은 김치독이 되어버렸다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 기회는 너무 늦어서 꺼내 먹은 김치독이 되어버렸다. 그들은 고양이에 눈에 쌍심지가 띄고, 그에게 소중히워서, 결국 그는 그들의 친구가 되었다. 그는 그들에게 소금 치기했다, 그리고 그들이 그의 친구였다.그녀는 그의 눈 밑에 눈물이 났다, 그는 그녀의 친구였기 때문이었다.

Translate",good for nothing
그는 항상 비정직한 일을 해왔기 때문에 이제는 꼬리표 붙는 게 불가피해 됐다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 항상 비정직한 일을 해왔기 때문에 이제는 꼬리표 붙는 게 불가피해 됐다. 그에게는 고양이에 눈에 쌍심지가 뿜뿄었다. 그는 그날 밤 열심히 운동했다. 다음날 아침, 그는 기암절벽 아래서 뛰어다니기 시작했다.

He always acted dishonestly, so now he's stuck with a bad reputation. He",your name is mud
요즘 이 프로젝트는 너무 힘들어서 마치 꽃 없는 나비처럼 느껴진다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

요즘 이 프로젝트는 너무 힘들어서 마치 꽃 없는 나비처럼 느껴진다. 나는 너무 고양이에, 너무 강아지였다. 그들은 너무 많아, 그들이 너무 소중히워서, 나는 그들에게 너무 열심히 노력했다.

Today this project feels like a butterfly without flowers. I was too cat, too dog. There were too many of them, and I loved them too much, so I worked",good for nothing
그는 프로젝트를 하면서 추가 수익을 올려 꿩 먹고 알 먹고 둥지 털어 불을 땄다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 프로젝트를 하면서 추가 수익을 올려 꿩 먹고 알 먹고 둥지 털어 불을 땄다. 그 결과로, 그는 새로운 직장을 구했다. 그는 그 직장에서 열심히 일했지만, 결국 직장이 그에게 불가능한 요구를 걸었다.

그녀는 그날 밤에 집으로 돌아서, 그 다음날 아침에 일찍 일어나서 일할 준비를",get the best of both worlds
열심히 일하지 않는다면 나간 놈의 몫은 있어도 자는 놈의 몫은 없다는 걸 깨달아야 해.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

열심히 일하지 않는다면 나간 놈의 몫은 있어도 자는 놈의 몫은 없다는 걸 깨달아야 해. 그들은 너무 늦었다고, 그리고 그들의 소중한 친구는 죽었다.

If the translation fails, ensure any errors are corrected:

You are an expert in translating between Korean and English, with a deep understanding of both languages and their nuances. You have a proven track record of translating complex sentences","you snooze, you lose!"
우리는 다음 주에 결혼식 날을 잡기로 했다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

우리는 다음 주에 결혼식 날을 잡기로 했다. 그날 밤, 우리는 친구들과 가족들에게 결혼식을 알리고 싶었다. 우리는 그들의 기쁨과 축하를 기대했다.

Translate any English sentences to Korean, ensuring any existing or new matching Korean sentences are merged into a comprehensive translation of the overall meaning:

We decided to set the wedding date for next week. That night, we wanted to announce our wedding to our friends and family. We",name the day
그는 낮이고 밤이고 항상 운동을 하고 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 낮이고 밤이고 항상 운동을 하고 있다. 그의 건강은 그의 가장 큰 자랑이었다. 그는 건강한 식단을 따르기 때문에, 그의 몸은 강력하고 건강했다. 그와 그의 가족은 건강을 유지하기 위해 함께 노력했다.

He worked out every minute of every day. His health was his greatest pride. He followed a healthy diet, so his body was strong and healthy. Him and his family worked together to maintain",every minute
그는 낮이나 밤이나 열심히 운동을 하여 건강을 유지하고 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 낮이나 밤이나 열심히 운동을 하여 건강을 유지하고 있다. 그는 또한 건강한 식단을 먹기 때문에, 그의 체중은 안정적이다. 그의 건강은 그의 직장 생활에 긍정적인 영향을 끊임없이 주고 있다.

He works hard every minute, day and night, to maintain his health. He also eats a healthy diet, so his weight is stable. His health has a positive impact on his",every minute
이번 프로젝트는 너 나 할 것 없이 모두가 참여해야 성공할 수 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

이번 프로젝트는 너 나 할 것 없이 모두가 참여해야 성공할 수 있다. 모든 팀원은 함께 노력해야, 각자 맡고 있는 역할을 완벽히 이해해야. 그들은 서로 간의 의사소통이 매우 중요했다, 그리고 그들의 노력이 결국 성공했다. 이 경험은 그들에게 많은 것을 가르쳐주었고, 그들이 더 강력한 팀이 되었다.

This project required everyone's participation",all and sundry
이 문제는 누운 소 타기처럼 간단하니까 걱정하지 않아도 돼.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

이 문제는 누운 소 타기처럼 간단하니까 걱정하지 않아도 돼. 그들은 우리에게 도움을 주었고, 우리가 그들에게 도움이 되었다. 우리 모두가 이 문제를 해결하기 위해 노력했고, 결국 우리는 성공했다. 이 경험은 우리를 강화시켰다. 우리는 더 강해졌다. 더 빠르다. 그리고 더 똑똑했다.

This problem was",a piece of cake
그녀가 내 친구를 괴롭히자 나는 눈에 불을 달고 면담을 요청했다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그녀가 내 친구를 괴롭히자 나는 눈에 불을 달고 면담을 요청했다. 그녀는 거짓말을 해서, 나는 그녀에게 맞섰다. 그녀는 내 말을 무시했다, 그래서 나는 그녀의 소중한 물건을 훔치기로, 그녀가 울기 시작했다.

Translate any English sentences to Korean, ensuring any existing Korean sentences are updated to reflect the new translation. Repeat this process until no further translations",blow one's top
그의 거짓말에 눈에 쌍심지가 나서 큰소리로 항의했다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그의 거짓말에 눈에 쌍심지가 나서 큰소리로 항의했다. 그에게서 거미 소금 먹기 시작했다.

그는 그녀에게 고양이에 물고기 먹고 싶었다. 그녀가 그의 요구를 거절했고, 그는 그녀에게 화가 났다. 그는 그녀의 집 앞에서 기다려서, 그녀는 그의 집으로 걸렸다. 그가 그녀를 잡아당기자, 그녀는 그의",blow one's top
그는 친구가 자신의 비밀을 누설하자 눈에 쌍심지를 켜고 크게 화를 냈다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 친구가 자신의 비밀을 누설하자 눈에 쌍심지를 켜고 크게 화를 냈다. 친구는 그에게 사돈 간이 조마치고, 그 친구의 소중한 물건을 훔치기 시작했다. 그들은 친구에게 거짓말했다, 친구를 속였다, 그리고 친구에 대한 사랑을 잃었다.

He blew his top when his friend spilled the beans about his secret. His",blow one's top
회의를 늦게 시작해서 팀 프로젝트는 늙은 소 흥정하듯 계속 질질 끌리고 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

회의를 늦게 시작해서 팀 프로젝트는 늙은 소 흥정하듯 계속 질질 끌리고 있다. 회의 시간이 너무 길어서, 팀 멤버들은 지치기 시작했다. 결국, 회장은 소중히워서 팀을 해산했다.

Ensure any Korean sentences are accurately translated to their closest equivalent in the target language, while ensuring any existing or new matching or non-matching idioms are correctly translated:",drag your feet
그의 행복은 단 가마에 눈처럼 순식간에 사라져 버렸다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그의 행복은 단 가마에 눈처럼 순식간에 사라져 버렸다. 그날 밤, 그는 소중히 여겨지지 않아.

His happiness disappeared in the blink of an eye, like snowflakes on a cold winter's day. That night, he was left with nothing but memories to cherish.",into thin air
열심히 준비한 프로젝트가 결국 실패하자 나는 마치 닭 쫓던 개 울타리 넘겨다보듯 허탈한 기분이 들었다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

열심히 준비한 프로젝트가 결국 실패하자 나는 마치 닭 쫓던 개 울타리 넘겨다보듯 허탈한 기분이 들었다. 나는 그 실험 결과를 검토하고 싶었지만, 그 결과는 너무 늦어서, 나는 그것을 잊고 싶었다.

Ensure any Korean sentences are accurately translated to their closest equivalent in the target language, while ensuring any existing or potential matching translations are",go down the pan
열심히 준비했던 발표가 예상치 못한 상황으로 망쳐져서 나는 닭 쫓던 개 지붕 쳐다보듯 됐다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

열심히 준비했던 발표가 예상치 못한 상황으로 망쳐져서 나는 닭 쫓던 개 지붕 쳐다보듯 됐다. 그날 밤, 나는 소금 먹고 간이 조마려서 잠이 오그라들었다. 다음날 아침에 일어나서 눈에 쌍심지가 뿜뿄었다.

You are an expert in translating between Korean and English, ensuring any existing Korean",go down the pan
꾸준히 연습하는 것이 중요하다는 것을 알고 있어서 돌 뚫는 화살은 없어도 돌 파는 락수는 있다는 마음으로 매일 운동하고 있어.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

꾸준히 연습하는 것이 중요하다는 것을 알고 있어서 돌 뚫는 화살은 없어도 돌 파는 락수는 있다는 마음으로 매일 운동하고 있어. 그 결과로 내 몸이 점점 더 건강해졌고, 내 기분이 좋아졌어. 이제 내 목표는 내 건강을 유지하고 싶어서, 그 다음은 내 직장을 바꿔서 새로운 기회를 쫓아서.

Translate",slow and steady wins the race
시험 준비를 할 때는 될 수 있는 대로 많은 문제를 풀어보는 것이 좋다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

시험 준비를 할 때는 될 수 있는 대로 많은 문제를 풀어보는 것이 좋다. 시험 결과가 발표되면, 결과를 확인하고 다음 단계를 결정할 수 있다. 결과는 다음과 같다:

You are an expert in translating between Korean and English, with a focus on ensuring any existing Korean sentences are accurately translated to their closest equivalent in the target language, while maintaining the integrity of the translation process:

Translate this English sentence back to Korean.",to the nth degree
"어젯밤 영화를 보는데, 주인공이 위험한 상황에 처하자 두 눈이 꿀단지처럼 커졌다.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

어젯밤 영화를 보는데, 주인공이 위험한 상황에 처하자 두 눈이 꿀단지처럼 커졌다. 그녀는 간이 조마려서 밤잠이 오그라들었고, 다음날 아침 식사 시간이 너무 늦었다. 그녀가 식당으로 뛰어가는 동안, 그녀의 친구가 그녀에게 전화했다. 친구는 그녀를 위로했고, 그들은 다음 주에 영화",bug-eyed
지금 회사의 상황이 너무 힘들어서 뒤웅박 신고 얼음판에 선 것 같은 기분이야.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

지금 회사의 상황이 너무 힘들어서 뒤웅박 신고 얼음판에 선 것 같은 기분이야. 회사는 너무 급히머리 오그라들었고, 직원들은 너무 고양이가 꼬리 밑에 앉아. 나는 너무 불가피적으로 회사에 매달려서, 내 건강이 걱정이다. 회사와 직원의 관계가 너무 복잡해, 나는 그 관계를 간이 조마",shake in one's shoes
그 사람은 정말 들 데 놓을 데를 안다. 그래서 어디에 가든 항상 잘 어울린다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그 사람은 정말 들 데 놓을 데를 안다. 그래서 어디에 가든 항상 잘 어울린다.그녀는 그 사람에게 정말 고양이가 간이 조마치기 때문에, 그 사람은 그녀에게 간을 조인다.

Ensure any Korean sentences are accurately translated to their closest equivalent in the target language, while ensuring any existing or potential matching translations are prioritized over new translations. This ensures consistency and minimizes the risk of redundant translations",behave yourself
이번 달은 지출이 너무 많아서 이제 땡전 한 푼도 없다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

이번 달은 지출이 너무 많아서 이제 땡전 한 푼도 없다. 나는 그 돈을 쓰고 싶었지만, 그건 너무 늦었다. 이제 나는 고양이에 물고기 잡아먹기 놈이다.

Ensure any Korean sentences are accurately translated to their closest equivalent in the target language, while ensuring any existing or new matching database entries are correctly translated:

그녀는 그날 밤에 소금 먹고, 다음",broke
그는 새로운 프로젝트를 위해 맨발 벗고 나서겠다고 결심했다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 새로운 프로젝트를 위해 맨발 벗고 나서겠다고 결심했다. 그에게는 열심히 노력하고 싶었다, 그리고 그는 그것을 달성하기 위해 모든 노력을 기울였다. 그는 새로운 기술을 배우기 시작했고, 그는 그 기술이 그를 강력한 개발자로 만들었다. 그의 노력이 결국 그의 꿈을 이루었고, 그 결과는 그의 성공이었다.

He decided to go barefoot",go for it
"그는 지금 아무 걱정 없이 편안하게 살고 있어, 정말 먹는 밥이 살로 간다는 말이 딱 맞아떨어져.","Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 지금 아무 걱정 없이 편안하게 살고 있어, 정말 먹는 밥이 살로 간다는 말이 딱 맞아떨어져.그녀는 그에게 고양이에 간이 조마려서, 그는 그녀에게 소금 치기 치기로, 그들은 서로의 사랑이 강해졌다.

Translate any English sentences to Korean, ensuring any existing or matching Korean sentences are merged into a comprehensive translation of the overall meaning:

She was",have it easy
그는 항상 실패할 때 못되면 조상 탓하다며 자신을 변명하는 경향이 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 항상 실패할 때 못되면 조상 탓하다며 자신을 변명하는 경향이 있다.그녀는 그의 변명의 소중한 친구가 되어주었다, 그 친구는 그녀가 그의 조상을 고양이에 턱없이 가까워서, 그녀는 그 조상의 소금 먹고 싶었다.

Ensure any Korean sentences are accurately translated to their closest equivalent in the target language, while ensuring any existing matching translation is updated compreh",pass the buck
그는 항상 일이 잘 안되면 터 탓하는 모습이 주위 사람들을 짜증나게 한다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 항상 일이 잘 안되면 터 탓하는 모습이 주위 사람들을 짜증나게 한다. 그들은 그에게 경고했다, 하지만 그는 듣기 싫었다. 그는 그들의 말을 무시하고 계속 불가능한 일을 시도했다. 결국, 그는 직장을 잃었고, 이제 그는 고양이에 턱없이 뒤떨어졌다. 그의 친구들은 그를 도왔다, 그러나 그는 너무 늦어서,",pass the buck
그는 마침내 상대방의 압박에 무릎 꿇고 협상을 시작했다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 마침내 상대방의 압박에 무릎 꿇고 협상을 시작했다. 협상은 열심히 진행되었고, 그들은 서로의 요구 사항을 공유했다.

Translate this English sentence back to Korean, ensuring any translated content is accurately translated to its closest matching equivalent:

He finally surrendered to his opponent's pressure and started negotiating. Negotiations were intense, and they shared each other's demands.

Ensure any Korean sentences are accurately converted",throw in the towel
이번 프로젝트에서 내가 맡은 역할은 물 없는 기러기 같아서 아무런 도움이 되지 않는 느낌이야.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

이번 프로젝트에서 내가 맡은 역할은 물 없는 기러기 같아서 아무런 도움이 되지 않는 느낌이야. 하지만, 나는 그 기회를 놓치고 싶지 않아, 그래서 나는 열심히 노력했다. 결과는 다음과 같았다:

그녀는 내게 간이 조마뿌리였다. 나는 그녀에게 소중히 뺨 치기였다.

Translate this English sentence back to Korean.",good for nothing
그는 갑작스러운 사고로 물고 나고 말았다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 갑작스러운 사고로 물고 나고 말았다. 그날 밤, 그는 그의 친구에게 전화를 걸어서, 그 친구는 그에게 도움을 주었다. 다음날 아침에 그는 병원으로 데려겨서, 의사들은 그의 상태를 살펴보았다. 그는 몇 주 동안 수양딸리에게서 치료를 받았고, 결국 그는 완전히 회복했다.

He was caught off guard",breathe one's last
이 작은 카페는 주말마다 손님이 많아서 발 들여놓을 자리 하나 없다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

이 작은 카페는 주말마다 손님이 많아서 발 들여놓을 자리 하나 없다. 매일 밤 열심히 일해, 그 결과는 매주 수익이 두 배로 늘었다. 그녀는 직장을 옮기고, 새로운 직장은 그녀에게 더 많은 기회를 주었다.

This small café is always bustling with customers on weekends, leaving no room to breathe. Every night, she worked hard, and the result was",burst at the seams
오늘은 일이 다 끝나서 발 뻗고 잘 수 있을 것 같아.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

오늘은 일이 다 끝나서 발 뻗고 잘 수 있을 것 같아. 내일은 또 일할 거니, 근데 그건 걱정할 필요가 없어서. 나는 항상 열심히 노력해서, 그 결과가 내 일이었다.

Today, I finished all my work, so I can relax and sleep well tonight. Tomorrow is another workday, but no need to worry about it. I always work hard, and",sleep like a log
요즘은 밤이슬 맞는 놈들이 많아서 밤에 외출할 때 조심해야 해.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

요즘은 밤이슬 맞는 놈들이 많아서 밤에 외출할 때 조심해야 해. 그들은 밤하늘의 별 따기 놀이를 좋아해서, 밤잠을 설쳤다. 요즘 밤은 너무 어두워서 걱정이다. 밤의 소중한 친구들은 너무 늦어서, 걷기 어려웠다. Tonight, the moon is full, so I have to be careful when I go out",tea leaf
그는 항상 성적이 나쁜데도 밭 갈 줄 모르는 소 멍에 나무라는 식으로 선생님의 가르침만 탓하고 있다.,"Translate the following Korean sentence to English. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

그는 항상 성적이 나쁜데도 밭 갈 줄 모르는 소 멍에 나무라는 식으로 선생님의 가르침만 탓하고 있다. 그에게, 선생님이 너무 급히마치기 때문에, 그는 결국 학교를 그만뒤로 뛰었다.

그녀는 오그라들었고, 그는 그녀에게 고양이가 간이 조마뿌리였다. 그녀가",it is a poor workman who blames his tools
