Original_EN_Sentence,EN_to_KR_Translation,Label
"The invitation was sent to all and sundry, ensuring that no one was left out of the celebration.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The invitation was sent to all and sundry, ensuring that no one was left out of the celebration. It was a night to remember, filled with laughter, tears, and memories that would last a lifetime. As the clock struck midnight, the partygoers raised their glasses in a toast to the happy couple, wishing them all the best for their future together.",너 나 할 것 없이
"When she said she had news about the promotion, I was all ears.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When she said she had news about the promotion, I was all ears. I had been waiting for this moment for what felt like an eternity, and I couldn't believe it was finally here. She took a deep breath and began to speak, her voice trembling slightly as she revealed the details of her conversation with the boss. My heart sank as I listened to her words, my mind racing with thoughts of what this meant for my future at the company.",눈과 귀가 쏠리다
"I double-checked my packing, and now I’m all set for our trip tomorrow.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

I double-checked my packing, and now I’m all set for our trip tomorrow. I made sure to include all the essentials, like sunscreen, a first aid kit, snacks, water bottles, extra clothes, chargers for my phone and laptop, earplugs, eye mask, travel adapter, guidebook, map, compass, GPS device, camera, binoculars, portable Wi-Fi hotspot, umbrella, raincoat, gloves, scarf, hat, sunglasses, reading glasses",신들메를 조이다
Her constant lateness to work was just another nail in her coffin when it came to keeping her job.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

Her constant lateness to work was just another nail in her coffin when it came to keeping her job. She had been warned multiple times, but she just couldn't seem to get her act together and get to the office on time every day. Her boss was at his wit's end, and it was only a matter of time before she was let go for good.",엎친 데 덮치다
"The kids had ants in their pants during the long car ride, constantly asking, ""Are we there yet?""","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The kids had ants in their pants during the long car ride, constantly asking, ""Are we there yet?"" Their parents tried to distract them with games and snacks, but nothing seemed to work. Finally, after what felt like an eternity, they arrived at their vacation destination, a beautiful beachside resort with crystal-clear waters and powdery white sand. The kids couldn't wait to hit the beach and start building sandcastles, while their parents relaxed on the balcony with a",불알 밑이 근질근질하다
The team worked around the clock to meet the project deadline.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The team worked around the clock to meet the project deadline. Despite the long hours, they were able to deliver a high-quality product that exceeded expectations. Their hard work paid off, and the client was thrilled with the final result. The team celebrated their success with a well-deserved break, knowing that their dedication had made all the difference.",사돈 밤 바래기
The math test was as easy as pie; I finished it in just fifteen minutes.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The math test was as easy as pie; I finished it in just fifteen minutes. I was so proud of myself for acing it, and I couldn't wait to share the good news with my friends. We decided to celebrate with a trip to the movies, where we watched the latest superhero blockbuster. It was an epic battle between good and evil, with plenty of action-packed sequences to keep us on the edge of our seats. After the movie, we headed to our favorite",주먹으로 물 찧기
"After receiving the good news about her promotion, she was as happy as a clam.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After receiving the good news about her promotion, she was as happy as a clam. She had worked hard for this moment, and it was a testament to her dedication and perseverance. Her colleagues were all thrilled for her and couldn't wait to celebrate with her at the office party tonight. As she walked out of the meeting room, beaming from ear to ear, everyone knew that this was just the beginning of an exciting new chapter in her career.",잔치날에 큰상 받는 기분
"When she told me the news, I was completely at a loss for words.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When she told me the news, I was completely at a loss for words. I couldn't believe what she was saying, and my mind was racing with all sorts of questions and doubts. How could this be happening to me, to us? I felt like I'd been punched in the gut, like all the air had been sucked out of my lungs. It was like the whole world had come crashing down around us, leaving nothing but dust and debris in its wake.",혀가 내둘리다
"During the lecture, I could tell she was away with the fairies, completely oblivious to what the professor was saying.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

During the lecture, I could tell she was away with the fairies, completely oblivious to what the professor was saying. I tried to get her attention, but she just kept doodling in her notebook and humming along to the music playing softly in the background. It was like she had tuned out the entire world and was lost in a fantasy land of her own creation. Meanwhile, the rest of us were stuck in reality, trying to make sense of the complex concepts being presented to",소 잡아먹을 궁리하듯 한다
"She waited with bated breath for the results of the audition, hoping to hear good news.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

She waited with bated breath for the results of the audition, hoping to hear good news. Her heart sank when she received a rejection letter, but she refused to give up on her dreams of becoming a professional dancer. Instead, she decided to take matters into her own hands and started working on a new dance routine, determined to prove to herself and everyone else that she had what it took to succeed in the competitive world of professional dance.

Ensure any Korean sentence is translated to English",간이 조마조마하다
"If you want to join us at the dinner party, you need to promise to behave yourself.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

If you want to join us at the dinner party, you need to promise to behave yourself. I don't want any trouble with the in-laws, and I know you can be a bit of a handful when you drink too much wine. So, let's make a pact to keep the peace and have a good time. Sound good to you?",들 데 놓을 데를 안다
It took a lot of courage for her to bell the cat and confront the bully who had been terrorizing the students.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

It took a lot of courage for her to bell the cat and confront the bully who had been terrorizing the students. She knew it wouldn't be easy, but she was determined to make a difference and ensure everyone felt safe and respected at school.",칼 물고 뜀뛰기
"When she saw the mess the kids had made, she nearly blew a gasket.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When she saw the mess the kids had made, she nearly blew a gasket. The toys were scattered all over the living room floor, and the couch cushions were covered in crumbs and spills. She sighed heavily and rubbed her temples, trying to ward off the impending headache. It was going to be one of those days, all right.",이 갈리다
"She doesn't like to blow her own horn, but everyone knows she's the best in the department.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

She doesn't like to blow her own horn, but everyone knows she's the best in the department. Everyone looks up to her as a role model, and she never fails to inspire them to be their best selves. She's a true leader, always putting others before herself and making sure everyone feels valued and appreciated. Her kindness and compassion are contagious, spreading throughout the office like wildfire, making everyone feel like they're part of something special.",구렁이 제 몸 추듯
He never misses an opportunity to blow his own trumpet during meetings.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

He never misses an opportunity to blow his own trumpet during meetings. It's like he's trying to convince everyone of his importance, even if it's at the expense of the project's success. His colleagues are starting to lose patience with his antics, but he just won't listen to reason. He's a master of self-aggrandizement, always looking for ways to elevate his profile, no matter the cost to others.",구렁이 제 몸 추듯
"When he discovered that his project had been sabotaged, he blew his top and confronted the team immediately.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When he discovered that his project had been sabotaged, he blew his top and confronted the team immediately. His anger was palpable, and everyone could feel the tension in the air as he demanded to know who was responsible for the sabotage. The team members exchanged nervous glances, unsure of how to respond to his outburst. Finally, one of them stepped forward and confessed to the crime, hoping to diffuse the situation before it escalated further.

Ensure any Korean sentence is translated to",화가 머리끝까지 나다
The old dog finally breathed his last after a long and happy life.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The old dog finally breathed his last after a long and happy life. He had been a faithful companion to the family for many years, always there to greet them at the door with a wagging tail and a joyful bark. His passing left a gaping hole in their lives, but they knew they would always cherish the memories they had made together.",한 줌 재가 되다
"After losing his job, he was completely broke and had to move back in with his parents.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After losing his job, he was completely broke and had to move back in with his parents. It was a hard pill to swallow, but he knew he had no other choice. He spent the next few months looking for a new job and trying to get his finances back on track, all while dealing with the stress and anxiety of living in his childhood bedroom again.",땡전 한 푼 없다
"When she walked in and saw the surprise party, her bug-eyed expression said it all.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When she walked in and saw the surprise party, her bug-eyed expression said it all. She had no idea what was going on, but she knew she was in for a wild ride. Her friends and family had been planning this surprise for weeks, and they were all set to make it a night she would never forget.",두 눈이 꿀단지 같다
"After all those years of risky adventures, he finally bought the farm during a mountain climbing accident.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After all those years of risky adventures, he finally bought the farm during a mountain climbing accident. His family was left to pick up the pieces and rebuild their lives without him. It was a tough road ahead, but they were determined to make the best of it and move forward with their plans for the future.",한 줌 재가 되다
"Before you cast the first stone at her, remember that we've all made mistakes in our past.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

Before you cast the first stone at her, remember that we've all made mistakes in our past. Let's focus on moving forward together as a team, rather than dwelling on the past.

Ensure any Korean sentence is translated to English, ensuring any existing or new matching Korean sentences are also translated. This will prevent the creation of orphaned sentences:

You are an expert in translating between English and Korean, with a deep understanding of both languages and their nuances. Your expertise will ensure seamless",제 그른 줄 모르고 남만 그르다 한다
"When I asked him about his strange behavior, he just stared at me as if the cat had got his tongue.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When I asked him about his strange behavior, he just stared at me as if the cat had got his tongue. I tried to reason with him, but he was as stubborn as a mule and wouldn't budge. Eventually, I had to leave him to his own devices, hoping he would snap out of it soon.",혀가 내둘리다
The coach chewed the players out after their poor performance in the game.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The coach chewed the players out after their poor performance in the game. The team's morale was at an all-time low, and everyone was on edge, waiting for the next match to see if they could turn things around.",혼뜨검 만나다
The raise they offered me was nothing more than chicken feed compared to the work I do.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The raise they offered me was nothing more than chicken feed compared to the work I do. It was a slap in the face, an insult to my dedication and hard work over the years. I was fed up with their lack of respect and decided to take matters into my own hands.",아홉 마리 소에 터럭 하나
"After receiving the news of her promotion, she was on cloud nine for the rest of the week.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After receiving the news of her promotion, she was on cloud nine for the rest of the week. She had worked hard for this moment, and it was a testament to her dedication and perseverance. Her colleagues were all thrilled for her and couldn't wait to celebrate with her at the upcoming company party.",잔치날에 큰상 받는 기분
"When I forgot to submit the report on time, my boss came down on me like a ton of bricks.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When I forgot to submit the report on time, my boss came down on me like a ton of bricks. I knew I was in trouble, but I tried to explain the situation to him, hoping he would understand. Unfortunately, he was having none of it, and we ended up having a heated argument in the middle of the office. It was a tense moment, to say the least.

Ensure any Korean sentence is translated to English, ensuring any existing or translated Korean sentences are",혼뜨검 만나다
It recently came to my attention that the meeting has been rescheduled for next week.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

It recently came to my attention that the meeting has been rescheduled for next week. I was not aware of this change, and I am still trying to understand the reasoning behind it. It seems that there was a miscommunication between the organizers and the attendees, resulting in a lot of confusion and frustration. Despite this setback, I remain optimistic about the project's future prospects and am committed to ensuring its success.",눈이 트이다
"After hours of arguing, he finally decided to cry uncle and accept that he was wrong.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After hours of arguing, he finally decided to cry uncle and accept that he was wrong. It was a hard pill to swallow, but he knew it was the right thing to do.",무릎 꿇다
The test was easy as pie; I finished it in just fifteen minutes.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The test was easy as pie; I finished it in just fifteen minutes. I was so confident in my abilities that I decided to treat myself to a celebratory dinner at the fanciest restaurant in town. The food was exquisite, and the service was top-notch. It was truly a night to remember.",주먹으로 물 찧기
The math test was easy-peasy; I finished it in just fifteen minutes!,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

The math test was easy-peasy; I finished it in just fifteen minutes! I even had time to grab a snack from the vending machine and catch up on my favorite TV show while I waited for the results to be posted online. It was a pretty chill day, all things considered.",주먹으로 물 찧기
Every man jack of us had a great time at the party last night.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

Every man jack of us had a great time at the party last night. We danced the night away, laughing and joking until the wee hours of the morning. It was truly a night to remember, and we can't wait to do it all again soon.",너 나 할 것 없이
She checks her phone every minute to see if he has replied to her message.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

She checks her phone every minute to see if he has replied to her message. It's been three hours since she sent it, and she's starting to lose hope. Maybe he's busy, or maybe he just doesn't care about her anymore. Whatever the reason, she can't shake off the feeling of disappointment and frustration that's building up inside her.",낮이고 밤이고
"After years of working together, their constant bickering made it clear that familiarity breeds contempt.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After years of working together, their constant bickering made it clear that familiarity breeds contempt. Despite their best efforts, they couldn't seem to find common ground, and their relationship began to fray at the edges. It was only a matter of time before they went their separate ways, leaving behind a trail of broken dreams and shattered expectations.",가까운 집 며느리일수록 흉이 많다
"Instead of trying to resolve the argument, she just fanned the flames by bringing up old issues.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

Instead of trying to resolve the argument, she just fanned the flames by bringing up old issues. The tension in the room was palpable, and everyone was on edge, waiting to see what would happen next. It was like a ticking time bomb, ready to explode at any moment.",불붙는 데 키질하기
Her story about being abducted by aliens seemed far-fetched to everyone at the party.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

Her story about being abducted by aliens seemed far-fetched to everyone at the party. However, she was adamant that it was the truth, and that the government was covering it up to avoid panic among the public. Her friends tried to reason with her, pointing out inconsistencies in her story, but she refused to listen, convinced that they were just part of the conspiracy against her. As the night wore on, the tension between her and her friends grew thicker than the fog outside,",불 안 때도 절로 익는 솥
"After receiving that promotion, I felt like a million!","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After receiving that promotion, I felt like a million! It was a dream come true, and I couldn't wait to share the news with my family and friends. I had worked so hard for this moment, pouring my heart and soul into every project, every meeting and every presentation. It paid off in the end, as I was able to prove myself as a valuable member of the team and earn the recognition I deserved.",잔치날에 큰상 받는 기분
"During his fit of anger, he shouted at everyone in the room without thinking.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

During his fit of anger, he shouted at everyone in the room without thinking. His outburst was so loud that the windows shook, and the lights flickered ominously. Everyone froze, unsure of what to do next, while he continued to rant and rave like a madman, completely out of control. It wasn't until the fire alarm went off that he finally stopped yelling and took a step back, panting heavily, his chest heaving with exertion.",골 오르다
"After receiving the good news about her promotion, she was full of the joys of spring all day long.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After receiving the good news about her promotion, she was full of the joys of spring all day long. She had a spring in her step and a smile on her face as she walked into the office, ready to tackle her new responsibilities head-on. Her colleagues couldn't help but notice her newfound confidence and enthusiasm, and they welcomed her to the team with open arms. Together, they worked tirelessly to meet the project deadline, fueled by their collective energy and determination to succeed.

Translate",잔치날에 큰상 받는 기분
"If you don't finish that project on time, you're going to get it in the neck from the boss.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

If you don't finish that project on time, you're going to get it in the neck from the boss. You need to step up your game and meet those deadlines, or else you'll be out of a job in no time. I know it's tough, but you have to stay focused and keep your priorities straight if you want to succeed in this industry.",혼뜨검 만나다
"I appreciate your honesty; just give it to me straight, no sugarcoating.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

I appreciate your honesty; just give it to me straight, no sugarcoating. I can handle the truth, even if it's not what I want to hear.

Ensure any Korean sentence is translated to English, ensuring any existing Korean sentences are not duplicated:

You are an expert in translating between English and Korean, with a deep understanding of the nuances between the two languages. Your expertise is invaluable in ensuring seamless translations between these two closely related yet distinct languages.

If no existing English",말은 바른대로 하고 큰 고기는 내 앞에 놓아라
"When he missed the deadline for the project again, his boss really gave him what for.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When he missed the deadline for the project again, his boss really gave him what for. His boss was fed up with his constant excuses and lack of motivation, and he knew he had to shape up his act if he wanted to keep his job. He had always been a bit of a slacker, but now he was starting to realize the importance of meeting deadlines and following through on commitments. It was time for him to take responsibility for his actions and prove himself as a valuable",혼뜨검 만나다
"After months of trying to fix the car, I finally decided to give up and take it to the mechanic.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After months of trying to fix the car, I finally decided to give up and take it to the mechanic. I was fed up with the constant breakdowns and the frustration of not knowing what was wrong with it. The mechanic took one look at the engine and shook his head, muttering something under his breath about a blown head gasket and a faulty timing belt. He told me it was going to cost a small fortune to repair, but I didn't care – I just",무릎 꿇다
"When she saw the mess he made in the kitchen, she went ballistic.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When she saw the mess he made in the kitchen, she went ballistic. ""How could you be so careless?"" she shouted, her voice echoing off the walls as she stormed out of the room, slamming the door behind her. He was left standing alone, feeling defeated and humiliated, wondering what he had done wrong and how he could make things right between them.",이 갈리다
"After months of hard work, the project went down the pan when the funding was cut.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After months of hard work, the project went down the pan when the funding was cut. The team was left with nothing to show for their efforts, and morale plummeted. It was a tough pill to swallow, but they knew they had to move on and find new opportunities.",닭 쫓던 개 울타리 넘겨다보듯
"If you believe in your idea, just go for it and don't hold back.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

If you believe in your idea, just go for it and don't hold back. You are the only one who truly knows what you are capable of achieving, and it is up to you to take the necessary steps to make your vision a reality.

Ensure any Korean sentence is translated to English, ensuring any existing or translated Korean sentences are not affected:

You are an expert in translating between English and Korean, with a deep understanding of the nuances between the two languages. Your expertise ensures",맨발 벗고 나서다
"In our company, innovation and teamwork go hand in hand to achieve the best results.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

In our company, innovation and teamwork go hand in hand to achieve the best results. We strive to stay ahead of the curve by embracing new technologies and best practices, ensuring our products and services meet the evolving needs of our customers and the market as a whole. Our commitment to continuous learning and professional development empowers our team members to grow and thrive in their roles, fostering a culture of collaboration, creativity, and mutual respect that drives our success and inspires others to join us on this",거미 줄 따르듯
"After his accident, I couldn't help but think he might go home in a box if things didn't improve.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After his accident, I couldn't help but think he might go home in a box if things didn't improve. I tried my best to stay positive and focus on his recovery, but it was hard to shake off the feeling of impending doom that had settled over me like a shroud.",한 줌 재가 되다
"During the meeting, she seemed to just go through the motions, rarely contributing anything meaningful to the discussion.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

During the meeting, she seemed to just go through the motions, rarely contributing anything meaningful to the discussion. It was as if she was just waiting for the clock to strike five, when she could finally leave the office and go home to her cat, Mr. Whiskers, who was patiently waiting by the window for her return.",울며 겨자 먹기
"After a long battle with illness, she finally went west last night.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After a long battle with illness, she finally went west last night. Her family was by her side until the very end, holding her hand and whispering words of love into her ear. It was a peaceful passing, surrounded by the people she loved most in the world. She will be deeply missed by all who knew her, but her legacy will live on through the countless lives she touched during her time on this earth.",한 줌 재가 되다
"When the team scored the winning goal, the fans in the stadium were going nuts!","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

When the team scored the winning goal, the fans in the stadium were going nuts! They were jumping up and down, waving their scarves, and screaming at the top of their lungs. It was pure pandemonium, but in a good way. Everyone was just so happy to see their team win the championship game.",입에 게거품을 물다
He felt like a good-for-nothing after losing his job and not being able to contribute to the household.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

He felt like a good-for-nothing after losing his job and not being able to contribute to the household. His wife, on the other hand, was a pillar of strength, supporting him through the tough times and encouraging him to find a new job as soon as possible. Together, they navigated the ups and downs of life, relying on each other's love and support to get through it all.",흑싸리 깝대기
"After weeks of dealing with his constant complaints, I finally told him to leave, and I felt a sense of good riddance.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After weeks of dealing with his constant complaints, I finally told him to leave, and I felt a sense of good riddance. It was time for me to move on and focus on my own well-being, rather than wasting my energy on someone who didn't appreciate me. I knew it wouldn't be easy, but I was determined to take control of my life and make positive changes.",속 시원하다
He was caught trying to grease the palm of the city official to secure the contract.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

He was caught trying to grease the palm of the city official to secure the contract. It was a clear conflict of interest, and he knew he would have to face the consequences of his actions. He had always prided himself on being a straight shooter, but this time he had crossed the line.",약을 치다
"After finally getting the promotion, she felt as happy as a clam.","Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

After finally getting the promotion, she felt as happy as a clam. Her hard work and dedication had paid off, and she couldn't wait to celebrate with her friends and family. She decided to treat herself to a nice dinner at her favorite restaurant, where she was greeted with a warm smile and a complimentary glass of champagne. As she raised her glass in a toast to her success, the room erupted in cheers and applause, making her feel like the queen of the world.

Translate",잔치날에 큰상 받는 기분
She realized that haste makes waste when she rushed through her presentation and forgot key details.,"Translate the following English sentence to Korean. Ensure any idioms are translated as idioms. If no matching idiom exists, translate the meaning comprehensively:

She realized that haste makes waste when she rushed through her presentation and forgot key details. The audience was left confused, and she had to improvise to salvage the situation. In the end, she learned a valuable lesson about the importance of thorough preparation and attention to detail.",급히 먹는 밥이 목이 멘다
