Original_KR_Sentence,Label,KR_to_EN_Translation
 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?,dog's age,"Where have you been? It seems like it's been three generations since I last saw you? 

The first one is a proverb, the second is an idiom, and the third is just a literal translation. Can you identify which is which? Sure, let's break down each sentence and identify the type of translation needed:

1. **Source**: 회사는 불편한 곳이라고 생각하면 친구들 앞에서 회사를 비방하는 거나 마찬가지다.
   - **"
 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?,donkey's years,"It feels like this restaurant has only been around for three generations, but the taste is still the same as ever. The sentence is a play on the idea that the restaurant seems very old, yet it retains its original flavor, suggesting a consistent quality over a long period. 

Here is the translation:

Source: 이 음식점에도 세대가 세 번 바뀌는 동안 오랜 시간이 흘렀지만, 아직도 과거"
 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,duck soup,"It's better to be satisfied with this kind of thing and stop, rather than try to pass off a stepdaughter as a daughter-in-law like a con artist passes off outer-layered money.

The given English translation for the third sentence is incorrect. Please provide the correct translation.
Certainly! Let's correct the translation step by step.

### Original Korean Sentence:
```
겉보미돈 사기比起外皮錢的詐騙更容易，"
 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.,easy-peasy,"A truly capable person can handle complex tasks with ease, like squeezing water out of a stone. The provided translations are accurate and maintain the idiomatic nature of the Korean expressions in English. Here are the translations again for clarity:

1. Source (Korean): ""회사에 부정적인 감정이 있다 해도, 친구들 앞에서 회사를 비방하는 것은 누운 채로 혀를 뽑는 것과 다를 바 없다"
 신입의 개념없는 행동에 팀장님은 골 올라 소리쳤다.,fit of anger,"The team leader raised his voice in exasperation at the new hire's thoughtless actions. To translate the given Korean sentences into English while preserving the idiomatic expressions, we proceed as follows:

1. **Original:**
   - Source (Korean): ""회사에 부정적인 감정을 가지고 있어도 친구들 앞에서 회사를 비방하는 것은 누운 채로 혀를 빨아먹는 것과 다를 바 없다.""
   
   **"
 취직에 성공해 잔치날에 큰상 받는 기분으로 출근하는 것도 그리 오래 가지는 않았다.,full of the joys of spring,"It didn't take long for her to go from celebrating her job success to feeling like she had won a big prize on a holiday. The translations provided maintain the idiomatic nature of the original Korean sentences in English. Here are the translations again for clarity:

1. **Original (Korean):**
   - Source ( KR ): 회사는 부족하다고 느꼈을 때 친구에게 불평하는 것과 같지 않아."
 결국 반복된 지각을 들킨 선배는 제대로 혼뜨검 만나버렸다.,get it in the neck,"In the end, the senior who got caught with repeated tardiness got a well-deserved scolding.

Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부족하다고 생각해도 친구들 앞에서 회사를 비방하는 건 칼을 빼서 배를 찌르는 것과 다를 바 없다.
   Target ( EN ): Even if you think your company has shortcomings, criticizing it in front of friends is akin to"
 팀을 결승까지 올려놓고 결국 부상을 입은 그 선수는 팀이 준우승하는 것을 닭 쫓던 개 울타리 넘겨다보는 심정으로 지켜볼 수 밖에 없었다.,go down the pan,"Having brought the team to the finals only to end up injured, the player could only watch as his team settled for second place, feeling like a dog watching the fence while chasing a chicken. Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부정비즈니스를 하고 있지만, 그"
 그렇게 주인을 지키려 했던 충직한 개는 한 줌 재가 되어버렸다.,go home in a box,"That faithful dog, which had tried so hard to protect its master, ended up as nothing more than a handful of ashes. The ashes of a dog that had struggled to guard its owner are now nothing but a fistful of dust. 

Note: The idiomatic translation provided in the target sentence is not entirely accurate. A more appropriate translation would be: ""The faithful hound that struggled so much to safeguard its lord turned out to be no better than just a few handful"
 그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.,go west,"He was so memorable that he left an indelible mark on people's minds, even as a grain of dust. Sure, here are the translated sentences:

1. Source ( KR ): **회사에 부정적인 감정을 가지고 있어도 친구들 앞에서 회사를 칭찬하는 건 어리석은 짓이다.**
   Target ( EN ): Criticizing your company in front of friends when you're just annoyed with it is as foolish as spitting in your own"
 급히 먹는 밥이 목이 멘다고 그렇게 서두르다가 사고치지 말고 천천히 해라.,haste makes waste,"Eat your food slowly, or you'll choke. Don't rush and end up having an accident.

The given sentence is not an idiom, but rather a proverb or a piece of advice. Here is the correct translation:

**Eat quickly, and you might choke; don't hurry and risk accidents, take your time instead.**

This translation captures the essence of the original Korean proverb, which advises against eating too quickly to avoid choking and potential accidents."
 단 0.5점 차이로 시험에 떨어진 나는 이를 갈며 1년을 더 공부해야 했다.,hit the ceiling,"I had to study for an additional year because I failed the test by a mere half a point, grinding my teeth in frustration. The provided translations are quite good, but let's refine them to ensure they capture the idiomatic essence of the Korean sentences.

1. **Original Korean:**
   - Source ( KR ): 회사는 부족하다고 느꼈지만, 그 이유를 직원들에게 솔직히 말하려 하지"
 계속된 실수에 주눅든 막내는 뒤웅박 신고 얼음판에 선 것 같은 기분으로 일하기 시작했다.,hit the panic button,"The junior, intimidated by the continuous mistakes, began to work with the feeling of standing on an ice rink after reporting to the boss.

The translation of the first sentence is correct. Here are the translations for the other two sentences:

1. **Original Korean:**
   - Source ( KR ): 그⼥는 ⾃⼰的 眼睫边的刺 ⼈이 다.
   
   **Correct English Translation:"
 능력도 없이 덜컥 외제차를 샀다간 고슴되치 외 따 지는 수가 있다.,in the hole,"If you buy a luxury car without the ability, there are only two outcomes: becoming a suckerpunch or a high-maintenance person. The idiom ""고슴복치"" (go-sim-bok-chi) literally means ""suck-punch,"" which is a type of martial arts move, but in this context, it's used metaphorically to mean someone who is gullible or easily taken advantage of, similar to the English id"
 본인의 무능을 감추고자 부하들을 혼내고 닦달하기만 하는 상사에 질린 사람들은 쓸 줄 모르는 것이 책부터 나무란다며 그를 뒷담화했다.,A bad workman blames his tools,"Tired of bosses who only know how to reprimand and nag their subordinates in an attempt to hide their own incompetence, people behind his back referred to him as a man who can't even write a book. To translate the given Korean sentences into English while preserving idiomatic expressions, here are the translations:

1. Source (Korean"
 걱정했던 것과 다르게 그 면접은 주먹으로 물 찧기였다.,a piece of cake,"To my relief, the interview turned out to be a piece of cake. Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부족하다고 생각해도 친구들 앞에서 회사를 비난하는 건 칼로 자신의 손을 찌르는 거와 다를 바 없다.
   Target ( EN ): Even if you think your company has shortcomings, criticizing it in front of friends is akin to cutting your own hand with a knife.

2."
 사업 실패로 갚지 못할 빚을 잔뜩 진 그는 한 줌 재가 되는 길을 택했다.,kick the bucket,"Bankrupted by his business failure and saddled with debts he could never hope to pay, he chose the path of becoming a nobody.

Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부족하다고 느껴져도 친구에게 자신의 문제를 털어놓는 것과는 다르다.
   Target ( EN ): Even if you feel your company lacks something, confiding your problems to a"
 그 소방관은 불 속에서 사람을 구하다 한 줌 재가 되어 우리들의 마음속에 묻혔습니다.,meet one's death,"The firefighter was engulfed in a cloud of ashes as he rescued a person from the flames, and his image remains etched in our hearts. Sure, here are the translated sentences:

1. Source ( KR ): **회사에 부정적인 감정을 가지고 있어도 친구들 앞에서 나쁘게 말하는 것은 누운 채로 혀를 빨아들이는 것과 다를 바 없다.**
   Target ("
 머리 나쁘고 성격 안좋기로 꼬리표 붙은 것 치고는 직접 만나보니 괜찮은 사람이었다.,name is mud,"Given her reputation for having a bad head and an unpleasant personality, I was surprised to find her to be a pretty nice person when I met her in person. Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부족해도 친구처럼 지낼 수 있는 사람들이 있어.
   Target ( EN ): Even if a company has its shortcomings, there are people you can treat like friends.

2"
 내 동생이 나보다 먼저 여친과 날 잡는 이야기를 하는 것을 보니 조금 씁쓸하네.,name the day,"Seeing my brother talk about getting engaged to his girlfriend before me makes me a little bitter. The provided translations are accurate and maintain the idiomatic nature of the Korean expressions in English. Here are the translations again for clarity:

1. **Original:**
   - Source (Korean): ""회사에 부정적인 감정을 가지고 있다고 하더라도 동기들에게 불리한 소식을 전하는 것은 누운 채로 혀를 빨"
 손주들의 정성들어간 선물을 받고 할아버지는 잔치날에 큰상 받은 기분을 느꼈다고 한다.,on top of the world,"The grandfather reportedly felt like he had won a big prize on award-giving day after receiving presents from his grandchildren that were filled with their heartfelt efforts.

Sure, here are the translations:

1. Source ( KR ): 회사는 불편한 점이 있어도 친구들에게나 가족들에게 불평을 하면 되지, 회사를 떠나는 것은 절대적인 선택이 아니야.
   Target ("
 주장이 레드카드를 받은 그 날 엎친 데 덮친 격으로 에이스 선수가 부상을 당하며 그 팀은 탈락 위기를 맞았다.,out of the frying pan into the fire,"On the day that the player received a red card, the ace player got injured, compounding the team's crisis and putting them in danger of elimination. The player receiving a ""red card"" is an idiomatic expression referring to a player being sent off the field in a sports context due to misconduct, and the phrase ""putting [someone] in [some state] 's"
 그 휴대폰의 신기능은 설명을 들어도 모르겠는게 외 얽고 벽 친 기분이었다.,go over one's head,"Trying to understand the new features of that phone was like trying to untangle a ball of yarn while banging my head against a wall. The source Korean sentences have been translated into idiomatic English as follows:

1. **Original:**
   - Source (Korean): ""회사에 부정적인 감정을 가지고 있어도, 그것으로 인해 동기들을 비방하는 것은 누운 채로 혀를 빨"
 그 공연은 몹시 즐거웠고 관객들은 전부 입이 가로 터졌다.,over the moon,"The performance was extremely enjoyable, and the audience's mouths dropped open in unison. The source Korean sentences have been translated into idiomatic English as follows:

1. **Original:**
   - Source (Korean): ""회사에 부정적인 감정을 가지고 있다고 하더라도, 친구들 앞에서 회사를 비방하는 것은 누운 채로 혀를 빨아들이는 것과 다를 바 없다.""
   
   **Translation:"
 어차피 살 시간이 얼마 남지 않았는데 한 줌 재가 되기 전에 좋은 일을 많이 해야겠다.,pass away,"Since I don't have much time left to live, I should do as much good as possible before I'm just ashes.

Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부족하다고 느껴져도 친구들 앞에서 회사를 비난하는 것은 누운 채로 혀를 빨아들이는 것과 다를 바 없다.
   Target ( EN ): Even if you feel there are shortcomings in"
 매치포인트의 경기를 지켜보는 국민 모두가 뒤웅박 신고 얼음판에 선 것 같이 긴장하고 있었다.,press the panic button,"All the citizens watching the match point were on the edge of their seats, as if they were standing on an ice rink. The citizens were all on tenterhooks, with their hearts in their throats, just like someone standing at the brink of an icy pond.

Your translation of the first sentence is correct. Here are the translations for the other two sentences, ensuring that the idiomatic expressions are preserved:

1. Source ( KR"
 그가 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.,quake in one's boots,"When you see him really angry, it's natural for your knees to turn to jelly. Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부족하다고 생각해도 친구에게 불평하는 것보다 나은 방법이 많다.
   Target ( EN ): Even if you think a company has shortcomings, there are better ways than complaining to a friend.

2. Original Source and Target: 
   - Korean ( Source ): 그 여자는 진"
 우리 아버지는 검은 머리 파 뿌리 되도록 사시면서도 감기 한번 걸리는 일 없었다.,ripe old age,"Our father had black hair all the way to the roots and never once caught a cold while he was alive. The provided translations are accurate and maintain the idiomatic nature of the Korean phrases in English. Here are the translations again for clarity:

1. **Original:**
   - Source (Korean): ""회사에 부정적인 감정을 가지고 있어도, 그것이 이유가 될 수는 없어. 회사를 비난하는 대신에, 동"
 그 부대는 지휘관을 잃자마자 손쉽게 무릎 꿇고 말았다.,say uncle,"The unit readily surrendered as soon as its commander was lost.

The task is asking for the translation of Korean sentences into English while ensuring that idiomatic expressions are translated as such. Here are the translations:

1. **Original Korean:**
   - Source ( KR ) : 회사는 부족하다고 느끼고 있지만, 그 이유로 친구들 앞에서 그를 비난하는 건 칼로 자신의 가슴을 찌르는 것과 다를 바 없다"
 모두 가짜라는 것을 알고 있는데도 그 공포의 집에 들어간 순간 간이 오그라들었다.,shake in one's boots,"Even though they all knew it was a fake, their knees went weak the moment they stepped into that house of horrors. Source ( KR ): 모두가 거짓임을 알고 있음에도 불구하고 그 두려운 집으로 들어가자마자 무릎이 약해졌다.
**Translation ( EN ):** Despite knowing it to be afake,their knees turned weak as soon as they entered that terrifying house. **(Alternatively, you could also say: )** Even"
 가족을 먹여살리고자 밤낮 없이 일하다 불의의 사고로 한 줌 재가 되어버린 그가 남긴 자산을 그리 많지 않았다.,shuffle off this mortal coil,"Working day and night to support his family, he was reduced to ashes in an accidental accident, leaving behind not much in assets. The source sentence can be translated as follows:

**Original (Korean):** 
"" FAMILY TO EARN A LIVING AND WORK DAY AND NIGHT, HE WAS REDUCED TO ASHES IN AN ACCIDENTAL INCIDENT, LEAVING BEHIND"
 우리가 매일 발 뻗고 잘 수 있는건 군인들의 노고가 있기 때문이다.,sleep like a log,"We are able to stretch out our legs and sleep every day because of the hard work of our soldiers. The translations are as follows:

1. Source (Korean): ""회사에 부정적인 감정을 가지고 있어도 친구들에게 회사를 비방하는 말을 하지 않는 것과 비슷해.""
   Target (English): It's similar to criticizing your company to your friends even when you don't have any negative feelings about it.

2. Original Source: ""그녀"
 나는 오늘 당한 억울한 일 생각에 이가 갈려 잠을 설쳤다.,spit blood,"I lay awake at night, my teeth gritted, thinking of the injustice I endured today. The provided translations are quite good, but let's refine them a bit to ensure they capture the idiomatic essence accurately.

1. Source (Korean): ""회사에 부정적인 감정을 가지고 있어도 동기들에게 칭찬을 해주고 친절하게 대하는 것이 중요하다.""
   Target (English): It's important to praise and be kind to colleagues even if you"
 웬 밤이슬 맞는 놈이 내 자전거를 가져갔어!,tea leaf,"Who the heck stole my bicycle in the middle of the night! Source: That's a pretty direct translation. Here are the idiomatic translations for the given Korean sentences:

1. Source ( KR ): 회사는 불편한 곳이지만, 그곳에서 돈을 버는 건 필수야.
   Target ( EN ): It may be an uncomfortable place, but you need to make a living there.

2. (Original sentences provided for context)
   Source 1: (Korean)"
 그 가족의 이야기는 모두의 눈뿌리를 뜨거워지게 하였다.,tear-jerking,"The story of that family had everyone's blood boiling. Sure, here are the translations with idiomatic expressions preserved:

1. Source ( KR ): 회사는 불편한 점이 있다 해도 친구들 앞에서 회사를 비방하는 것은 누운 채로 혀를 빨아들이는 것과 다를 바 없다.
   Target ( EN ): Even if there are things you don't like about a company, spreading negative comments about it to your friends is"
 그 경기장에서 일하면 돈도 벌면서 경기도 공짜로 보니 굿도 볼 겸 떡도 먹을 겸 아니겠어?,the best of both worlds,"Working at that stadium means I can earn money while getting to watch the games for free, so why not give it a try and grab a bite to eat while I'm at it?

Sure, here are the translated sentences:

1. Source ( KR ): 회사는 부족해도 친구는 많아야 한다.
   Target ( EN ): Even if a company lacks something, it should have plenty of"
 반칙까지 써가면서 경기를 했음에도 득점을 못하자 그들은 결국 무릎 꿇고 말았다.,throw in the towel,"Though they had resorted to cheating in the game and failed to score, they eventually knelt down. To translate the given Korean sentences into English while preserving the idiomatic expressions, here are the translations:

1. **Original:**
   - Source (Korean): ""회사에 부정적인 감정을 가지고 있어도 친구들 앞에서 회사를 비방하는 것은 누운 채로 혀를 빨아"
 그 교관님은 첫날부터 우리를 될 수 있는 대로 뛰게 만들었다.,to the nth degree,"That teacher made us run ourselves into the ground from day one. The source sentence translates to: ""That teacher pushed us to our limits from the very first day."" 

A more idiomatic English translation would be:
""That teacher had us running ourselves ragged from Day One.""

This conveys the idea of being pushed to the extreme limits of one's physical and mental capacity, which is a common idiom in English to describe intense and exhausting work or training. ""Running ourselves out"" is an id"
 비리를 들킨 김 과장은 끝끝내 콩밥 맛을 보고야 말았다.,up the river,"Kim, the deputy director who exposed the corruption, finally got to taste the bean porridge. To translate the given Korean sentences into English while preserving the idiomatic expressions, here are the translations:

1. Source ( KR ): 회사는 불편한 점이 있어도 친구들 앞에서 비난하지 않는 것이 가장 좋다.
   Target ( EN ): It's best not to criticize your friends in front of them, even if you find something uncomfortable about"
 복권이 당첨된 아저씨는 입이 가로 터져 소리 질렀다.,walking on air,"The old man whose lottery ticket was drawn shouted with his mouth wide open. 

Note: The last sentence is a literal translation and does not contain an idiom. To translate the given Korean sentences into English while preserving idiomatic expressions, let's go through each one step by step:

1. **Original:**
   - Source (Korean): ""회사에 부정적인 감정을 가지고 있는 사람이라 해도 친구들에게 비난의 목소리를 높"
