Idiom,Meaning,KR_Idiom,KR_Meaning,Similarity,Sentence,KR_Sentence
dog's age,a very long time,삼대 구 년 만에,매우 오랜만에.,0.9, I haven't seen you in a dog's age!, 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?
donkey's years,an extremely long time,삼대 구 년 만에,매우 오랜만에.,0.87, I've been a vegetarian for donkey's years., 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?
duck soup,Something that is easy to do or accomplish,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다, 아주 하기 쉬운 일을 비유적으로 이르는 말.,0.81, The trip was duck soup for experienced travelers., 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.
easy-peasy,extremely easy; very simple,주먹으로 물 찧기,일이 매우 쉽다는 말.,0.84, Ella thinks it's going to easy-peasy, 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.
fit of anger,an intense outbreak of anger or rage,골 오르다,화가 치밀어 오르다.,0.9, The professor told him not to attend his class in a fit of anger., 신입의 개념없는 행동에 팀장님은 골 올라 소리쳤다.
full of the joys of spring,"to be extremely happy, joyful, or enthusiastic",잔치날에 큰상 받는 기분,대단히 기쁘고 흡족함을 비유적으로 이르는 말.,0.83, He bounced into the office full of the joys of spring, 취직에 성공해 잔치날에 큰상 받는 기분으로 출근하는 것도 그리 오래 가지는 않았다.
get it in the neck,"to receive severe criticism, punishment, or a negative outcome",혼뜨검 만나다,몹시 꾸지람을 듣거나 벌을 받게 되다.,0.82, Poor old Bob got it in the neck for being late., 결국 반복된 지각을 들킨 선배는 제대로 혼뜨검 만나버렸다.
go down the pan,to fail or deteriorate; to be unsuccessful or go to ruin,닭 쫓던 개 울타리 넘겨다보듯, 애써 하던 일이 실패로 돌아가거나 남보다 뒤떨어져 어찌할 도리가 없이 됨을 비유적으로 이르는 말.,0.82, We don't want to see our business go down the pan., 팀을 결승까지 올려놓고 결국 부상을 입은 그 선수는 팀이 준우승하는 것을 닭 쫓던 개 울타리 넘겨다보는 심정으로 지켜볼 수 밖에 없었다.
go home in a box,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82, When I served in Vietnam I definitely thought I'd be going home in a box but luck was on my side., 그렇게 주인을 지키려 했던 충직한 개는 한 줌 재가 되어버렸다.
go west,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82, When he went west he wanted to be remembered., 그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.
haste makes waste,Rushing or being too hasty can result in mistakes or wasted effort.,급히 먹는 밥이 목이 멘다,너무 급히 서둘러 일을 하면 잘못하고 실패하게 됨을 비유적으로 이르는 말.,0.83, "Haste makes waste, so check them thoroughly before submitting them.", 급히 먹는 밥이 목이 멘다고 그렇게 서두르다가 사고치지 말고 천천히 해라.
hit the ceiling,to become extremely angry; to lose one's temper,이 갈리다,몹시 화가 나거나 분을 참지 못하여 독한 마음이 생기다.,0.82,Dad'll hit the ceiling when he finds out I've left school., 단 0.5점 차이로 시험에 떨어진 나는 이를 갈며 1년을 더 공부해야 했다.
hit the panic button,to become very worried or anxious; to react to a situation with excessive fear or alarm,뒤웅박 신고 얼음판에 선 것 같다,몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.,0.81,The coach isn't going to hit the panic button just because we lost two games., 계속된 실수에 주눅든 막내는 뒤웅박 신고 얼음판에 선 것 같은 기분으로 일하기 시작했다.
in the hole,owing money; in debt,고슴도치 외 따 지듯, 빚을 많이 짊어짐을 비유적으로 이르는 말.,0.82,We’re still in the hole on our credit cards., 능력도 없이 덜컥 외제차를 샀다간 고슴되치 외 따 지는 수가 있다.
A bad workman blames his tools,An incompetent person will often make excuses or shift blame onto their tools or equipment rather than admitting their own lack of skill.,쓸 줄 모르는 것이 책부터 나무란다,"기술과 능력이 부족한 사람이 객관적인 조건만 탓하는 경우를 비유적으로 이르는 말.,할 줄 모르면서 재료만 탓함을 비유적으로 이르는 말.",0.8,"Seeing me angry upon my team,the coach came up to me and told that a bad workman blames his tools.", 본인의 무능을 감추고자 부하들을 혼내고 닦달하기만 하는 상사에 질린 사람들은 쓸 줄 모르는 것이 책부터 나무란다며 그를 뒷담화했다.
a piece of cake,Something is very easy or simple.,주먹으로 물 찧기,일이 매우 쉽다는 말.,0.86,The exam was a piece of cake., 걱정했던 것과 다르게 그 면접은 주먹으로 물 찧기였다.
kick the bucket,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82,"If a computer could say precisely when you were going to kick the bucket, would you want to know?", 사업 실패로 갚지 못할 빚을 잔뜩 진 그는 한 줌 재가 되는 길을 택했다.
meet one's death,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82,No one knows exactly how or where he met his death., 그 소방관은 불 속에서 사람을 구하다 한 줌 재가 되어 우리들의 마음속에 묻혔습니다.
name is mud,to have a bad reputation or be highly discredited; to be viewed negatively or unfavorably,꼬리표 붙다,어떤 사람에게 나쁜 평가나 평판이 내려지다.,0.82,"If he doesn't turn up tonight, his name will be mud.", 머리 나쁘고 성격 안좋기로 꼬리표 붙은 것 치고는 직접 만나보니 괜찮은 사람이었다.
name the day,to set a date for a wedding or other significant event,날 잡다,"결혼식 날짜를 정하다.,어떤 일에 대비하여 미리 날을 정하다.",0.81,When are you going to name the day?, 내 동생이 나보다 먼저 여친과 날 잡는 이야기를 하는 것을 보니 조금 씁쓸하네.
on top of the world,extremely happy or successful,잔치날에 큰상 받는 기분,대단히 기쁘고 흡족함을 비유적으로 이르는 말.,0.8,She was feeling on top of the world after winning the tennis tournament., 손주들의 정성들어간 선물을 받고 할아버지는 잔치날에 큰상 받은 기분을 느꼈다고 한다.
out of the frying pan into the fire,going from a bad or difficult situation to an even worse one,엎친 데 덮치다,어렵거나 나쁜 일이 겹치어 일어나다.,0.8,Many kids who try to run away from unhappy homes discover that they've jumped out of the frying pan into the fire when they try to live on their own., 주장이 레드카드를 받은 그 날 엎친 데 덮친 격으로 에이스 선수가 부상을 당하며 그 팀은 탈락 위기를 맞았다.
go over one's head,not understanding something; beyond one's comprehension,외 얽고 벽 친다, 사물을 이해하지 못함을 이르는 말.,0.8,"I tried to take in what he was saying about nuclear fusion, but most of it went over my head.", 그 휴대폰의 신기능은 설명을 들어도 모르겠는게 외 얽고 벽 친 기분이었다.
over the moon,extremely happy or delighted,입이 가로 터지다,기쁘거나 즐거워 입이 크게 벌어지다.,0.83,She was over the moon about her new bike., 그 공연은 몹시 즐거웠고 관객들은 전부 입이 가로 터졌다.
pass away,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82,She's terribly upset because her father passed away last week., 어차피 살 시간이 얼마 남지 않았는데 한 줌 재가 되기 전에 좋은 일을 많이 해야겠다.
press the panic button,to become extremely anxious or panicked in a challenging or difficult situation,뒤웅박 신고 얼음판에 선 것 같다,몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.,0.8,The coach isn't going to press the panic button just because we lost two games., 매치포인트의 경기를 지켜보는 국민 모두가 뒤웅박 신고 얼음판에 선 것 같이 긴장하고 있었다.
quake in one's boots,to be extremely scared or frightened,간이 오그라들다,몹시 두려워지거나 무서워지다.,0.93,"Charlie stood outside the head teacher's office, quaking in his boots.", 그가 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.
ripe old age,living to a very old age,검은 머리 파 뿌리 되도록, 오래 살아 아주 늙을 때까지를 이르는 말.,0.81,I'm sure he'll live to a ripe old age., 우리 아버지는 검은 머리 파 뿌리 되도록 사시면서도 감기 한번 걸리는 일 없었다.
say uncle,to admit defeat or surrender,무릎 꿇다,항복하거나 굴복하다.,0.88,They ganged up on him in the schoolyard and made him say uncle., 그 부대는 지휘관을 잃자마자 손쉽게 무릎 꿇고 말았다.
shake in one's boots,To be extremely frightened or scared,간이 오그라들다,몹시 두려워지거나 무서워지다.,0.93,She said she was shaking in her boots when she found out the patient was a doctor., 모두 가짜라는 것을 알고 있는데도 그 공포의 집에 들어간 순간 간이 오그라들었다.
shuffle off this mortal coil,to die,한 줌 재가 되다,‘죽다’를 비유적으로 이르는 말.,0.82,My children can't wait for me to shuffle off this mortal coil so they can get their hands on their inheritance., 가족을 먹여살리고자 밤낮 없이 일하다 불의의 사고로 한 줌 재가 되어버린 그가 남긴 자산을 그리 많지 않았다.
sleep like a log,to sleep deeply and soundly,발 뻗고 자다,마음 놓고 편히 자다.,0.81,I went to bed early and slept like a log., 우리가 매일 발 뻗고 잘 수 있는건 군인들의 노고가 있기 때문이다.
spit blood,to be extremely angry or furious,이 갈리다,몹시 화가 나거나 분을 참지 못하여 독한 마음이 생기다.,0.8,I thought he was going to spit blood when he saw what had happened., 나는 오늘 당한 억울한 일 생각에 이가 갈려 잠을 설쳤다.
tea leaf,slang term for a thief or someone who steals,밤이슬 맞는 놈, ‘도둑’을 비유적으로 이르는 말.,0.84,I think some tea leaf stole my wallet!, 웬 밤이슬 맞는 놈이 내 자전거를 가져갔어!
tear-jerking,"emotionally moving or highly emotional, often causing tears to be shed",눈뿌리가 뜨겁다,슬프거나 깊은 감동을 받아 눈물이 핑 돌면서 가슴에 강한 자극이 일어나다.,0.88,This movie is a total tear-jerking for anyone who has lost a parent., 그 가족의 이야기는 모두의 눈뿌리를 뜨거워지게 하였다.
the best of both worlds,having the advantages or benefits of two different things at the same time,굿도 볼 겸 떡도 먹을 겸,한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.,0.82,"She works in the city and lives in the country, so she gets the best of both worlds.", 그 경기장에서 일하면 돈도 벌면서 경기도 공짜로 보니 굿도 볼 겸 떡도 먹을 겸 아니겠어?
throw in the towel,to give up or surrender; to admit defeat,무릎 꿇다,항복하거나 굴복하다.,0.89,"After losing the election, he threw in the towel on his political career.", 반칙까지 써가면서 경기를 했음에도 득점을 못하자 그들은 결국 무릎 꿇고 말았다.
to the nth degree,to the highest or greatest extent possible,될 수 있는 대로,가능한 한 최대로.,0.8,We were questioned to the nth degree., 그 교관님은 첫날부터 우리를 될 수 있는 대로 뛰게 만들었다.
up the river,being in prison,콩밥 맛을 보다,감옥살이를 하다.,0.85,Thirty years up the river had made him a stranger to society., 비리를 들킨 김 과장은 끝끝내 콩밥 맛을 보고야 말았다.
walking on air,feeling extremely happy or joyful,입이 가로 터지다,기쁘거나 즐거워 입이 크게 벌어지다.,0.81, After the delivery of her baby she was walking on air., 복권이 당첨된 아저씨는 입이 가로 터져 소리 질렀다.
