Variants,Redewendung,Bedeutung,Beispiele
['am Abend wird der Faule fleißig'],am Abend wird der Faule fleißig,"wer eine Arbeit aus Bequemlichkeit zunächst nur vor sich herschiebt, der muss, wenn der Termin näher rückt, an dem sie erledigt sein soll, besonders viel arbeiten.",x
['zu Abend essen'],zu Abend essen,Die Abendmahlzeit einnehmen,['Habt ihr schon zu Abend gegessen?']
['nicht abendfüllend sein'],nicht abendfüllend sein,"eher langweilig sein, auf die Dauer wenig Interessantes bieten","['Die Wiederholung alter Witze ist nicht abendfüllend.', 'Sie haben die Aufnahmen entlang einer imaginierten Reise von Emden nach Sylt geordnet und waren klug genug zu erkennen, dass nur spektakuläre Bilder, auch wenn sie so noch nie gesehen wurden, nicht abendfüllend sind.']"
['das Abendmahl auf etwas nehmen'],das Abendmahl auf etwas nehmen,etwas beschwören können,"['Sie ist dabei gewesen, darauf nehme ich das Abendmahl. Auf seine Unschuld können wir das Abendmahl nehmen.']"
"['aber, aber!']","aber, aber!","nicht doch!, was soll das?","['Aber, aber! Wer wird denn gleich so böse werden!']"
['bei jemandem abgegessen haben'],bei jemandem abgegessen haben,"bei jemandem nicht mehr erwünscht, beliebt sein","['So ein unhöflicher Mensch! Der kommt uns nicht mehr ins Haus, der hat bei uns abgegessen.']"
"['den Abflug machen', 'einen Abflug machen']",den/einen Abflug machen,"fortgehen, verschwinden","['Sei so gut und mach ’nen Abflug. Die Einführung war so schlecht, dass wir sofort wieder einen Abflug gemacht haben.', 'Entweder läuft die Suche zu schleppend, oder die Verantwortlichen haben Angst, die Modenschau könne wieder den Abflug machen, wenn man zu sehr auf einen anderen Standort drängt.']"
['sich einen abfrieren'],sich einen abfrieren,sehr frieren,['Die Bunker sind nicht heizbar. Die frieren sich schon ganz schön einen ab.']
['sich einen guten Abgang verschaffen'],sich einen guten Abgang verschaffen,"beim Weggehen, als Abschluss einen guten Eindruck hinterlassen",['Mit einem Appell an die Öffentlichkeit versuchte sich der Politiker einen guten Abgang zu verschaffen.']
"['einen Abgang machen', 'den Abgang machen']",einen/den Abgang machen,"fortgehen, verschwinden","['Mensch, mach ’n Abgang, du bist hier nicht erwünscht!']"
['keinen Abgang finden'],keinen Abgang finden,sich nicht entschließen können aufzubrechen,['Wir hatten ihn zum Abendessen eingeladen und danach hat er einfach keinen Abgang gefunden.']
"['abgehen wie ein Zäpfchen', 'abgehen wie Schmidts Katze']",abgehen wie ein Zäpfchen/wie Schmidts Katze,"sehr schnell und reibungslos, ohne große Anstrengung vorankommen, ablaufen ","['Das Auto meines Nachbarn hat über 200 PS und geht ab wie ein Zäpfchen.', 'Nun begann er, alte Häuser abzutragen und die Teile zu verkaufen. Das ging ab wie Schmidts Katze, erinnert er sich. Die Leute rissen ihm das Material fast aus der Hand.']"
"['abgehen wie ein Zäpfchen', 'abgehen wie Schmidts Katze']",abgehen wie ein Zäpfchen/wie Schmidts Katze,äußerst mitreißend sein,"['Die neuen Songs auf der CD gehen ab wie ’n Zäpfchen.', 'Doch was seinerzeit in der dampfenden Urlaubsstimmung in Discos und Bars der Iberischen Halbinsel abging wie Schmidts Katze, führte nicht zwangsläufig zum gewünschten Erfolg in Rendsburg, Bielefeld oder Chemnitz.']"
['jemandem geht einer ab'],jemandem geht einer ab,jemand hat einen Samenerguss,"['Er kriegt keinen hoch, oder es geht ihm vorschnell einer ab. Bär, Luzie, Post.']"
"['jemandem nichts abgucken', 'jemandem nichts weggucken']",jemandem nichts abgucken/weggucken,"in Aufforderungen, sich nackt vor vertrauten Personen nicht zu genieren","['Nun zieh dich schon aus, Paulchen, wir gucken dir nichts ab.']"
['einen abhaben'],einen abhaben,betrunken sein,"['Wenn er einen abhat, fängt er an zu quatschen.']"
['einen abhaben'],einen abhaben,nicht recht gescheit sein,['Die muss doch einen abhaben – mit achtzig Sachen durch die Fußgängerzone zu düsen! Rad.']
"['jemandem abhold sein', 'einer Sache abhold sein']","jemandem, einer Sache abhold sein","jemandem, einer Sache gegenüber ablehnend eingestellt sein","['Sie war jung, temperamentvoll und dem männlichen Geschlecht keineswegs abhold.', 'Die Ursache für diese Misere läge darin, dass Frankreichs politische Elite jeglichem Wandel abhold sei.']"
"['Ablage rund', 'Ablage P']",Ablage rund; Ablage P,Papierkorb,['Die Businesspläne landeten ungelesen in der Ablage P. Also ist eine Beschäftigung mit diesen Rechnungen/Mahnungen völliger Unsinn. Deshalb gehören die Mails einfach in die Ablage rund.']
['jemanden ablaufen lassen'],jemanden ablaufen lassen,jemanden kühl abweisen,"['er ließ den Gatten der Zeset ablaufen, weil er ihn nicht recht leiden konnte', 'Wenn Wehner die beiden Vorsitzenden zu schwach für eine kleine Koalition erschienen, warum erwog er nicht einmal, Kiesinger ablaufen zu lassen']"
"['an jemandem ablaufen wie das Wasser am Entenflügel', 'an jemandem ablaufen wie das Wasser an der Gans', 'an jemandem ablaufen wie das Wasser am Pudel']",an jemandem ablaufen wie das Wasser am Entenflügel/an der Gans/am Pudel,"jemanden unbeeindruckt, gleichgültig lassen","['Kritik nimmt sie nicht ernst, alle Angriffe laufen an ihr ab wie das Wasser an der Gans. Man beschuldigte ihn, machte ihm Vorwürfe, aber er ließ das alles an sich ablaufen wie das Wasser am Entenflügel.']"
['da möchte ich nicht abgemalt sein'],da möchte ich nicht abgemalt sein,dort möchte ich auf keinen Fall sein,['Er schwärmt immer von seinem Wochenendhaus im Norden – in so einer gottverlassenen Gegend möchte ich nicht abgemalt sein!']
['abgemeldet sein'],abgemeldet sein,"jemandes Wohlwollen verloren haben, von jemandem nicht mehr beachtet werden","['Wer sich unkollegial verhält, der ist in der Abteilung abgemeldet.', 'Wenn einer säuft, ist er bei mir abgemeldet. Verpflegung.']"
['Abnahme finden'],Abnahme finden,sich verkaufen lassen,['Die modischen Sonnenbrillen fanden reißende Abnahme.']
['auf etwas abonniert sein'],auf etwas abonniert sein,etwas abonniert haben,['Ich bin seit zwei Jahren auf diese Zeitschrift abonniert.']
['auf etwas abonniert sein'],auf etwas abonniert sein,"etwas immer wieder erreichen, erleiden ","['Die kubanischen Boxer waren jahrelang auf Olympiamedaillen abonniert.', 'Im Juni gewann die Kinderkunstwerkstatt den Preis beim EuropaJugendwettbewerb der Stadt Königstein, einen Preis, auf den sie seitdem fast abonniert ist.']"
['in Abrahams Schoß'],in Abrahams Schoß,sicher und geborgen,"['Bei mir bist du sicher. Wie in Abrahams Schoß', 'Also, hier kannst du schlafen wie in Abrahams Schoß. Hier kann die Bombe neben dir einhauen, Udo, da merkst du nichts', 'Rock ’n’ Roll aus allen Fugen und Ritzen und der Besucher fühlt sich im Kneipendunst aufgehoben wie in Abrahams Schoß. Sauwohl eben']"
['in Abrahams Wurstkessel'],in Abrahams Wurstkessel,im Himmel,['Im 1Jahrhundert schwammen Mickey Mouse und Superman noch in Abrahams Wurstkessel – oder besser Tintenfässchen.']
['etwas in Abrede stellen'],etwas in Abrede stellen,"etwas bestreiten, abstreiten","['Er hat seine Mittäterschaft in Abrede gestellt. Die Verhafteten stellen in Abrede, an der Verschwörung beteiligt gewesen zu sein. Und ich stellte nicht in Abrede, dass der Kuchen drei Viertel der Fläche des Küchentischs einnahm.']"
"['sich auf dem Absatz umdrehen', 'sich auf dem Absatz umwenden', 'auf dem Absatz kehrtmachen']",sich auf dem Absatz umdrehen/umwenden; auf dem Absatz kehrtmachen,spontan umkehren,"['Als er unter den Gästen seine frühere Frau entdeckte, drehte er sich auf dem Absatz um. Dumont hatte auf dem Absatz kehrtgemacht und winkte schon im Gehen.']"
['Abschied nehmen'],Abschied nehmen,sich vor einer längeren Trennung verabschieden,"['Er hatte von niemand Abschied genommen, aber Mathilde wusste, dass er gegangen war.']"
['Abschied nehmen'],Abschied nehmen,einem Toten den letzten Gruß entbieten,"['Die Aufbahrung erfolgt am Sonnabend, damit die Bevölkerung von dem Verstorbenen Abschied nehmen kann.']"
['aus Abschied und Traktanden fallen'],aus Abschied und Traktanden fallen,"nicht in Erwägung gezogen werden, als Verhandlungsgegenstand wegfallen","['Kandidaten aus kleineren Ländern fielen zum Vornherein aus Abschied und Traktanden. Die Großen hatten früh signalisiert, dass sie das Geschäft als ihre eigene Sache betrachteten.']"
"['zum Abschießen aussehen', 'zum Abschießen sein']",zum Abschießen aussehen/sein,"überaus komisch, grotesk aussehen","['Mit dem Hut sieht seine Frau zum Abschießen aus. Korken, Vogel.']"
['da schnallst du ab!'],da schnallst du ab!,das ist nicht zu glauben!,"['Die machen da eine Bouillabaisse, da schnallst du einfach ab! Was die Wohnung an Miete kostet, da schnallst du ab!']"
"['dreimal abgeschnitten und immer noch zu kurz', 'dreimal abgesägt und immer noch zu kurz', 'zweimal abgeschnitten und immer noch zu kurz', 'zweimal abgesägt und immer noch zu kurz']",dreimal/zweimal abgeschnitten/abgesägt und immer noch zu kurz,Kommentar beim Zusägen oder Zuschneiden von Werkstücken,['Nur leider sind die Schnitte auch oft verlaufen oder ich habe mich beim Messen vertan Ergebnis also Dreimal abgeschnitten und immer noch zu kurz!']
['auf der Abschussliste stehen'],auf der Abschussliste stehen,"vorgesehen sein, aus seiner Stellung entfernt, entlassen zu werden","['Churchill stand während dieser Konferenz bereits auf der Abschussliste und wurde durch den Labour-Führer Attlee ersetzt', 'Noch stand nicht fest, wer das Opfer sein sollte, zwei Namen standen an der Spitze einer Abschussliste']"
['es auf jemanden abgesehen haben'],es auf jemanden abgesehen haben,jemanden ständig schikanieren,"['Auf Kropp und mich hatte er es besonders abgesehen, weil er unsern stillen Trotz spürte.']"
['es auf jemanden abgesehen haben'],es auf jemanden abgesehen haben,"eine engere, besonders erotisch-sexuelle Beziehung zu jemandem erreichen wollen","['Nimm dich in Acht, ich glaube, der Typ hat es auf dich abgesehen!']"
['es auf etwas abgesehen haben'],es auf etwas abgesehen haben,etwas gern haben wollen,['Ihr habt es doch alle nur auf mein Geld abgesehen!']
['es auf etwas abgesehen haben'],es auf etwas abgesehen haben,auf eine bestimmte Reaktion abzielen,"['Man hatte es darauf abgesehen, die Polizisten zu provozieren. Er hat meine Offenheit sehr übel genommen, dabei hatte ich es gar nicht auf eine Kränkung abgesehen.']"
['ins Abseits geraten'],ins Abseits geraten,"marginalisiert, vergessen werden","['Während sie politisch immer wieder ins Abseits geriet, verschlechterte sich auch ihr Gesundheitszustand', 'Durch Drogen, Schulden und Obdachlosigkeit ins Abseits geratene Menschen haben in dieser Einrichtung die Chance, einen Neuanfang zu machen']"
"['es setzt etwas ab', 'es setzt was ab']",es setzt etwas/was ab,es erfolgt eine körperliche Bestrafung,"['Wenn die Kinder nicht spurten, setzte es Prügel ab. Sei still, sonst setzt es was ab!', 'Dabei setzte es auch ein paar kritische Worte ab.']"
['Absichten haben'],Absichten haben,"mit jemandem eine intime Beziehung eingehen wollen, jemanden heiraten wollen","['Ich hätte nie für möglich gehalten, dass meine Mutter mir ausgerechnet in einem Supermarkt mitteilen wird, dass sie bei einem Mann mehr oder weniger feste Absichten hat', 'Ihr zwei habt Absichten, oder?']"
['jemandem jemanden abspenstig machen'],jemandem jemanden abspenstig machen,"jemanden dazu bringen, sich von einem anderen abund sich einem selbst zuzuwenden","['Sie ließ alle ihre Reize spielen, um ihrer sogenannten besten Freundin den Mann abspenstig zu machen.', 'Im gleichen Jahrzehnt, da Martin Luther halb Deutschland dem Papst abspenstig machte, gewann der katholische Glaube im Osten Millionen von Malaien.']"
['jemandem etwas abspenstig machen'],jemandem etwas abspenstig machen,"jemanden dazu bringen, dass er etwas, was ihm gehört, ihm zusteht, hergibt, dem anderen abtritt","['Die angeheiratete Verwandtschaft setzte alle Hebel in Bewegung, dem leiblichen Alleinerben die Millionenerbschaft abspenstig zu machen.', 'Jetzt will die Deutsche Bahn der BVG auf dem Klagewege die Buslinien abspenstig machen.']"
"['da spielt sich nichts ab', 'hier spielt sich nichts ab']",da/hier spielt sich nichts ab,"das kommt nicht infrage, daraus wird nichts","['Vor den Ausfahrten darf nicht geparkt werden, da spielt sich nichts ab. Hier spielt sich gar nichts ab, für ein Picknick ist es viel zu kalt!']"
['mit Abstand'],mit Abstand,bei Weitem,"['Er ist mit Abstand der beste Sprinter in Europa.', 'Die mit Abstand bedeutendsten Zuckerproduzenten sind Indien und Brasilien mit 20 beziehungsweise 17 Millionen Tonnen jährlich.']"
['von etwas Abstand gewinnen'],von etwas Abstand gewinnen,"etwas Unangenehmes, Belastendes innerlich verarbeiten","['Es war für mich ein schlimmes, trauriges Jahr. Ich will jetzt vor allen Dingen Abstand gewinnen.']"
['von etwas Abstand nehmen'],von etwas Abstand nehmen,von etwas absehen,"['Darf ich Eure Majestät bitten, von diesem Plane Abstand zu nehmen?']"
['jemanden aufs Abstellgleis schieben'],jemanden aufs Abstellgleis schieben,"jemanden seines Einflusses, Wirkungsbereiches berauben","['Die Zeit, wo Senioren sich einfach aufs Abstellgleis schieben lassen, scheint zunehmend vorbei zu sein. Das scheint Strategie zu sein, um Betriebsräte aufs Abstellgleis zu schieben und schlechtere Konditionen für die Beschäftigten durchzudrücken.']"
['Abstimmung mit den Füßen'],Abstimmung mit den Füßen,"Entscheidung für oder gegen etwas durch Hingehen, Weggehen oder Fernbleiben","['Abstimmung mit den Füßen Zehntausende Kunstinteressierte stürmten in der langen Nacht ihre Museen', 'Den Betroffenen selbst bleibt nur die Abstimmung mit den Füßen Wenn der Gynäkologe den Test nicht macht, dann müssen sie eben zum Internisten gehen']"
"['jemandem Abtrag tun', 'einer Sache Abtrag tun']","jemandem, einer Sache Abtrag tun","jemandem, einer Sache schaden","['Die harmlose kleine Affäre wird ihrer Popularität keinen Abtrag tun.', 'Man kann diesen Weg bei jedem Wetter zu Fuß oder mit dem Fahrrad begehen und befahren, er ist an einer Stelle zwar etwas weich, wenn es geregnet hat, aber das tut der Sache keinen Abtrag.']"
['abwarten und Tee trinken'],abwarten und Tee trinken,warten wir erst einmal ab,"['Bei ihm war es Liebe auf den ersten Blick. Abwarten und Tee trinken war allerdings nicht sein Ding, also forderte der Bundeswehrsoldat die hübsche junge Frau sofort zum Tanz auf', 'Abwarten und Tee trinken. In einem halben Jahr kann man vielleicht schon Sachen machen, die heute noch nicht gehen']"
['auf Abwege geraten'],auf Abwege geraten,"vom rechten Lebensweg abkommen; im Begriff sein, sittlich herunterzukommen","['Ich wusste nicht, dass mein Bruder auf Abwege geraten war.']"
['durch Abwesenheit glänzen'],durch Abwesenheit glänzen,durch Abwesenheit unangenehm auffallen,"['Mehrere Abgeordnete glänzten auf dem Empfang durch Abwesenheit. In einer Gesellschaft, in der der Staat durch Abwesenheit glänzte, hat die Camorra für die Einhaltung gewisser Regeln gesorgt.']"
['bis zum Abwinken'],bis zum Abwinken,in großer Menge ; bis zum Überdruss,"['Immense Hitze, immenses Geschwitze und zur Kühlung lauwarmen Whisky bis zum Abwinken.']"
['etwas in Abzug bringen'],etwas in Abzug bringen,"etwas bei einer Berechnung, Bewertung abziehen","['Die Unkosten sind bereits in Abzug gebracht worden.', 'Wie sollte man die kleine Unsicherheit beim Aufsprung – wenn sie kein Sturz war – in Abzug bringen?']"
['mit Ach und Krach'],mit Ach und Krach,"mit Mühe und Not, gerade noch","['Mit Ach und Krach haben wir den Zug erreicht.', 'Als nach der mit Ach und Krach bestandenen Reifeprüfung der Neffe in das Seminar eintrat, brach der Weltkrieg aus.']"
['Ach und Weh schreien'],Ach und Weh schreien,jammern und klagen,"['Nachdem das Unglück geschehen war, schrien alle Betroffenen Ach und Weh.']"
"['mit vielem Ach und Weh; mit Weh und Ach', 'mit vielem Ach und Weh; unter Weh und Ach']",mit vielem Ach und Weh; mit/unter Weh und Ach,"mit vielem Klagen, Stöhnen; höchst ungern",['Mit vielem Ach und Weh hatte sie endlich die zwanzig Euro aus ihrem Portemonnaie gekramt. Dach.']
['auf Achse sein'],auf Achse sein,"unterwegs, auf Reisen sein","['Als Vertreter ist er ständig auf der Achse.', 'Bei drückender Hitze von 35 Grad sind die Helfer unentwegt auf Achse, helfen bei Medikamentenversorgung, ärztlicher Betreuung und Brunnenuntersuchung.']"
"['die Achsel, mit den Achseln zucken', 'die Achsel, mit der Achsel zucken']","die Achsel, mit den Achseln/der Achsel zucken","mit einem Hochziehen der Schultern zu verstehen geben, dass man etwas nicht weiß, nicht versteht, dass einem etwas gleichgültig ist","['Beamte in allen Instanzen zucken hilflos die Achseln, wenn man sie fragt, was denn nun genau für diesen Fall an Gesetzen gilt oder nicht', 'Was sollen wir machen, zuckt ein Uniformierter die Achsel']"
['etwas auf die leichte Achsel nehmen'],etwas auf die leichte Achsel nehmen,etwas unangemessen leichtnehmen,"['Du darfst deine Krankheit nicht auf die leichte Achsel nehmen.', 'Der Bischof von Tarbes nimmt dabei die leidige Geschichte durchaus nicht auf die leichte Achsel.']"
['jemanden über die Achsel ansehen'],jemanden über die Achsel ansehen,auf jemanden herabsehen,"['Man sprach mit Geringschätzung von ihnen, sie wurden über die Achsel angesehen', 'Der Geschäftsmann, der den Groschen, den sauer erarbeiteten Groschen des Arbeiters über die Achsel ansieht, begeht einen schweren Fehler']"
"['jemanden in Acht und Bann tun', 'jemanden in Acht und Bann erklären']",jemanden in Acht und Bann tun/erklären,über jemanden die Reichsacht und den Kirchenbann verhängen,['Der König ließ ihn und seine Familie in Acht und Bann erklären.']
"['jemanden in Acht und Bann tun', 'jemanden in Acht und Bann erklären']",jemanden in Acht und Bann tun/erklären,"jemanden aus einer Gemeinschaft ausschließen, aufs Schärfste verurteilen",['Eine Reihe von anderen nicht ganz unbekannten Kompatrioten wurde zusammen mit mir in Acht und Bann getan.']
"['etwas außer Acht lassen', 'etwas aus der Acht lassen', 'etwas aus aller Acht lassen']",etwas außer Acht lassen; etwas aus der/aus aller Acht lassen,etwas nicht beachten,"['Bei der Entscheidung hatte man wichtige Aspekte außer aller Acht gelassen.', 'Ein vor der Öffentlichkeit handelnder Verband trägt eine Verantwortung, die ein heimlich agierender oft außer Acht lässt.']"
"['sich vor jemandem in Acht nehmen', 'sich vor etwas in Acht nehmen']","sich vor jemandem, etwas in Acht nehmen","sich vorsehen, sich hüten","['Nimm dich vor diesem Menschen in Acht! jeder Landwirt oder Reiter weiß, wie sehr man sich vor den Hinterbeinen und auch vor den Vorderhufen in Acht nehmen muss.']"
['jemandem ’nen Achter ins Hemd treten'],jemandem ’nen Achter ins Hemd treten,jemanden gehörig verprügeln,"['Wenn der erfährt, dass du gequatscht hast, tritt der dir ’nen Achter ins Hemd.']"
"['jemanden achtkantig hinauswerfen', 'jemanden achtkantig rausschmeißen', 'jemanden vierkantig hinauswerfen', 'jemanden vierkantig rausschmeißen']",jemanden achtkantig/vierkantig hinauswerfen/rausschmeißen,"jemanden ausgesprochen grob aus dem Haus, dem Raum weisen, entlassen","['Mein Meister hätte mich achtkantig rausgeschmissen, wenn ich mich so lässig benommen hätte wie die jungen Leute heutzutage.']"
['alle Achtung!'],alle Achtung!,das verdient Anerkennung! (Ausruf der Bewunderung),"['In Mathe eine Eins! Alle Achtung! Alle Achtung! rief Ullrich aus, in unwillkürlicher Anerkennung der militärbehördlichen Einsicht.']"
"['auf achtzig sein', 'auf achtzig kommen']",auf achtzig sein/kommen,"vor Wut rasen, rasend werden","['Seine Frau ist auf achtzig, weil das Essen im Ofen verbrutzelt und er wieder nicht angerufen hat, dass er später nach Hause kommt.', 'Mein Zittern wurde zu einem Zittern der Wut Ich kam auf achtzig und stürzte mich auf den Jungen.']"
['jemanden auf achtzig bringen'],jemanden auf achtzig bringen,jemanden rasend vor Wut machen,['Der bringt mich mit seinem Gequatsche auf achtzig.']
['sich vom Acker machen'],sich vom Acker machen,sich davonmachen; verschwinden,"['Mach dich vom Acker! Mach Mücke!', 'Er solle sich schleunigst vom Acker machen, sonst hole er die Polizei!']"
['etwas ad absurdum führen'],etwas ad absurdum führen,die Unsinnigkeit von etwas aufzeigen,"['Ich werde diese Behauptungen ad absurdum führen.', 'Was ich sehe, sage, höre, wird vom nächsten Moment bereits überholt und ad absurdum geführt.']"
['etwas ad acta legen'],etwas ad acta legen,"eine Angelegenheit als erledigt betrachten; über etwas nicht mehr sprechen, verhandeln","['Eine solche Initiative wäre also der beste Weg, das Projekt der Währungsunion zumindest für die kommenden Jahre ad acta zu legen.']"
['der alte Adam'],der alte Adam,"die alten Schwächen, Gewohnheiten eines Mannes",['von dem Egoismus ihrer männlichen Wünsche sprechen sie kaum. Der alte Adam feiert hier fröhliche Urständ.']
['den alten Adam ausziehen'],den alten Adam ausziehen,seine Fehler und Schwächen ablegen,"['Höchste Zeit, dass du den alten Adam ausziehst, für Chauvinisten ist in unserer Gruppe kein Platz.']"
"['seit Adams Zeiten', 'seit Adams Tagen']",seit Adams Zeiten/Tagen,"seit je, solange man denken kann",['Das ist doch schon seit Adams Zeiten bekannt. Nach diesem Verfahren arbeiten wir seit Adams Tagen.']
['bei Adam und Eva anfangen'],bei Adam und Eva anfangen,bei seinen Ausführungen sehr weit ausholen,['Ich setze rudimentäre Kenntnisse des Stoffes voraus und werde in meinen Ausführungen deshalb nicht bei Adam und Eva anfangen.']
['von Adam und Eva stammen'],von Adam und Eva stammen,"(von Dingen, Anschauungen ) sehr alt, veraltet sein","['Na, dein Konzept von der Rolle der Frau in einer Ehe stammt ja wohl von Adam und Eva, alter Chauvinist!']"
['nach Adam Riese'],nach Adam Riese,richtig gerechnet,"['Nach Adam Riese macht das zwölf Euro. Der Vorwurf, die Ökosteuer belaste die Wirtschaft, kann nach Adam Riese nicht stimmen.']"
