Variants,Redewendung,Bedeutung,Beispiele
"['sich auf sein Altenteil setzen', 'sich auf sein Altenteil zurückziehen', 'sich aufs Altenteil setzen', 'sich aufs Altenteil zurückziehen']",sich auf sein/aufs Altenteil setzen/zurückziehen,"sich aus Altersgründen vom öffentlichen Leben zurückziehen, nicht mehr aktiv tätig sein",['An deutschen Schulen steht der größte Generationswechsel seit 25 Jahren an. Rund die Hälfte der etwa 800 000 Lehrer ziehen sich in den nächsten zehn Jahren aufs Altenteil zurück.']
"['jemanden aufs Altenteil schicken', 'jemanden aufs Altenteil setzen', 'jemanden aufs Altenteil abschieben']",jemanden aufs Altenteil schicken/setzen/abschieben,"jemanden vorzeitig aus einer Stellung verdrängen, ihn nicht mehr aktiv teilhaben lassen","['Sein Vater dachte gar nicht daran, sich mit 58 bereits aufs Altenteil setzen zu lassen. Helga, ich lasse mich nicht aufs Altenteil abschieben. Auf die Idee käme keiner, der dich sieht, sagte sie zärtlich.']"
"['das ist so sicher wie das Amen in der Kirche', 'das ist so sicher wie das Amen im Gebet']",das ist so sicher wie das Amen in der Kirche/im Gebet,das ist ganz gewiss,"['Darauf, das sei so sicher wie das Amen im Gebet, habe man es abgesehen', 'Der Anstieg des Meeresspiegels hört nicht auf, das ist sicher wie das Amen in der Kirche']"
"['Amors Pfeil', 'Amors Pfeile']",Amors Pfeil/Pfeile,plötzliches Sichverlieben,"['Hüte dich vor Amors Pfeilen, genieße deine Jugend frei und ungebunden!', 'Von Amors Pfeil getroffen, entflammt der Straßenmusikant Otto in Liebe zu der schönen Tina. In der griechisch-römischen Mythologie ist', 'Amor der Sohn der Liebesgöttin Venus und des Kriegsgottes Mars. Die', 'Pfeile stehen für die Plötzlichkeit, mit der zwei Menschen von der Liebe getroffen werden. Beim Abschuss wird er klassischerweise mit verhüllten Augen dargestellt als Sinnbild für die blinde, unvorhersehbare Liebe Man weiß nie, wen es trifft.']"
"['zum Anbeißen aussehen', 'zum Anbeißen sein', 'zum Anknabbern aussehen', 'zum Anknabbern sein']",zum Anbeißen/Anknabbern aussehen/sein,"reizend, überaus anziehend aussehen/sein","['Ein Mann zum Anknabbern', 'Was für ein Kind, diese Antje! Zum Knuddeln, zum Anbeißen']"
"['einen Anfall bekommen', 'einen Anfall kriegen']",einen Anfall bekommen/kriegen,"die Selbstbeherrschung verlieren, in Wut geraten","['Er kriegt wegen jeder Kleinigkeit gleich einen Anfall.', 'Aber der Preis war hoch Ärger mit dem Hauswirt, mit den Nachbarn Und seine Familie würde schlicht einen Anfall bekommen.']"
"['das ist der Anfang vom Ende', 'das war der Anfang vom Ende']",das ist/war der Anfang vom Ende,"der Untergang, der Ruin ist/war nicht mehr fern","['Mitte März drangen die Truppen in die Außenbezirke ein; das war der Anfang vom Ende. Als er auch noch zu trinken begann, war das der Anfang vom Ende.']"
"['wehre den Anfängen!', 'wehret den Anfängen!']",wehre/wehret den Anfängen!,"etwas Schlechtes, das gerade entsteht, soll man sofort bekämpfen; einer unheilvollen Entwicklung soll man sofort entgegentreten","['Wenn man an die Ereignisse im Dritten Reich denkt, kann man nur sagen Wehret den Anfängen!']"
"['das fängt ja gut an!', 'das fängt ja toll an!', 'das fängt ja nett an!']",das fängt ja gut/toll/nett an!,"Ausdruck des Galgenhumors, wenn etwas unglücklich beginnt, gleich am Anfang misslingt","['Das fängt ja schön an. Stau wegen Unfall am Autobahnkreuz', 'Das fängt ja gut an Platzgetröpfel sorgt schon vor dem Start für unangenehm feuchten Asphalt', 'In Gießen hieß es dann, der Zug nach Köln fällt aus. Na super! Das fängt ja toll an']"
"['sich mit jemandem etwas anfangen', 'sich mit jemandem nichts anfangen']",sich mit jemandem etwas/nichts anfangen,sich mit jemandem einlassen/nicht einlassen,"['Fang dir mit diesem Querulanten bloß nichts an! Dennoch glaubte sie keine Sekunde, dass Maurits sich etwas mit dieser Magd angefangen hat. Adam.']"
"['angeben wie ein Wald voll Affen', 'angeben wie eine Tüte Mücken']",angeben wie ein Wald voll Affen/wie eine Tüte Mücken,maßlos prahlen,['Die Jugendlichen in der Gruppe haben angegeben wie ein Wald voll Affen. gib nicht so an wie ’ne Tüte Mücken.']
"['wie angegossen sitzen', 'wie angegossen passen']",wie angegossen sitzen/passen,"genau passen, einen tadellosen Sitz haben","['Das Kleid sitzt wie angegossen. Das Kostüm passte ihr wie angegossen.', 'Ich trug lacklederne Reitstiefel vom besten Schuster in Berlin, die wie angegossen saßen.']"
"['danach angetan sein, etwas zu tun', 'dazu angetan sein, etwas zu tun']","danach/dazu angetan sein, etwas zu tun","geeignet, günstig für etwas sein","['Was ich hier lese, ist durchaus danach angetan, mich in meinen Hoffnungen zu bestärken.', 'So sei jene ziemlich schäbige List dazu angetan, sich um Entscheidungen zu drücken.']"
"['mehr Angst als Vaterlandsliebe haben', 'mehr Schiss als Vaterlandsliebe haben']",mehr Angst/Schiss als Vaterlandsliebe haben,"so viel Angst haben, dass man zu einem bestimmten Tun, das von einem erwartet werden könnte, nicht bereit ist","['Die anderen aus der Klasse werden uns nicht helfen, die haben doch mehr Angst als Vaterlandsliebe.']"
"['es mit der Angst bekommen', 'es mit der Angst kriegen']",es mit der Angst bekommen/kriegen,plötzlich von Angst erfasst werden,"['Als er aufs Polizeirevier kommen sollte, kriegte er es mit der Angst.', 'Als es ihm schwarz vor Augen wurde, bekam er es mit der Angst zu tun.']"
"['jemanden, einer Sache etwas anhaben können', 'jemanden, einer Sache nichts anhaben können', 'jemanden, einer Sache etwas anhaben wollen', 'jemanden, einer Sache nichts anhaben wollen']","jemanden, einer Sache etwas/nichts anhaben können/wollen","jemandem, einer Sache Schaden/keinen Schaden zufügen können/wollen","['Nicht einmal die Weltwirtschaftskrise konnte dem Wachstumszweig des Tourismus etwas anhaben', 'Wenn wir uns einig sind, kann uns niemand was anhaben']"
"['Anker werfen', 'vor Anker gehen']",Anker werfen/vor Anker gehen,"den Anker auswerfen, ankern","['In einer einsamen Bucht warfen sie Anker.', 'Die Erregung hatte sich gelegt, der Schleppzug ging für die Nacht vor Anker.']"
"['Anker werfen', 'vor Anker gehen']",Anker werfen/vor Anker gehen,Rast machen; sich niederlassen,"['Nach seiner Pensionierung wollte er raus aus Hamburg und in einem kleinen Ort in den Marschen vor Anker gehen. Hier warf ich Anker, hier war es für eine Stunde auszuhalten.']"
"['jemanden, etwas auf die Anklagebank bringen', 'jemanden, etwas auf die Anklagebank setzen']","jemanden, etwas auf die Anklagebank bringen/setzen","jemanden, etwas anklagen, für etwas verantwortlich machen","['Er will nicht den einzelnen Priester an den Pranger stellen, sondern gleich die ganze Institution Katholische Kirche auf die Anklagebank bringen', 'Eigentlich wieder so ein Film, der das Militär auf die Anklagebank setzt, sich aber nicht sattsehen kann an den schmucken Uniformen vor Gericht']"
"['Ankratz haben', 'Ankratz finden']",Ankratz haben/finden,(bes. in Bezug auf weibliche Personen) begehrt sein,['Maria vom Schlage Marilyn hatte überall Ankratz und sammelte Verehrer wie andere Wandteller.']
"['einen neuen Anlauf nehmen', 'einen neuen Anlauf machen']",einen neuen Anlauf nehmen/machen,erneut anfangen; einen neuen Versuch machen,"['Er ist durch die Fahrprüfung gefallen und wird in sechs Wochen einen neuen Anlauf machen.', 'Pak blieb der Satz im Halse stecken. Er nahm einen neuen Anlauf.']"
"['anno dazumal', 'anno dunnemals', 'anno Tobak', 'anno X']",anno dazumal/dunnemals; anno Tobak; anno X,"früher; in, aus alten, weit zurückliegenden Zeiten","['Dampferfahrten auf der Spree wie anno dunnemals', 'Hier gehts nicht um die Bill of Rights von anno Tobak und um Mr. Jefferson']"
"['dem Anschein nach', 'allem Anschein nach']",dem/allem Anschein nach,"anscheinend, vermutlich","['Er war allem Anschein nach Ausländer.', 'Die junge Bedienung, die dem Anschein nach gerade ihr Taschengeld aufbesserte, war nicht besser dran.']"
"['es hat den Anschein', 'es macht den Anschein']",es hat/macht den Anschein,"es sieht so aus, scheint so zu sein","['Es hat den Anschein, als ob wir uns geirrt haben.', 'Es machte den Anschein, als habe dem Bauwerk das letzte Stündlein geschlagen.']"
"['bei jemandem gut angeschrieben sein', 'bei jemandem schlecht angeschrieben sein']",bei jemandem gut/schlecht angeschrieben sein,bei jemandem in gutem/schlechtem Ansehen stehen,"['Sprich du doch einmal mit ihm, du bist doch bei ihm gut angeschrieben.', 'Ugandas Präsident, des Krieges wegen bei den Geldgebern schlecht angeschrieben, will Frieden', 'Ich war nicht dumm, trotz meiner Jugend, und also war ich gar bald gut angeschrieben bei meinen Vorgesetzten']"
"['nur von Ansehen', 'nur vom Ansehen']",nur von/vom Ansehen,"nur vom Sehen, nicht mit dem Namen","['Ich kenne den Mann nur vom Ansehen. Von Ansehen kenne ich ihn, gesprochen haben wir uns noch nie aber vom Ansehen weiß ich, er ist es!']"
"['etwas in Anwendung bringen', 'etwas zur Anwendung bringen']",etwas in/zur Anwendung bringen,etwas anwenden,"['Bei der Berechnung der Liegegelder wird ein anderer Satz in Anwendung gebracht.', 'Doch wenn man ein Gesetz politisch als so problematisch einschätzt, dass man es nur in Ausnahmefällen zur Anwendung bringen will, sollte man es besser ganz streichen.']"
"['wie angewurzelt stehen', 'wie angewurzelt stehen bleiben']",wie angewurzelt stehen/stehen bleiben,regungslos stehen/stehen bleiben,"['Sie stand wie angewurzelt da und schaute mich mit großen Augen an.', 'Er blieb stehen wie angewurzelt, während sie davonschlenderten in enger Umarmung.']"
"['der Apfel fällt nicht weit vom Stamm', 'der Apfel fällt nicht weit vom Pferd']",der Apfel fällt nicht weit vom Stamm/nicht weit vom Pferd,"jemand ist in seinen Anlagen, seinem Verhalten den Eltern bzw. einem Elternteil sehr ähnlich",['Die Eltern sind musikbesessen und so ist es die Tochter – der Apfel fällt nicht weit vom Stamm.']
"['für einen Apfel und ein Ei', 'für ’n Appel und ’n Ei']",für einen Apfel und ein Ei/für ’n Appel und ’n Ei,"sehr billig, für einen unbedeutenden Betrag","['Für einen Apfel und ein Ei kann man im Ausverkauf schöne Pullover bekommen.', 'In diesem Park treibt sich doch nur das Letzte rum – die tuns für ’n Appel und ’n Ei.']"
"['der Appetit kommt beim Essen', 'der Appetit kommt mit dem Essen']",der Appetit kommt beim/mit dem Essen,"wenn man erst einmal mit etwas angefangen hat, kommt auch die Lust dazu","['Eigentlich hatte er sich nie fürs Skifahren interessiert, aber der Appetit kommt beim Essen Heute steht er jede freie Minute auf den Brettern.']"
"['ganze Arbeit leisten', 'ganze Arbeit tun', 'ganze Arbeit machen', 'gründliche Arbeit leisten', 'gründliche Arbeit tun', 'gründliche Arbeit machen']",ganze/gründliche Arbeit leisten/tun/machen,"(oft im negativen Sinne in Bezug auf etwas Unerwünschtes gebraucht) etwas so gründlich tun, dass nichts mehr zu tun übrig bleibt","['Wilderer haben schnelle Arbeit geleistet', 'Wir haben zwar gemeinsam erst einen Brand gelöscht, aber ich muss schon sagen, dass wir ganze Arbeit geleistet haben']"
"['in Arbeit sein', 'in Arbeit stehen']",in Arbeit sein/stehen,"beschäftigt, angestellt sein","['Wo waren Sie bisher in Arbeit?', 'Ob Mann oder Frau man muss in Arbeit stehen, um Staatsbürgerrecht, ja Lebensrecht überhaupt zu genießen.']"
"['arbeiten wie ein Pferd', 'arbeiten wie ein Kuli']",arbeiten wie ein Pferd/wie ein Kuli,sehr hart und unermüdlich arbeiten,"['Wenn man den ganzen Tag gearbeitet hat wie ein Kuli, möchte man abends seine Ruhe haben.', 'Er ist der Boss, der die Konkurrenz in Schach hält, und er arbeitet wie ein Pferd.']"
"['schwarz und gelb vor Ärger werden', 'schwarz und grün vor Ärger werden', 'schwarz und blau vor Ärger werden', 'grün und gelb vor Ärger werden', 'grün und grün vor Ärger werden', 'grün und blau vor Ärger werden']",schwarz/grün und gelb/grün und blau vor Ärger werden,sich maßlos ärgern,"['Man könnte schwarz vor Ärger werden, wenn man an das viele vergeudete Geld denkt.']"
"['sich schwarz und blau ärgern', 'sich schwarz und gelb ärgern', 'sich schwarz und grün ärgern', 'sich grün und blau ärgern', 'sich grün und gelb ärgern', 'sich grün und grün ärgern']",sich schwarz/grün und blau/gelb und grün ärgern,sich maßlos ärgern,"['Die Autofahrer im täglichen achtspurigen Dauerstau ärgern sich schwarz', 'Der Brigadier ärgert sich grün und blau über das, was er sieht']"
"['sich die Krätze an den Hals ärgern', 'sich die Schwindsucht an den Hals ärgern']",sich die Krätze/die Schwindsucht an den Hals ärgern,sich sehr ärgern,"['Ich habe keine Lust, mir mit euch die Krätze an den Hals zu ärgern. Der Lehrer ärgerte sich die Schwindsucht an den Hals, wenn wir ihm einen Fehler nachweisen konnten']"
"['jemanden am langen Arm verhungern lassen', 'jemanden am steifen Arm verhungern lassen', 'jemanden am ausgestreckten Arm verhungern lassen']",jemanden am langen/steifen/ausgestreckten Arm verhungern lassen,"auf jemanden, der oder die in irgendeiner Weise von einem abhängig ist, durch Entzug von etwas über längere Zeit Druck ausüben, um dadurch zu erreichen, dass sich die Person einer Forderung nicht mehr widersetzt","['Der Konzern wird auf dieses Angebot nicht eingehen und uns am steifen Arm verhungern lassen. Als Gemeinde werden wir überhaupt nicht informiert. Die Bahn lässt uns am langen Arm verhungern. Kürzlich habe es eine Begehung gegeben – ohne Amt und Gemeinde in Kenntnis zu setzen', 'Die Telekom lässt uns am ausgestreckten Arm verhungern. Sie will veraltete Technik einbauen']"
"['jemanden am langen Arm verhungern lassen', 'jemanden am steifen Arm verhungern lassen', 'jemanden am ausgestreckten Arm verhungern lassen']",jemanden am langen/steifen/ausgestreckten Arm verhungern lassen,jemandem die erwartete und nötige Unterstützung versagen,"['Die Universitäten seien jedenfalls bereit, mehr Verantwortung zu übernehmen, wenn die Politiker mit ihrer Sparpolitik sie dann nicht am ausgestreckten Arm verhungern lassen.']"
"['jemanden mit offenen Armen aufnehmen', 'jemanden mit offenen Armen empfangen']",jemanden mit offenen Armen aufnehmen/empfangen,"jemanden gern bei sich aufnehmen, freudig willkommen heißen","['dass er wieder in seine alte Dienststelle eingestiegen ist, dass er mit offenen Armen empfangen worden ist', 'Als Helga ein Jahr lang am Pariser Konservatorium studierte, wurde sie von den ehemaligen Patienten des cher docteur mit offenen Armen aufgenommen']"
"['es nimmt jemandem den Ärmel hinein', 'es nimmt jemandem den Ärmel rein']",es nimmt jemandem den Ärmel hinein/rein,jemand wird leidenschaftlich ergriffen,"['Mir nahm es schon bei der ersten Lektüre des Romans den Ärmel hinein.', 'Ich habe mich früher nie so verliebt, und plötzlich nimmt es mir den Ärmel rein, und das, obwohl ich mich dagegen sträube.']"
"['die Ärmel aufkrempeln', 'die Ärmel hochkrempeln']",die Ärmel aufkrempeln/hochkrempeln,bei einer Arbeit tüchtig zupacken wollen,"['Der Manager gilt laut gängiger Attribute als einer, der die Ärmel aufkrempelt, hart und smart ist', 'Wenn alle die Ärmel hochkrempeln, werden wir uns aus eigener Kraft retten']"
"['etwas im Ärmel haben', 'etwas im Ärmel behalten']",etwas im Ärmel haben/behalten,für den Bedarfsfall etwas zu seinen Gunsten bereithalten,"['Niemand glaubte, dass der Gegenkandidat noch weitere schlagende Argumente im Ärmel haben könnte.', 'Bisher hatte der General eine Reise nach Moskau als Trumpf im Ärmel behalten. Jetzt spielt er ihn aus.']"
"['wie Arsch auf Eimer', 'wie Arsch und Eimer']",wie Arsch auf Eimer/Arsch und Eimer,"genau, exakt, optimal","['Die zwei sind wie Arsch und Eimer. Wir ergänzen uns wie Arsch auf Eimer!, sagt sie', 'Ein paar hundert Leute sitzen auf der warmen Straße, wir setzen uns dazu, da spielt Widman gerade Im Hippiebus nach Marrakesch, und das passt wie Arsch auf Eimer, denn Stefan und ich werden nächste Woche einen Bus kaufen']"
"['jemandem geht der Arsch auf Grundeis', 'jemandem geht der Arsch mit Grundeis']",jemandem geht der Arsch auf Grundeis/mit Grundeis,jemand hat (wegen einer zu erwartenden Bestrafung ) große Angst,"['Jetzt wird den Scheißern in Paris doch der Arsch mit Grundeis gehn!', 'wie wird erst sein Arsch auf Grundeis gehen, wenn hier normale Zustände eingetreten sind']"
"['den Arsch hochkriegen', 'den Hintern hochkriegen']",den Arsch/Hintern hochkriegen,"sich zu etwas aufraffen, ein Problem anpacken","['Es wird Zeit, dass ihr mal den Hintern hochkriegt und was für euer Examen tut.', 'Mann, diese Frauen machen mich vielleicht wütend. Wie schnell die aufgeben. Die kriegen einfach ihren Arsch nicht hoch.']"
