Redewendung,Bedeutung,Beispiel
Heiliger Abend,Abend des 24. Dezember,['Am Heiligen Abend gab es erst ein gutes Essen und dann die Besche- rung für die Kleinen. Ein Heiliger Abend ohne Besuch der Christmette war für Großmutter undenkbar.']
es ist noch nicht aller Tage Abend,es kann sich noch vielerlei ändern,"['Noch ist nicht aller Tage Abend. Noch ist er ja nicht verurteilt (Th. Mann, Budden- brooks 376).']"
guten Abend,Grußformel am Abend,"['Gu- ten Abend, liebe Hörerinnen und Hörer, wir begrüßen Sie zu unserer Sendung Musik bis Mitternacht.']"
er kann mich am Abend besuchen,mit ihm usw. will ich nichts zu tun haben,"['Meine Freundin hat mich jetzt schon das dritte Mal versetzt, die kann mich mal am Abend besuchen.']"
am Abend wird der Faule fleißig,"wer eine Arbeit aus Bequemlichkeit zunächst nur vor sich herschiebt, der muss, wenn der Termin näher rückt, an dem sie erle- digt sein soll, besonders viel arbeiten.",nan
zu Abend essen,Die Abendmahlzeit ein- nehmen,"['Habt ihr schon zu Abend geges- sen? spät, Tag.']"
nicht abendfüllend sein,"eher langweilig sein, auf die Dauer wenig Interessantes bieten","['Die Wiederho- lung alter Witze ist nicht abendfül- lend.', 'Sie haben die Aufnahmen entlang einer imaginierten Reise von Emden nach Sylt geordnet und waren klug genug zu erkennen, dass nur spektakuläre Bilder, auch wenn sie so noch nie gesehen wur- den, nicht abendfüllend sind (taz 9. 6. 2011, 25).']"
das Abendmahl auf etwas nehmen,etw. beschwören kön- nen,"['Sie ist dabei gewesen, darauf nehme ich das Abendmahl. Auf seine Unschuld können wir das Abendmahl nehmen.']"
"aber, aber!","nicht doch!, was soll das?","['Aber, aber! Wer wird denn gleich so böse werden! hallo, wenn, wo.']"
bei jmdm. abgegessen haben,"bei jmdm. nicht mehr erwünscht, beliebt sein","['So ein unhöfli- cher Mensch! Der kommt uns nicht mehr ins Haus, der hat bei uns abgegessen.']"
den/einen Abflug machen,"fortgehen, verschwinden","['Sei so gut und mach ’nen Abflug. Die Einführung war so schlecht, dass wir sofort wieder einen Ab- flug gemacht haben.', 'Entweder läuft die Suche zu schleppend, oder die Verant- wortlichen haben Angst, die Modenschau könne wieder den Abflug machen, wenn man zu sehr auf einen anderen Standort drängt (taz 14. 1. 2010, 21).']"
sich einen abfrieren,sehr frieren,"['Die Bunker sind nicht heizbar. Die frieren sich schon ganz schön einen ab (Kuby, Sieg 33). Arsch.']"
sich einen guten Abgang verschaffen,"beim Weggehen, als Ab- schluss einen guten Eindruck hinterlas- sen",['Mit einem Appell an die Öffentlich- keit versuchte sich der Politiker einen gu- ten Abgang zu verschaffen.']
einen/den Abgang machen,"fortge- hen, verschwinden","['Mensch, mach ’n Ab- gang, du bist hier nicht erwünscht!']"
keinen Abgang finden,sich nicht entschließen können aufzubrechen,['Wir hatten ihn zum Abendessen eingeladen und danach hat er einfach keinen Abgang gefunden.']
abgehen wie ein Zäpfchen/wie Schmidts Katze,"1. sehr schnell und reibungslos, ohne große Anstrengung vo- rankommen, ablaufen o. Ä.","['Das Auto meines Nachbarn hat über 200 PS und geht ab wie ein Zäpfchen.', 'Nun begann er, alte Häuser abzutragen und die Teile zu verkaufen. Das ging ab wie Schmidts Katze, erinnert er sich. Die Leute rissen ihm das Material fast aus der Hand (SZ 20.7. 2002, 48).']"
abgehen wie ein Zäpfchen/wie Schmidts Katze,2. äußerst mitreißend sein,"['Die neuen Songs auf der CD gehen ab wie ’n Zäpfchen.', 'Doch was seinerzeit in der dampfenden Urlaubsstimmung in Discos und Bars der Iberischen Halbinsel abging wie Schmidts Katze, führte nicht zwangsläufig zum gewünschten Erfolg in Rendsburg, Bielefeld oder Chemnitz (www.amazon.de, 2007).']"
jmdm. geht einer ab,jmd. hat ei- nen Samenerguss,"['Er kriegt keinen hoch, oder es geht ihm vorschnell einer ab (Amendt, Sexbuch 81). Bär, Luzie, Post.']"
jmdm. nichts abgucken/weggu- cken,"in Auffor- derungen , sich nackt vor ver- trauten Personen nicht zu genieren","['Nun zieh dich schon aus, Paulchen, wir gu- cken dir nichts ab.']"
einen abhaben,1. be- trunken sein,"['Wenn er einen abhat, fängt er an zu quatschen.']"
einen abhaben,2. nicht recht gescheit sein,['Die muss doch einen abhaben – mit achtzig Sachen durch die Fußgängerzone zu düsen! Rad.']
"jmdm., einer Sache abhold sein","jmdm., einer Sache gegenüber ab- lehnend eingestellt sein","['Sie war jung, temperamentvoll und dem männlichen Geschlecht keineswegs abhold.', 'Die Ur- sache für diese Misere läge darin, dass Frankreichs politische Elite jeglichem Wandel abhold sei (SZ 7. 10. 2003, 13).']"
Ablage rund; Ablage P,Papierkorb,"['Die Businesspläne landeten ungelesen in der Ablage P. Also ist eine Beschäftigung mit diesen Rechnungen/Mahnungen völliger Un- sinn. Deshalb gehören die Mails einfach in die Ablage rund (www.netzwelt.de, 29. 5. 2012).']"
jmdn. ablaufen lassen,jmdn. kühl abweisen,"[' er ließ den Gatten der Zeset ablaufen , weil er ihn nicht recht leiden konnte (Th. Mann, Joseph 837). Wenn Wehner die beiden Vorsitzen- den zu schwach für eine kleine Koali- tion erschienen, warum erwog er nicht einmal, Kiesinger ablaufen zu lassen (Spiegel 50, 1966, 26).']"
an jmdm. ablaufen wie das Wasser am Entenflügel/an der Gans/am Pudel,"jmdn. unbeeindruckt, gleichgültig lassen","['Kritik nimmt sie nicht ernst, alle Angriffe laufen an ihr ab wie das Wasser an der Gans. Man beschuldigte ihn, machte ihm Vorwürfe, aber er ließ das alles an sich ablaufen wie das Wasser am Entenflügel.']"
da möchte ich nicht abgemalt sein,dort möchte ich auf keinen Fall sein,['Er schwärmt immer von seinem Wo- chenendhaus im Norden – in so einer gottverlassenen Gegend möchte ich nicht abgemalt sein!']
abgemeldet sein,"jmds. Wohlwollen verloren haben, von jmdm. nicht mehr beachtet werden","['Wer sich unkollegial verhält, der ist in der Abteilung abgemeldet.', 'Wenn einer säuft, ist er bei mir abgemeldet (Kirst, 08/15, 484). Verpflegung.']"
Abnahme finden,sich verkaufen lassen,['Die modischen Sonnenbrillen fan- den reißende Abnahme.']
auf etw. abonniert sein,1. etw. abonniert haben,['Ich bin seit zwei Jahren auf diese Zeitschrift abonniert.']
auf etw. abonniert sein,"2. etw. immer wieder erreichen, er- leiden o. Ä.","['Die kubanischen Boxer waren jahrelang auf Olympiamedaillen abon- niert.', 'Im Juni gewann die Kinder- kunstwerkstatt den 1. Preis beim Europa- Jugendwettbewerb der Stadt Königstein, einen Preis, auf den sie seitdem fast abonniert ist (FR 22. 2. 2001, 2).']"
in Abrahams Schoß,sicher und geborgen,"['Bei mir bist du sicher. Wie in Abrahams Schoß (Degener, Heimsuchung 87). Also, hier kannst du schlafen wie in Abrahams Schoß. Hier kann die Bombe neben dir einhauen, Udo, da merkst du nichts (Reitz, Heimat 3, 56). Rock ’n’ Roll aus al- len Fugen und Ritzen und der Besucher fühlt sich im Kneipendunst aufgehoben wie in Abrahams Schoß. Sauwohl eben (www.zvw.de, 10. 5. 2000).']"
in Abrahams Wurstkessel,im Himmel,['Im 12. Jahrhundert schwammen Mickey Mouse und Superman noch in Abrahams Wurstkessel – oder besser Tintenfäss- chen (Freie Presse 1. 4. 2010).']
etw. in Abrede stellen,"etw. bestreiten, abstreiten","['Er hat seine Mittäterschaft in Abrede gestellt. Die Verhafteten stellen in Abrede, an der Ver- schwörung beteiligt gewesen zu sein. Und ich stellte nicht in Abrede, dass der Kuchen drei Viertel der Fläche des Kü- chentischs einnahm (Kunze, Jahre 19).']"
sich auf dem Absatz umdrehen/ umwenden; auf dem Absatz kehrtma- chen,spontan umkehren,"['Als er unter den Gästen seine frühere Frau entdeckte, drehte er sich auf dem Absatz um. Dumont hatte auf dem Absatz kehrt- gemacht und winkte schon im Gehen (Gaiser, Jagd 58).']"
Abschied nehmen,1. sich vor ei- ner längeren Trennung verabschieden,"['Er hatte von niemand Abschied genommen, aber Mathilde wusste, dass er gegangen war (Seidel, Sterne 172).']"
Abschied nehmen,2. einem Toten den letzten Gruß entbieten,"['Die Aufbah- rung erfolgt am Sonnabend , damit die Bevölkerung von dem Verstorbenen Ab- schied nehmen kann (Schädlich, Nähe 180).']"
aus Abschied und Traktanden fallen,"nicht in Erwägung gezogen werden, als Verhandlungsgegenstand weg- fallen","[' Kandidaten aus kleineren Län- dern fielen zum Vornherein aus Abschied und Traktanden. Die Großen hatten früh signalisiert, dass sie das Geschäft als ihre eigene Sache betrachteten (NZZ 9. 2. 2000).']"
zum Abschießen aussehen/ sein,"überaus komisch, grotesk aus- sehen","['Mit dem Hut sieht seine Frau zum Abschießen aus. Korken, Vogel.']"
da schnallst du ab!,das ist nicht zu glauben!,"['Die machen da eine Bouillabaisse, da schnallst du einfach ab! Was die Wohnung an Miete kostet, da schnallst du ab!']"
dreimal/zweimal abgeschnit- ten/abgesägt und immer noch zu kurz,Kommentar beim  Zusägen oder Zuschneiden von Werkstücken,"['Nur leider sind die Schnitte auch oft verlaufen oder ich habe mich beim Messen vertan Ergebnis also Dreimal abgeschnitten und immer noch zu kurz! (www.woodworker.de, 29. 9. 2010).']"
auf der Abschussliste ste- hen,"vorgesehen sein, aus seiner Stellung entfernt, entlassen zu werden","['Churchill stand während dieser Konfe- renz bereits auf der Abschussliste und wurde durch den Labour-Führer Attlee ersetzt (Hörzu 41, 1975, 20). Noch stand nicht fest, wer das Opfer sein sollte, zwei Namen standen an der Spitze einer Abschussliste (Spiegel 23, 1977, 92).']"
es auf jmdn. abgesehen haben,1. jmdn. ständig schikanieren,"['Auf Kropp und mich hatte er es besonders abgesehen, weil er unsern stillen Trotz spürte (Remarque, Westen 22).']"
es auf jmdn. abgesehen haben,"2. eine en- gere, bes. erotisch-sexuelle Beziehung zu jmdm. erreichen wollen","['Nimm dich in Acht, ich glaube, der Typ hat es auf dich abgesehen!']"
es auf etw. abgesehen haben,1. etw. gern haben wollen,['Ihr habt es doch alle nur auf mein Geld abgesehen!']
es auf etw. abgesehen haben,2. auf eine bestimmte Reaktion o. Ä. abzielen,"['Man hatte es darauf abgesehen, die Polizisten zu provozieren. Er hat meine Offenheit sehr übel genommen, dabei hatte ich es gar nicht auf eine Kränkung abgesehen.']"
ins Abseits geraten,"marginali- siert, vergessen werden","['Während sie poli- tisch immer wieder ins Abseits geriet, verschlechterte sich auch ihr Gesund- heitszustand (Berliner Zeitung 19. 10. 2019, AB20). Durch Drogen, Schulden und Obdachlosigkeit ins Abseits geratene Menschen haben in dieser Einrichtung die Chance, einen Neuanfang zu machen (Freie Presse 8. 1. 2019, 13).']"
es setzt etw./was ab,es erfolgt eine körperliche Bestrafung o. Ä.,"['Wenn die Kinder nicht spurten, setzte es Prügel ab. Sei still, sonst setzt es was ab!', 'Dabei setzte es auch ein paar kriti- sche Worte ab (NZZ 21. 12. 1986, 11).']"
Absichten haben,"mit jmdm. eine intime Beziehung eingehen wollen, jmdn. heiraten wollen","['Ich hätte nie für möglich gehalten, dass meine Mutter mir ausgerechnet in einem Super- markt mitteilen wird, dass sie bei einem Mann mehr oder weniger feste Absichten hat (Steinhöfel, Mitte 139). Ihr zwei habt Absichten, oder? (Gabel, Fix 48). merken.']"
jmdm. jmdn. abspenstig machen,"jmdn. dazu bringen, sich von ei- nem anderen ab- und sich einem selbst zu- zuwenden","['Sie ließ alle ihre Reize spielen, um ihrer sogenannten besten Freundin den Mann abspenstig zu machen.', 'Im gleichen Jahrzehnt, da Martin Luther halb Deutschland dem Papst abspenstig machte, gewann der katholische Glaube im Osten Millionen von Malaien (Jacob, Kaffee 109).']"
jmdm. etw. abspenstig machen,"jmdn. dazu bringen, dass er etw., was ihm ge- hört, ihm zusteht, hergibt, dem anderen abtritt","['Die angeheiratete Verwandtschaft setzte alle Hebel in Bewegung, dem leibli- chen Alleinerben die Millionenerbschaft abspenstig zu machen.', 'Jetzt will die Deutsche Bahn der BVG auf dem Kla- gewege die Buslinien abspenstig machen .']"
da/hier spielt sich nichts ab,"das kommt nicht infrage, daraus wird nichts","['Vor den Ausfahrten darf nicht geparkt werden, da spielt sich nichts ab. Hier spielt sich gar nichts ab, für ein Picknick ist es viel zu kalt!']"
mit Abstand,bei Weitem,"['Er ist mit Abstand der beste Sprinter in Eu- ropa.', 'Die mit Abstand bedeutendsten Zuckerproduzenten sind Indien und Bra- silien mit 20 beziehungsweise 17 Millio- nen Tonnen jährlich (Zeit 16. 10. 2002, 29).']"
von etw. Abstand gewinnen,"etw. Unan- genehmes, Belastendes innerlich verarbei- ten","['Es war für mich ein schlimmes, trau- riges Jahr. Ich will jetzt vor allen Dingen Abstand gewinnen (www.stern.de, 21. 11. 2001).']"
von etw. Abstand nehmen,von et- was absehen,"['Darf ich Eure Majestät bit- ten, von diesem Plane Abstand zu neh- men? (Benrath, Konstanze 117).']"
jmdn. aufs Abstellgleis schie- ben,"jmdn. seines Einflusses, Wir- kungsbereiches berauben","['Die Zeit, wo Se- nioren sich einfach aufs Abstellgleis schieben lassen, scheint zunehmend vor- bei zu sein. Das scheint Strategie zu sein, um Betriebsräte aufs Abstellgleis zu schieben und schlechtere Konditionen für die Beschäftigten durchzudrücken (MM 2. 2. 2016, 6).']"
Abstimmung mit den Füßen,"Entscheidung für oder gegen etw. durch Hingehen, Weggehen oder Fernblei- ben","['Abstimmung mit den Füßen Zehn- tausende Kunstinteressierte stürmten in der langen Nacht ihre Museen (Ober- main-Tageblatt 16. 11. 1999). Den Betrof- fenen selbst bleibt nur die Abstim- mung mit den Füßen Wenn der Gynäkologe den Test nicht macht, dann müssen sie eben zum Internisten gehen (www.spiegelonline.de, 41, 1997).']"
"jmdm., einer Sache Abtrag tun","jmdm., einer Sache schaden","['Die harmlose kleine Affäre wird ihrer Popula- rität keinen Abtrag tun.', 'Man kann die- sen Weg bei jedem Wetter zu Fuß oder mit dem Fahrrad begehen und befahren, er ist an einer Stelle zwar etwas weich, wenn es geregnet hat, aber das tut der Sa- che keinen Abtrag (Kölner Stadt-Anzei- ger 8. 6. 2019, 26).']"
abwarten und Tee trinken,warten wir erst einmal ab,"['Bei ihm war es Liebe auf den ersten Blick. Ab- warten und Tee trinken war allerdings nicht sein Ding, also forderte der Bundes- wehrsoldat die hübsche junge Frau so- fort zum Tanz auf (Kölner Stadt-Anzeiger 6. 2. 2019, 32). Abwarten und Tee trinken. In einem halben Jahr kann man vielleicht schon Sachen machen, die heute noch nicht gehen (Fallada, Jeder 52).']"
auf Abwege geraten,"vom rechten Lebensweg abkommen; im Begriff sein, sittlich herunterzukommen","['Ich wusste nicht, dass mein Bruder auf Abwege gera- ten war.']"
durch Abwesenheit glänzen,durch Abwesenheit unangenehm auffallen,"['Mehrere Abgeordnete glänzten auf dem Empfang durch Abwesenheit. In einer Gesellschaft, in der der Staat durch Abwesenheit glänzte, hat die Ca- morra für die Einhaltung gewisser Regeln gesorgt (taz 25. 10. 1997, 18).']"
bis zum Abwinken,in gro- ßer Menge ; bis zum berdruss,"['Immense Hitze, immen- ses Geschwitze und zur Kühlung lauwar- men Whisky bis zum Abwinken (Linden- berg, El Panico 42).']"
etw. in Abzug bringen,"etw. bei einer Berechnung, Bewertung ab- ziehen","['Die Unkosten sind bereits in Ab- zug gebracht worden.', 'Wie sollte man die kleine Unsicherheit beim Aufsprung – wenn sie kein Sturz war – in Abzug brin- gen? (Olympia 1964, 72).']"
mit Ach und Krach,"mit Mühe und Not, gerade noch","['Mit Ach und Krach haben wir den Zug erreicht.', 'Als nach der mit Ach und Krach bestandenen Rei- feprüfung der Neffe in das Seminar eintrat, brach der Weltkrieg aus (Werfel, Himmel 33).']"
Ach und Weh schreien,jammern und klagen,"['Nachdem das Unglück ge- schehen war, schrien alle Betroffenen Ach und Weh.']"
mit vielem Ach und Weh; mit/unter Weh und Ach,"mit vielem Klagen, Stöh- nen; höchst ungern",['Mit vielem Ach und Weh hatte sie endlich die zwanzig Euro aus ihrem Portemonnaie gekramt. Dach.']
auf  Achse sein,"unter- wegs, auf Reisen sein","['Als Vertreter ist er ständig auf der Achse.', 'Bei drückender Hitze von 35 Grad sind die Helfer unent- wegt auf Achse, helfen bei Medikamen- tenversorgung, ärztlicher Betreuung und Brunnenuntersuchung (MM 26. 1. 2005).']"
"die Achsel, mit den Achseln/der Achsel zucken","mit einem Hochziehen der Schultern zu verstehen geben, dass man etw. nicht weiß, nicht versteht, dass einem etw. gleichgültig ist","['Beamte in allen In- stanzen zucken hilflos die Achseln, wenn man sie fragt, was denn nun genau für diesen Fall an Gesetzen gilt oder nicht (Standard 18. 7. 2009, 35). Was sollen wir machen, zuckt ein Uniformierter die Achsel (taz 4. 6. 2003, 22).']"
etw. auf die leichte Achsel nehmen,etw. unangemessen leichtnehmen,"['Du darfst deine Krankheit nicht auf die leichte Ach- sel nehmen.', 'Der Bischof von Tarbes nimmt dabei die leidige Geschichte durchaus nicht auf die leichte Achsel (Werfel, Bernadette 179).']"
jmdn. über die Achsel ansehen,auf jmdn. herabsehen,"['Man sprach mit Geringschät- zung von ihnen, sie wurden über die Achsel angesehen (Th. Mann, Zauberberg 286). Der Geschäftsmann, der den Gro- schen, den sauer erarbeiteten Groschen des Arbeiters über die Achsel ansieht, be- geht einen schweren Fehler (Brecht, Gro- schen 155).']"
jmdn. in Acht und Bann tun/erklären,1. über jmdn. die Reichsacht und den Kirchenbann verhängen,['Der Kö- nig ließ ihn und seine Familie in Acht und Bann erklären.']
jmdn. in Acht und Bann tun/erklären,"2. jmdn. aus einer Gemein- schaft ausschließen, aufs Schärfste verur- teilen","['Eine Reihe von anderen nicht ganz unbekannten Kompatrioten wurde zu- sammen mit mir in Acht und Bann getan (K. Mann, Wendepunkt 266).']"
etw. außer  Acht lassen; etw. aus der/aus aller Acht lassen,etw. nicht beachten,"['Bei der Entscheidung hatte man wichtige Aspekte außer aller Acht gelassen.', 'Ein vor der Öffentlichkeit handelnder Verband trägt eine Verant- wortung, die ein heimlich agierender oft außer Acht lässt (Fraenkel, Staat 74).']"
"sich vor jmdm., etw. in Acht nehmen","sich vorsehen, sich hüten","['Nimm dich vor diesem Menschen in Acht! jeder Landwirt oder Reiter weiß, wie sehr man sich vor den Hinterbeinen und auch vor den Vorderhufen in Acht nehmen muss (Grzimek, Serengeti 306).']"
jmdm. ’nen Achter ins Hemd treten,jmdn. gehörig verprü- geln,"['Wenn der erfährt, dass du ge- quatscht hast, tritt der dir ’nen Achter ins Hemd.']"
jmdn. achtkantig/vierkantig hinauswerfen/rausschmeißen,"jmdn.  ausgesprochen grob aus dem Haus, dem Raum weisen, entlassen","['Mein Meister hätte mich acht- kantig rausgeschmissen, wenn ich mich so lässig benommen hätte wie die jun- gen Leute heutzutage (Hörzu 37, 1981, 149).']"
alle Achtung!,das verdient Aner- kennung! (Ausruf der Bewunderung),"['In Mathe eine Eins! Alle Achtung! Alle Achtung! rief Ullrich aus, in unwillkürli- cher Anerkennung der militärbehördli- chen Einsicht (Musil, Mann 1252).']"
auf achtzig sein/kommen,"vor Wut rasen, rasend werden","['Seine Frau ist auf achtzig, weil das Essen im Ofen verbrutzelt und er wieder nicht angeru- fen hat, dass er später nach Hause kommt.', 'Mein Zittern wurde zu einem Zittern der Wut Ich kam auf achtzig und stürzte mich auf den Jungen (Genet [\x05bers.], Miracle 141). Vgl. die folgende Wendung.']"
jmdn. auf achtzig bringen,jmdn. rasend vor Wut machen,['Der bringt mich mit seinem Gequatsche auf achtzig.']
sich vom Acker machen,sich davonmachen; verschwinden,"['Mach dich vom Acker! Mach Mücke! (Degener, Heimsuchung 118). Er solle sich schleu- nigst vom Acker machen, sonst hole er die Polizei! (taz 17. 3. 2012, 20–21).']"
etw. ad absurdum füh- ren,die Unsinnigkeit von etw. aufzeigen,"['Ich werde diese Behaup- tungen ad absurdum führen.', 'Was ich sehe, sage, höre, wird vom nächsten Moment bereits überholt und ad absur- dum geführt (Simmel, Stoff 361).']"
etw. ad acta legen,"eine Angelegenheit als erledigt betrachten; über etw. nicht mehr sprechen, verhandeln","['Eine solche Initiative wäre also der beste Weg, das Projekt der Wäh- rungsunion zumindest für die kommenden Jahre ad acta zu legen (Zeit 1. 3. 1996, 29).']"
der alte Adam,"die alten Schwächen, Gewohnheiten eines Mannes","[' von dem Egoismus ihrer männlichen Wünsche sprechen sie kaum. Der alte Adam feiert hier fröhliche Urständ (Dierichs, Männer 8).']"
den alten Adam ausziehen,seine Fehler und Schwächen ablegen,"['Höchste Zeit, dass du den alten Adam ausziehst, für Chauvinisten ist in unserer Gruppe kein Platz.']"
seit Adams Zeiten/Tagen,"seit je, solange man denken kann",['Das ist doch schon seit Adams Zeiten bekannt. Nach diesem Verfahren arbeiten wir seit Adams Tagen.']
bei Adam und Eva anfangen,bei seinen Ausführungen sehr weit ausholen,['Ich setze rudimentäre Kenntnisse des Stoffes voraus und werde in meinen Aus- führungen deshalb nicht bei Adam und Eva anfangen.']
von Adam und Eva stammen,"(von Dingen, Anschauungen o. Ä.) sehr alt, ver- altet sein","['Na, dein Konzept von der Rolle der Frau in einer Ehe stammt ja wohl von Adam und Eva, alter Chauvinist!']"
nach Adam Riese,richtig gerechnet,"['Nach Adam Riese macht das zwölf Euro. Der Vorwurf, die Ökosteuer belaste die Wirtschaft, kann nach Adam Riese nicht stimmen.']"
im Adamskostüm,(als Mann) nackt,"['Er stand im Adamskostüm in der Küche. Blitzer oder Flitzer nannte man die Leute, die aus Jux im Adamskostüm über die Straße rannten.', 'Er lichtete Aktmodelle ab und ließ sich auch von ihnen im Adamskos- tüm fotografieren (Presse 13. 5. 2015, 24).']"
einer Sache Ade/Adieu sagen,"Abstand von etw. nehmen, etw. aufgeben","['Schon lange hat der Bürgermeister von Beverungen der Kernkraft Ade gesagt, schweren Herzens (Wirtschaftswoche 6.6. 2011, 23). Der Wissenschaftler gehört zu den Tausenden hoch qualifizierter Deutscher, die der Heimat Adieu sagen und sich in das Abenteuer Ausland stür- zen (Wirtschaftswoche 23. 6. 2008, 24).']"
Adel verpflichtet,"Zugehö- rigkeit zu einer gehobenen Gesellschafts- schicht verpflichtet zu einer bestimmten Lebensweise, einem bestimmten Lebens- stil","['Sie aß Austern zum Dinner, denn Adel verpflichtet.']"
