English Sentence,Detected Idiom (EN),Korean Sentence,Detected Idiom (KR)
 I haven't seen you in a dog's age!,"""dog's age""

Sentence: ""The new employee is really struggling to cut to the chase.""
Output:  ""cut to the chase""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The new employee is really struggling to learn the ropes and cut to the chase.""
Output:  ""learn the ropes"" and ""cut to the chase""

Sentence: ""The new employee is really struggling to learn the ropes and cut to the chase and kick the bucket.""
Output:  ""learn the ropes"" and ""cut to the chase"" and ""kick the bucket""

Sentence: ""The new employee is really struggling to learn the ropes and cut to the chase and kick the", 너 어디 갔었냐? 삼대 구 년 만에 보는 것 같다?,"""None""

Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""10년 동안이나""

Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""10년 동안이나""

Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""10년 동안이나""

Sentence: ""그는 10년 동안이나 그 회사에서 일했다.""
Output: ""10년 동안이나""

Sentence: ""그는 10년 동안이나 그 회사에서"
 I've been a vegetarian for donkey's years.,"""donkey's years""

Sentence: ""I'm reading a book about the history of the world, and it's really interesting.""
Output:  ""None""

Sentence: ""I'm feeling under the weather today, so I'm going to stay home and rest.""
Output:  ""under the weather""

Sentence: ""I'm going to the store to buy some milk, but I don't know if they have any.""
Output:  ""None""

Sentence: ""I've been working like a dog all day, and I'm exhausted.""
Output:  ""like a dog""

Sentence: ""I'm going to the movies tonight to see the new superhero film.""
Output:  ""None""

Sentence: ""I've been feeling really down", 이 식당에도 삼대 구 년 만에 온 것 같은데 여전히 옛날 맛 그대로네?,"""None""

Sentence: ""이제는 그만해라. 그만하면 돼.""
Output:  ""그만하면 돼"""
 The trip was duck soup for experienced travelers.,"""duck soup""

Sentence: ""The new employee is really struggling to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the students to take out their books and turn to page 32.""
Output:  ""None""

Sentence: ""The company is in a tight spot financially and is looking for investors.""
Output:  ""tight spot""

Sentence: ""The new policy is a real game-changer for our company.""
Output:  ""game-changer""

Sentence: ""The teacher asked the students to take out their books and turn to page 32.""
Output:  ""None""

Sentence: ""The company is in a tight spot financially and is looking for investors.""
Output:  ""tight spot""

Sentence:", 겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다고 이 정도 일이면 만족하고 해야지.,"""겉보리 돈 사기""Sentence: ""그는 어린 시절부터 부모님을 따라서 운동을 하다 보니 운동이 몸에 밴 것이다.""
Output: ""None""Sentence: ""그는 어린 시절부터 부모님을 따라서 운동을 하다 보니 운동이 몸에 밴 것이다.""
Output: ""None""Sentence: ""그는 어린 시절부터 부모님을 따라서 운동을 하다 보"
 Ella thinks it's going to easy-peasy,"""easy-peasy""

Sentence: ""The new employee is a real go-getter.""
Output:  ""go-getter""

Sentence: ""The new employee is a real go-getter and always on the ball.""
Output:  ""go-getter"" and ""on the ball""

Sentence: ""The new employee is a real go-getter and always on the ball and always on the go.""
Output:  ""go-getter"", ""on the ball"", and ""on the go""

Sentence: ""The new employee is a real go-getter and always on the ball and always on the go and always on the move.""
Output:  ""go-getter"", ""on the ball"", ""on the go"", and ""on the move", 진정 능력있는 사람은 복잡한 일도 주먹으로 물 찧듯이 해내는 법이다.,"""주먹으로 물 찧듯이""Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""Sentence: ""그는 일에 대한 열정과 책임감이 남다르다.""
Output:  ""None""Sentence: ""그는 일에 대한 열정과 책임감이 남다"
 The professor told him not to attend his class in a fit of anger.,"""None""

Sentence: ""The company is going to go the extra mile to satisfy their customers.""
Output:  ""go the extra mile""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The teacher asked the students to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company is going to go the extra mile to satisfy their customers.""
Output:  ""go the extra mile""

Sentence: ""The teacher asked the students to take it with", 신입의 개념없는 행동에 팀장님은 골 올라 소리쳤다.,"""골 올라 소리쳤다""

 Sentence: ""그는 10년간의 노력 끝에 드디어 CEO가 되었다.""
Output: ""드디어"" 

 Sentence: ""그는 10년간의 노력 끝에 드디어 CEO가 되었다.""
Output: ""드디어"" 

 Sentence: ""그는 10년간의 노력 끝에 드디어 CEO가 되었다.""
Output: ""드디어"" 

 Sentence: ""그는 10년간의 노력 끝에 드디어 CEO가 되었다.""
Output: ""드디어"""
 He bounced into the office full of the joys of spring,"""None

Sentence: ""The company will turn over a new leaf and start fresh.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the student to take a seat and listen to the lesson.""
Output:  ""None

Sentence: ""The company will have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher asked the student to take a seat and listen to the lesson.""
Output:  ""None

Sentence: ""The company will have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher asked the student to take a seat and listen to the lesson.""
Output:  ""None", 취직에 성공해 잔치날에 큰상 받는 기분으로 출근하는 것도 그리 오래 가지는 않았다.,"""잔치날에 큰상 받는""

 Sentence: ""그는 친구의 도움으로 취직에 성공했다.""
Output: ""None"""
 Poor old Bob got it in the neck for being late.,"""got it in the neck""

Sentence: ""The new employee is really struggling to find his feet in the company.""
Output:  ""find his feet""

Sentence: ""The new employee is really struggling to find his feet in the company, but he's getting there slowly but surely.""
Output:  ""find his feet""

Sentence: ""The new employee is really struggling to find his feet in the company, but he's getting there slowly but surely, and he's on the ball now.""
Output:  ""find his feet"" and ""on the ball""

Sentence: ""The new employee is really struggling to find his feet in the company, but he's getting there slowly but surely, and he’s on the ball now, and", 결국 반복된 지각을 들킨 선배는 제대로 혼뜨검 만나버렸다.,"""제대로 혼뜨검 만나버렸다""

Sentence: ""그는 결국 반복된 지각을 들킈 선배는 제대로 혼뜨검 만나버렸다.""
Output:  ""제대로 혼뜨검 만나버렸다""

Sentence: ""그는 결국 반복된 지각을 들킈 선배는 제대로 혼뜻검 만나버렸다.""
Output:  ""제대로 혼뜻검 만나버렸다""

Sentence: ""그는 결국"
 We don't want to see our business go down the pan.,"""go down the pan""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it.""
Output:  ""cross that bridge when I come to it""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it, and I'll take it with a grain of salt.""
Output:  ""cross that bridge when I come to it"" and ""take it with a grain of salt""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it, and I'll take it with a grain of salt, and I'll be happy to be in the black.""
Output:  """, 팀을 결승까지 올려놓고 결국 부상을 입은 그 선수는 팀이 준우승하는 것을 닭 쫓던 개 울타리 넘겨다보는 심정으로 지켜볼 수 밖에 없었다.,"""닭 쫓던 개 울타리 넘겨다보는""

 Sentence: ""그는 10년간의 노력 끝에 드디어 그 꿈을 이루었다.""
Output: ""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 그 꿈을 이루었다.""
Output: ""드디어""

 Sentence: ""그는"
 When I served in Vietnam I definitely thought I'd be going home in a box but luck was on my side.,"""going home in a box""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail.""
Output:  ""two shakes of a lamb's tail""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail, but first I have to take it with a grain of salt.""
Output:  ""two shakes of a lamb's tail"" and ""take it with a grain of salt""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail, but first I have to take it with a", 그렇게 주인을 지키려 했던 충직한 개는 한 줌 재가 되어버렸다.,"""한 줌 재가 되어버렸다"""
 When he went west he wanted to be remembered.,"""went west""

Sentence: ""The teacher asked the students to take out their pencils and paper.""
Output:  ""None""

Sentence: ""The company will go under unless something is done to save it.""
Output:  ""go under""

Sentence: ""The teacher asked the students to take out their pencils and paper.""
Output:  ""None""

Sentence: ""The company will go under unless something is done to save it.""
Output:  ""go under""

Sentence: ""The teacher asked the students to take out their pencils and paper.""
Output:  ""None""

Sentence: ""The company will go under unless something is done to save it.""
Output:  ""go under""

Sentence: ""The teacher asked the students to take out their", 그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.,"""한 줌 재가 되어서도""

 Sentence: ""그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.""
Output: ""한 줌 재가 되어서도""

 Sentence: ""그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.""
Output: ""한 줌 재가 되어서도""

 Sentence: ""그는 한 줌 재가 되어서도 사람들의 기억 속에 강하게 남았다.""
Output: ""한 줌 재가"
 Check them thoroughly before submitting them because haste makes waste.,"""haste makes waste""

Sentence: ""The new employee is very smart and will make a great addition to our team.""
Output:  ""None""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go under if they don't change their business strategy.""
Output:  ""go under""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The company will go under if they don't change their business strategy.""
Output:  ""go under""

Sentence: ""The teacher asked the student to take it with a", 급히 먹는 밥이 목이 멘다고 그렇게 서두르다가 사고치지 말고 천천히 해라.,"""급히 먹는 밥이 목이 멘다고"" and ""천천히 해라"" are idioms, but the correct output is only ""급히 먹는 밥이 목이 멘다고"" because ""천천히 해라"" is not an idiom in the classical sense, but rather an imperative phrase. 

 Sentence: ""그는 어린 시절부터 천방지세를 보아왔고, 그 덕분에 그는 지금도 천방"
Dad'll hit the ceiling when he finds out I've left school.,"""hit the ceiling""

Sentence: ""I'm feeling really down today, but I'll be back on my feet soon.""
Output:  ""back on my feet""

Sentence: ""I'm feeling really down today, but I'll be back on my feet soon, and I'll be raring to go.""
Output:  ""back on my feet"" and ""raring to go""

Sentence: ""I'm feeling really down today, but I'll be back on my feet soon, and I'll be raring to go, and I'll be burning the midnight oil.""
Output:  ""back on my feet"", ""raring to go"", and ""burning the midnight oil""

Sentence: ""I'm feeling", 단 0.5점 차이로 시험에 떨어진 나는 이를 갈며 1년을 더 공부해야 했다.,"""이를 갈며""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을"
The coach isn't going to hit the panic button just because we lost two games.,"""hit the panic button""

Sentence: ""The company is going to go under unless they can find a way to stay afloat.""
Output:  ""stay afloat""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new employee is eager to learn the ropes.""
Output:  ""learn the ropes""

Sentence: ""The company is going to have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher told the students to take a rain check and come back another day.""
Output:  ""take a rain check""

Sentence: ""The", 계속된 실수에 주눅든 막내는 뒤웅박 신고 얼음판에 선 것 같은 기분으로 일하기 시작했다.,"""뒤웅박 신고""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다. 그는 10년 동안이나 그 회사에 다녔다. 그는 10년 동안이나 그 회사에 다녔다. 그는 10년 동안이나 그 회사에 다녔다. 그는 10년 동안이나 그 회사에 다�"
We’re still in the hole on our credit cards.,"""in the hole""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail.""
Output:  ""two shakes of a lamb's tail""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail, but first I have to take it with a grain of salt.""
Output:  ""two shakes of a lamb's tail"" and ""take it with a grain of salt""

Sentence: ""I'm going to the store, and then I'll be back in two shakes of a lamb's tail, but first I have to take it with a grain of salt, and then I'll be back in two shakes of", 능력도 없이 덜컥 외제차를 샀다간 고슴되치 외 따 지는 수가 있다.,"""고슴되치 외 따 지는 수""

 Sentence: ""그는 30년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""

 Sentence: ""그는 30년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""

 Sentence: ""그는 30년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어""

 Sentence: ""그는 30년간의 노"
"Seeing me angry upon my team,the coach came up to me and told that a bad workman blames his tools.","""blames his tools""

Sentence: ""The new employee was very nervous on his first day of work.""
Output:  ""None""

Sentence: ""The teacher asked the student to take the bull by the horns and confront the problem.""
Output:  ""take the bull by the horns""

Sentence: ""The company will have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher asked the student to take the bull by the horns and confront the problem.""
Output:  ""take the bull by the horns""

Sentence: ""The company will have to bite the bullet and lay off some employees.""
Output:  ""bite the", 본인의 무능을 감추고자 부하들을 혼내고 닦달하기만 하는 상사에 질린 사람들은 쓸 줄 모르는 것이 책부터 나무란다며 그를 뒷담화했다.,"""쓸 줄 모르는 것이 책부터 나무란다""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

 Sentence: ""그는 10년간의 노력 끝에 드디어 성공을 맛보았다.""
Output: ""드디어 성공을 맛보았다""

 Sentence: ""그는"
The exam was a piece of cake.,"""piece of cake""

Sentence: ""The company will go under unless something is done to save it.""
Output:  ""go under""

Sentence: ""The teacher asked the student to take it with a grain of salt.""
Output:  ""take it with a grain of salt""

Sentence: ""The new policy is a bitter pill to swallow for many employees.""
Output:  ""bitter pill to swallow""

Sentence: ""The city is a jungle, and only the strongest will survive.""
Output:  ""None""

Sentence: ""The new smartphone is the best thing since sliced bread.""
Output:  ""best thing since sliced bread""

Sentence: ""The teacher told the students to burn the midnight oil to finish their project.""
Output:  ""burn the", 걱정했던 것과 다르게 그 면접은 주먹으로 물 찧기였다.,"""주먹으로 물 찧기""

 Sentence: ""그는 그저 한 번의 실수로 인생을 망쳐버렸다.""
Output: ""한 번의 실수로 인생을 망쳐버리다""

 Sentence: ""그는 그저 한 번의 실수로 인생을 망쳐버렸다.""
Output: ""한 번의 실수로 인생을 망쳐버리다""

 Sentence: ""그는 그저 한 번의 실수로 인생을 망쳐버렸다.""
Output: ""한 번의"
"If a computer could say precisely when you were going to kick the bucket, would you want to know?","""kick the bucket""

Sentence: ""The new employee is really struggling to cut to the chase and get to the point.""
Output:  ""cut to the chase""

Sentence: ""The new employee is really struggling to cut to the chase and get to the point.""
Output:  ""cut to the chase""

Sentence: ""The new employee is really struggling to cut to the chase and get to the point.""
Output:  ""cut to the chase""

Sentence: ""The new employee is really struggling to cut to the chase and get to the point.""
Output:  ""cut to the chase""

Sentence: ""The new employee is really struggling to cut to the chase and get to the point", 사업 실패로 갚지 못할 빚을 잔뜩 진 그는 한 줌 재가 되는 길을 택했다.,"""한 줌 재가 되는""Sentence: ""그는 한 줌 재가 될 때까지도 자신의 잘못을 인정하지 않았다.""
Output: ""한 줌 재가 될""Sentence: ""그는 한 줌 재가 될 때까지도 자신의 잘못을 인정하지 않았다.""
Output: ""한 줌 재가 될""Sentence: ""그는 한 줌 재가 될 때까지도 자신의 잘못을 인정하지 않았다.""
Output: ""한 줌 재"
No one knows exactly how or where he met his death.,"""met his death""

Sentence: ""The company will turn over a new leaf and start fresh.""
Output:  ""turn over a new leaf""

Sentence: ""The teacher asked the student to take a seat and be quiet.""
Output:  ""None""

Sentence: ""The company will have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher asked the student to take a seat and be quiet.""
Output:  ""None""

Sentence: ""The company will have to bite the bullet and lay off some employees.""
Output:  ""bite the bullet""

Sentence: ""The teacher asked the student to take a seat and be quiet.""
Output:  ""None""

Sentence: """, 그 소방관은 불 속에서 사람을 구하다 한 줌 재가 되어 우리들의 마음속에 묻혔습니다.,"""한 줌 재가 되어""

 Sentence: ""그는 한 줌 재가 되어버렸습니다.""
Output: ""한 줌 재가 되어버렸습니다"""
"If he doesn't turn up tonight, his name will be mud.","""name will be mud""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it.""
Output:  ""cross that bridge when I come to it""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it, and then I'll be in a pickle.""
Output:  ""cross that bridge when I come to it"" and ""in a pickle""

Sentence: ""I'm not sure what to do, but I'll cross that bridge when I come to it, and then I'll be in a pickle, and then I'll be in a tight spot.""
Output:  ""cross that bridge when I come to it", 머리 나쁘고 성격 안좋기로 꼬리표 붙은 것 치고는 직접 만나보니 괜찮은 사람이었다.,"""꼬리표 붙은""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence: ""그는 10년 동안이나 그 회사에 다녔다.""
Output: ""None""

 Sentence:"
When are you going to name the day?,"""name the day""

Sentence: ""I'm going to the store, and then I'll be back.""
Output:  ""None""

Sentence: ""I'm going to the store, and then I'll be back home in time for dinner.""
Output:  ""None""

Sentence: ""I'm going to the store, and then I'll be back home in time for dinner, and then I'll be back home in time for dinner.""
Output:  ""None""

Sentence: ""I'm going to the store, and then I'll be back home in time for dinner, and then I'll be back home in time for dinner, and then I'll be back home in time for dinner, and then I'll be back home in time for", 내 동생이 나보다 먼저 여친과 날 잡는 이야기를 하는 것을 보니 조금 씁쓸하네.,"""날 잡는""

 Sentence: ""이제는 그만두자.""
Output:  ""그만두자""

 Sentence: ""그는 내게 한마디도 말하지 않고 떠나버렸다.""
Output:  ""한마디도"""
