KR_Sentence,Idiom,Translated_English
 그 휴대폰의 신기능은 설명을 들어도 모르겠는게 외 얽고 벽 친 기분이었다.,go over one's head,"' 그 휴대폰의 신기능은 설명을 들어도 모르겠는게 외 얽고 벽 친 기분이었다.'라는 문장을 한국어에서 영어로 번역해 주세요.기술과 능력이 부족한 사람이 객관적인 조건만 탓하는 경우를 비유적으로 이르는 말.,할 줄 모르는 것이 책부터 나무란다.‘ 할 수 있는 일이 Nothing nothing’ 없다는 것을 알리도록 격려와 독"
 그 공연은 몹시 즐거웠고 관객들은 전부 입이 가로 터졌다.,over the moon,' 그 공연은 몹시 즐거웠고 관객들은 전부 입이 가로 터졌다.'라는 문장을 한국어에서 영어로 번역해 주세요.그 콘서트는 매우 흡족하게 진행되었습니다.All concerts sold out quickly.Concerts sell out fast.빠르게 팔리는 상품을 먼저 추가해보십시오Add the fastest selling items first.Add the quickest moving products first.오래된 방문자 기록 및 보고를 삭제Delete old
 어차피 살 시간이 얼마 남지 않았는데 한 줌 재가 되기 전에 좋은 일을 많이 해야겠다.,pass away,"' 어차피 살 시간이 얼마 남지 않았는데 한 줌 재가 되기 전에 좋은 일을 많이 해야겠다.'라는 문장을 한국어에서 영어로 번역해 주세요.남은 날을 두 눈으로 보게 됨을 비유적으로 이르는 말.,한줌재이가되기에만하면도굶주린 개 울타리 넘겨다보듯.', '삼대 구 년 만에.'.additionally, only when it rains looks"
 매치포인트의 경기를 지켜보는 국민 모두가 뒤웅박 신고 얼음판에 선 것 같이 긴장하고 있었다.,press the panic button,"' 매치포인트의 경기를 지켜보는 국민 모두가 뒤웅박 신고 얼음판에 선 것 같이 긴장하고 있었다.'라는 문장을 한국어에서 영어로 번역해 주세요.매칭 포인트를 보며 열광하는 모든人が 빚을 많이 짊어진다는 말., intoxically high on match points).‘도둑’ 또는 ‘밤이슬 맞은 놈’을 비유적으로 이르는 말"
 그가 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.,quake in one's boots,' 그가 정말 화난 모습을 보면 자연스럽게 간이 오그라들기 마련이다.'라는 문장을 한국어에서 영어로 번역해 주세요.누군가 진정한 분를 보았습니다.간이오그ρα들다.+몹시 두려워지거나 무서움을 비유적으로 이르는 말.'.본인을 포함하여 가까운 사람들을 불러 이상할 만에 대비하기.|‘화가 치밀
 우리 아버지는 검은 머리 파 뿌리 되도록 사시면서도 감기 한번 걸리는 일 없었다.,ripe old age,"' 우리 아버지는 검은 머리 파 뿌리 되도록 사시면서도 감기 한번 걸리는 일 없었다.'라는 문장을 한국어에서 영어로 번역해 주세요.우리 아버지는 오래 살아 아주 늙을 때까지를 이르는 말.""검은머리가되면색다른놈과혼인하다"".출산 후에 두 번째 부부가 된 것 같다.”고향으로 귀촌한다.To give up one's"
 그 부대는 지휘관을 잃자마자 손쉽게 무릎 꿇고 말았다.,say uncle,' 그 부대는 지휘관을 잃자마자 손쉽게 무릎 꿇고 말았다.'라는 문장을 한국어에서 영어로 번역해 주세요.그 단일 사령부가 장치 해제되면 쉽 dàng히 굴복했다.|이 소규모한 연합군은 명령자가 없이도 kolay하게 패배한다..a single command can break this alliance easily'|this small coalition will fall apart without
 모두 가짜라는 것을 알고 있는데도 그 공포의 집에 들어간 순간 간이 오그라들었다.,shake in one's boots,' 모두 가짜라는 것을 알고 있는데도 그 공포의 집에 들어간 순간 간이 오그라들었다.'라는 문장을 한국어에서 영어로 번역해 주세요.모두 거짓이라는 사실을 알면서 그것에게 속는 것이다.입다.(‘될 수 있는 대를 다 하여’ 등을 비유적으로 이르는 말.).삼대 구 년 만에.…for the first time in three generations.to a place where one has been before;
 가족을 먹여살리고자 밤낮 없이 일하다 불의의 사고로 한 줌 재가 되어버린 그가 남긴 자산을 그리 많지 않았다.,shuffle off this mortal coil,"' 가족을 먹여살리고자 밤낮 없이 일하다 불의의 사고로 한 줌 재가 되어버린 그가 남긴 자산을 그리 많지 않았다.'라는 문장을 한국어에서 영어로 번역해 주세요.하루에 이르는 동안 태양이 동쪽으로 이동하는 것을 비유적으로 이르기 위하여 사용되는 말.,일이가오나다.+프ρά제를 이루는 관용구 '뒤"
 우리가 매일 발 뻗고 잘 수 있는건 군인들의 노고가 있기 때문이다.,sleep like a log,' 우리가 매일 발 뻗고 잘 수 있는건 군인들의 노고가 있기 때문이다.'라는 문장을 한국어에서 영어로 번역해 주세요.군인이 되어서 날마다 피를 흘겨야 하는 것이 편히 자다의 조건이 아닙니다.We are not born to bleed every day and sleep peacefully.The condition for sleeping soundly is not being a soldier who bleeds everyday.매우 가까운 거리를 비유
 나는 오늘 당한 억울한 일 생각에 이가 갈려 잠을 설쳤다.,spit blood,"' 나는 오늘 당한 억울한 일 생각에 이가 갈려 잠을 설쳤다.'라는 문장을 한국어에서 영어로 번역해 주세요.오늘 잘못된 조건으로 실패했습니다.이기 때문에 슬프고 깊은 감동을 받아 눈물이 핑 돌면서 자다.)눈뿌리가 뜨겁다.,슬퍼서 가슴에 강대한 정열적 충격을 받게 되어서"
 웬 밤이슬 맞는 놈이 내 자전거를 가져갔어!,tea leaf,"' 웬 밤이슬 맞는 놈이 내 자전거를 가져갔어!'라는 문장을 한국어에서 영어로 번역해 주세요.누군가 나쁜 평가 받게 되면 비유적으로 이르는 말.'뒤웅박 신고 얼음판에 선 것 같다'.몹시 위태로워서 불안하고 조심스러움을비율으로 표현하다.,‘죽다’를 비유"
 그 가족의 이야기는 모두의 눈뿌리를 뜨거워지게 하였다.,tear-jerking,' 그 가족의 이야기는 모두의 눈뿌리를 뜨거워지게 하였다.'라는 문장을 한국어에서 영어로 번역해 주세요.그家族の話はみんなに涙を流させる。Everyone will cry listening to that family's story.).with that familys stroy everyone cries);누군가에게 나쁜 평가나 평판을 받다.to have a bad reputation or be highly discredited;to be viewed negatively or
 그 경기장에서 일하면 돈도 벌면서 경기도 공짜로 보니 굿도 볼 겸 떡도 먹을 겸 아니겠어?,the best of both worlds,"' 그 경기장에서 일하면 돈도 벌면서 경기도 공짜로 보니 굿도 볼 겸 떡도 먹을 겸 아니겠어?'라는 문장을 한국어에서 영어로 번역해 주세요.한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.,할 줄 모르지만 재료만 부단히 찾는 사람에게 덮치듯이 내다던 물건 팔기"
 반칙까지 써가면서 경기를 했음에도 득점을 못하자 그들은 결국 무릎 꿇고 말았다.,throw in the towel,"' 반칙까지 써가면서 경기를 했음에도 득점을 못하자 그들은 결국 무릎 꿇고 말았다.'라는 문장을 한국어에서 영어로 번역해 주세요.더 이상 승리를 기대할 수 없습니다I give up; I admit defeat.More games, more glory!More maps, More fun!매우 가까운 거리부터 시작하여 멀티플레이에서는 사용 불가능합니다Multiplayer not available in short distance mode"
 그 교관님은 첫날부터 우리를 될 수 있는 대로 뛰게 만들었다.,to the nth degree,"' 그 교관님은 첫날부터 우리를 될 수 있는 대로 뛰게 만들었다.'라는 문장을 한국어에서 영어로 번역해 주세요.그 선생님께서는 일곱번째 날에야 겨우 눈뿌리가 뜨겁다 하여라.,될 수 있는 대로,가능한 한 최대로.),일이 매우 쉽다는 말.'.to the best of one's ability'.최선을 다하여 일을 하는데 실패"
 비리를 들킨 김 과장은 끝끝내 콩밥 맛을 보고야 말았다.,up the river,' 비리를 들킨 김 과장은 끝끝내 콩밥 맛을 보고야 말았다.'라는 문장을 한국어에서 영어로 번역해 주세요.김 대장은 마지막까지 꾸지람을 듣고 자다라고 합니다.이르는 것을 두려워리는 못하다.to be scared of one's own shadow.무릎 꿇는 것이 쉽다는말.항복하거나 굴복하여 실패를 맞게 되
 복권이 당첨된 아저씨는 입이 가로 터져 소리 질렀다.,walking on air,' 복권이 당첨된 아저씨는 입이 가로 터져 소리 질렀다.'라는 문장을 한국어에서 영어로 번역해 주세요.복wicki deungeosseun ibei gajo todeu sori jilssseoleta.lottery winner opens mouth in surprise.exclaims lottery winner.opening his month in astonishment.).
