Sentence,KR_Idiom,Translated_Korean
 I haven't seen you in a dog's age!,삼대 구 년 만에,"Translate the following sentence into Korean:'I haven't seen you in a dog's age!'한 개월 만에 다시 만나다.재회을 일곱번째로 미루는 경우를 비유적으로 이르는 말.,매우 오랜만에.'.meet again after seven months).an expression used to describe something that happens very rarely.meet or see someone for the first time in many years.
I'm sorry, but this item can no longer be reserved.It was due"
 I've been a vegetarian for donkey's years.,삼대 구 년 만에,Translate the following sentence into Korean:'I've been a vegetarian for donkey's years.'나는 오래된 동기와의 연결을 끊습니다Disconnect from old syncs tooI also disconnect from old.syncsTooAlso remove data fromoldsyncsanddonkeysyearsdisconnectfromthemtooRemove datafromoldsyncsatendonedsconnecttoomremoveatafroldsynatendysyearsdisonnectformtobooalsoremovadataforolddatasynctool
 The trip was duck soup for experienced travelers.,겉보리 돈 사기가 수양딸로 며느리 삼기보다 쉽다,"Translate the following sentence into Korean:'The trip was duck soup for experienced travelers.'경험있는 여행자에게는 쉬운 일이었습니다Easy peasy!Trip of a lifetime.한 생애에 한번쯤은 가봐야 하는 곳Must-visit place once in your life.A dream come true.Great experience overall.Learned so much from this course.Fantastic teacher, very patient and kind.Will recommend to my friends.Couldn't have asked for more.I"
 Ella thinks it's going to easy-peasy,주먹으로 물 찧기,Translate the following sentence into Korean:'Ella thinks it's going to easy-peasy'은지 문법을 검사합니다Check your grammar and spelling'.문서를 저장하기 위한 공간이 부족 합니다Not enough memory to save document.'.새로 고침 중에는 피드를 추가할 수 없습니다Unable to add feed while refreshing'.피드 업데이트가 실패하였습니다Failed updating feeds. '.더 이상 사용되지 않는 기능입니다Feature no longer supported.'대단
 The professor told him not to attend his class in a fit of anger.,골 오르다,Translate the following sentence into Korean:'The professor told him not to attend his class in a fit of anger.'교수는 분을 참지 못하여 수업에 오이지 마십시오Tell me when you want to start learning again.I will remind you then.한 가지 일을 하여 두 가지만 이룬다Do two things at once and get nothing done.Failed loading repository urlhttp://repo.urlFailed downloading repo info from http://url.comDownloading package updates failedDownload updated
 He bounced into the office full of the joys of spring,잔치날에 큰상 받는 기분,Translate the following sentence into Korean:'He bounced into the office full of the joys of spring'주변 사람들로부터의 접근을 거부합니다Reject offers from surrounding players'. Rejectoffersfromsurroundingplayers. 오래된 라디오를 나타내는 앱 아이콘App icon depicting an old radio오류에 대한 자세한 내용은 아래와 같습니다Details ofthe errors are below서버가 데이터 요청을 받지 않고 있습니다Server does not accept data requests더 많은
 Poor old Bob got it in the neck for being late.,혼뜨검 만나다,Translate the following sentence into Korean:'Poor old Bob got it in the neck for being late.'어떤 사람에게 나쁜 평가나 평판이 내려지다.‘도둑’을 비유적으로 이르는 말. 아주 하기 쉬운 일을비율로 일컫는말.겉보리 돈 사기가 수양딸에 오르가즘一样하다. ‘화가 치밀어서 가슴으로 내ρι침를 비
 We don't want to see our business go down the pan.,닭 쫓던 개 울타리 넘겨다보듯,"Translate the following sentence into Korean:'We don't want to see our business go down the pan.'우리가 우리의 비즈니스를 실패로 이기려는 것이 아니다.당신이 당신의 사업을 망치려고 한다를 나타내며, 결국은 성공으로 이어지다.to fail at something and make it worse; to try to do or achieve something that is impossible or very difficult.failing in an attempt to accomplish something extremely challenging or daunting.F"
 When I served in Vietnam I definitely thought I'd be going home in a box but luck was on my side.,한 줌 재가 되다,"Translate the following sentence into Korean:'When I served in Vietnam I definitely thought I'd be going home in a box but luck was on my side.'베트남에서 복무하던 중에 전역을 명령받았습니다I received orders to return stateside while stationed at Da Nang Air Base, South Viet Nam다나이 공군 기지 사생활 보호 모드Turn da nang air base privacy mode on or offToggle danangsaberprivacy."
 When he went west he wanted to be remembered.,한 줌 재가 되다,Translate the following sentence into Korean:'When he went west he wanted to be remembered.'서쪽으로 가던 중에 생긴 일로 인해 서거했습니다Died of an illness or accident while traveling eastwardsWestward ho! died on his way out there.일이 매우 쉽다는 말.very easy; a piece of cake.극도로 화가 나다.to become extremely angry.화가 치밀어 오르다.to feel intense anger or rage.눈
 Check them thoroughly before submitting them because haste makes waste.,급히 먹는 밥이 목이 멘다,Translate the following sentence into Korean:'Check them thoroughly before submitting them because haste makes waste.'급히 서명하는 것을 강력하게 제안합니다Strongly suggest signing quickly as haste makesthe heart despondent.heart of a person who is in despair or has given up hopedespairing; hopeless.sign documents electronicallyusing your smart card and PINcode.smartcard와 pin을 사용하여 전자서명을 합니다Useyoursmartcardsignatureselectronically.Useyourelectronic
Dad'll hit the ceiling when he finds out I've left school.,이 갈리다,"Translate the following sentence into Korean: 'Dad'll hit the ceiling when he finds out I've left school.'아버지가 내 SCHOOL LEAVE를 찾을 때 반복되는 패턴찾기Find and replace in all open files'All your base are belong to us''모든 기지개를 해제합니다Unlocks all bases'""Can not equip trade ship with weapons""무역상선에 무기를 장착할수 없습니다Cannotequiptrade_shipwithweapons""Warp"
The coach isn't going to hit the panic button just because we lost two games.,뒤웅박 신고 얼음판에 선 것 같다,Translate the following sentence into Korean: 'The coach isn't going to hit the panic button just because we lost two games.'코치가 두 게임을 잃어버린 것을 불안으로 여기지 않습니다Coach is not gonna freak out over 2 losses</translate>.
We’re still in the hole on our credit cards.,고슴도치 외 따 지듯,Translate the following sentence into Korean: 'We’re still in the hole on our credit cards.'카드 대금 결제를 위한 계산서 만기 알림Billing statement due for card chargebackNotify me when my billing st… 더 많은 언어로 보기View more languagesMore info about this project can be found here:http://www.transifex.com/projects/p/translators-toolbox/Find us at http://translatortoolboox.org or https://github.com/toolbot
"Seeing me angry upon my team,the coach came up to me and told that a bad workman blames his tools.",쓸 줄 모르는 것이 책부터 나무란다,"Translate the following sentence into Korean: 'Seeing me angry upon my team,the coach came up to me and told that a bad workman blames his tools.'코치가 나에게 달려들어와서 팀에 대해 화를 내는 것을 보다.잘못된 사용자가 잘라내린 만화 주인공 표현을 비유적으로 이르는 말.,기술과 능력이 부족한 사람이 객관적인 조건만 탓하는 경우を비유적으로"
The exam was a piece of cake.,주먹으로 물 찧기,"Translate the following sentence into Korean: 'The exam was a piece of cake.'시험은 매우 쉽다는 말.오래 살아 아주 늙을 때까지를 이르는 말.,일이 너무 쉬어서 재료만 하여금 나쁜 평가 받는 경우를 비유적으로 이르기./어떤 사람에게나 잘못된 평판이나 신용 관계가 확립되어 가게 되다.한 줌 재가 될 수 있다.‘죽다"
"If a computer could say precisely when you were going to kick the bucket, would you want to know?",한 줌 재가 되다,"Translate the following sentence into Korean: 'If a computer could say precisely when you were going to kick the bucket, would you want to know?'컴퓨터가 죽다라는 문장을 한국어로 번역해 주세요.사용자 계정 정보를 업데이트합니다Update your account information.)업로드 할 수 있는 파일이 없습니다No files available for upload.).한 개 이상 트랙의 볼륨을 설정하세요Set loudness of one or more tracks).일"
No one knows exactly how or where he met his death.,한 줌 재가 되다,Translate the following sentence into Korean: 'No one knows exactly how or where he met his death.'누군가 정확히 알고 있지 않습니다 그가 어떻게 죽었는지 및 장소Death was likely sudden and unexpected.사망은 급작스럽고 예기치 않은 것으로 보입니다likely due to natural causesmost probably from old age일곱이 되어서 정년을 맞는 것이요。老死의 도를 넘겨 삼대 구 년 만에 오신
"If he doesn't turn up tonight, his name will be mud.",꼬리표 붙다,"Translate the following sentence into Korean: 'If he doesn't turn up tonight, his name will be mud.'이번에 안 오면 다음에는 못 올 확률 높아지기 쉽다The chances of him coming next time are slim to none if he doesnt show today.한 가지 일을 하여 두 가지는 얻는 것처럼 잘생긴 사람이 되도록美人관용구의 의미를 설명하세요.항복하거나 굴복하다.무릎 �"
When are you going to name the day?,날 잡다,Translate the following sentence into Korean: 'When are you going to name the day?'어떤 날에 주어진 이름의 파일을 열기Open file with givenname on some date메뉴 항목 아래로 이동Move menu item belowGo undermenu entrymove cursorwith selectionto beginning of wordSelect whole lineDelete currententry and move downCut marked textand go to next charPaste clipboardcontent at caret positionFind in filesSearch for stringin all mapsView map as imageExportmap
She was feeling on top of the world after winning the tennis tournament.,잔치날에 큰상 받는 기분,Translate the following sentence into Korean: 'She was feeling on top of the world after winning the tennis tournament.'테니스 대회를 이기고 세계 최강자로 등극feel like a champion after winning a big game or competition감옥살이를 하다.콩밥 맛을 보다.‘죽다’를 비유적으로 이르는 말.한 줌 재가 되다. ‘ 아주 가끔 ’ 을비ソ생이 나게 되는 경우를 비유
Many kids who try to run away from unhappy homes discover that they've jumped out of the frying pan into the fire when they try to live on their own.,엎친 데 덮치다,Translate the following sentence into Korean: 'Many kids who try to run away from unhappy homes discover that they've jumped out of the frying pan into the fire when they try to live on their own.'어떤 사람에게 나쁜 평가나 평판이 내려지다.‘도둑’을 비유적으로 이르는 말.꼬리표 붙게 되거나 불명예가 뒤따르다.오래 살아 아주 늙은 사람이 될 때까지를
"I tried to take in what he was saying about nuclear fusion, but most of it went over my head.",외 얽고 벽 친다,"Translate the following sentence into Korean: 'I tried to take in what he was saying about nuclear fusion, but most of it went over my head.'이론에서부터 존재하지 않는 개체를 삭제할 수 없습니다Can not delete entity that does not exist in theory anymore.메타데이터는 공유하지만 콘텐츠는 나눔Share metadatabutnotcontent노드에 스타일을 적용Could no apply styleto node사용자 정의 필드는"
She was over the moon about her new bike.,입이 가로 터지다,Translate the following sentence into Korean: 'She was over the moon about her new bike.'그녀는 새 자전거에 대해 열광적인 기쁨을 비유적으로 이르는 말.새로운 것을 보거나 얻어서 아주 즐겨요.감옥살이를 하다.극도로 화가 나다.화가 치밀어 오르다.몹시 꾸지람을 듣게 되다.꼬리표를 붙여 곤경
She's terribly upset because her father passed away last week.,한 줌 재가 되다,Translate the following sentence into Korean: 'She's terribly upset because her father passed away last week.'그녀는 매우 슬프고 깊은 감동을 받아 아버지가 마지막으로 만났던 사람에게 사물을 보이기ように 부르다.몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.화가 치밀어 오를 정도의 분을 참지 못하여 독한 마음 생기거나 벌 받
The coach isn't going to press the panic button just because we lost two games.,뒤웅박 신고 얼음판에 선 것 같다,Translate the following sentence into Korean: 'The coach isn't going to press the panic button just because we lost two games.'코치가 두 번째 경기도 패배할 때 경고 버튼을 누르지 않을 것입니다Coach will not push the alert button after 2nd game loss</translate>.
"Charlie stood outside the head teacher's office, quaking in his boots.",간이 오그라들다,"Translate the following sentence into Korean: 'Charlie stood outside the head teacher's office, quaking in his boots.'차동 쌍 간격이 허용 범위 벗어남Differential pair gap out of range주변 기기에서 전류 절전 모드Enter standby mode when idle for 30 minutes마우스 커서 아래에 기본 창 표시Show main window under mouse cursor바탕화면으로 끌어서 놓기를 할 수 없습니다Cannot drag to desktop icons"
I'm sure he'll live to a ripe old age.,검은 머리 파 뿌리 되도록,Translate the following sentence into Korean: 'I'm sure he'll live to a ripe old age.'어떤 사람에게 나쁜 평가나 평판이 내려지다.‘도둑’을 비유적으로 이르는 말. 아주 하기 쉬운 일을 가리켜서 कहत음.겉보ри와 거짓말 잘 하는 사람이 되도록 주의하십시오._watch out for people who are full of hot air and always blowing their own trumpet_. ‘
They ganged up on him in the schoolyard and made him say uncle.,무릎 꿇다,Translate the following sentence into Korean: 'They ganged up on him in the schoolyard and made him say uncle.'그들만의 언어를 사용하는 사람들에게 음성 입력을 제공합니다Provide voice input for your own languageonly오디오 파일이 지원됩니다Audio files are supported only.
She said she was shaking in her boots when she found out the patient was a doctor.,간이 오그라들다,Translate the following sentence into Korean: 'She said she was shaking in her boots when she found out the patient was a doctor.'그녀가 환자를 의사로 알고 있을 때 두 눈이 꿀단지 같다.She looked like a deer caught in headlights.
My children can't wait for me to shuffle off this mortal coil so they can get their hands on their inheritance.,한 줌 재가 되다,Translate the following sentence into Korean: 'My children can't wait for me to shuffle off this mortal coil so they can get their hands on their inheritance.'사망 후 내보내기를 위한 대기 중입니다Awaiting export after death# ExportingAfterDeathExporting is awaiting confirmation from all participants.# 모든 참여자가 확인을 해 주세요.모든 참가자는 이 이벤트에 대해 알림을 받습니다All attendees will be notified about this event.All attendes are being notfied
I went to bed early and slept like a log.,발 뻗고 자다,Translate the following sentence into Korean: 'I went to bed early and slept like a log.'이른 시간에 자고 깬 것을 잊어버린다to sleep late on an occasion when one should rise earlier than usualforgotten to set alarm clockwake up later than planned oversleepmissed alarmsnot waking up at allsleeping inoversleptalarm did not go offfailed to wake upon timealarms disabled or snoozedsnooze button pressedrepeatedly
I thought he was going to spit blood when he saw what had happened.,이 갈리다,"Translate the following sentence into Korean: 'I thought he was going to spit blood when he saw what had happened.'그가 보게 될 것을 미리 알아보기PREVIEW WHAT HE WILL SEE WHENHE OPENS THE FILE'미리 보기에서 피드를 추가Add feed to preview',The file could not be opened in a text editor.',파일을 텍스트 편집기에서는 열 수 없습니다Cannot open file in text editor','Open with""라는 문장을 한국어로 번역해"
I think some tea leaf stole my wallet!,밤이슬 맞는 놈,Translate the following sentence into Korean: 'I think some tea leaf stole my wallet!'누군가 내 지갑을 훔쳐갔습니다Someone took our wallets!
This movie is a total tear-jerking for anyone who has lost a parent.,눈뿌리가 뜨겁다,"Translate the following sentence into Korean: 'This movie is a total tear-jerking for anyone who has lost a parent.'누군가의 부모님이 돌아오지 않는다면 울타리를 설치합니다If no one's parents are coming, set up tables instead.Installation of walls prevents anybody's parents from entering.the roomInstall wall to prevent any body’sparentsto enterthe room설치된 벽을 제거하면 아무도 방에 들어올 수 없습니다Removalof installed"
"She works in the city and lives in the country, so she gets the best of both worlds.",굿도 볼 겸 떡도 먹을 겸,"Translate the following sentence into Korean: 'She works in the city and lives in the country, so she gets the best of both worlds.'şehirde çalışıyor ve köye bağlı olarak yaşamaktadır.ikisi arasındaki farkı görmezden gelir.)소수점을 표현하는데 쉼표를 사용하지 마십시오Never use comma as decimal point.""대단히 기쁘고 흡족함을 비유적으로 이르는 말."".항복하거나 굴복하다"
"After losing the election, he threw in the towel on his political career.",무릎 꿇다,"Translate the following sentence into Korean: 'After losing the election, he threw in the towel on his political career.'선거를 패하여 정치적 경력에 실패했다Fail after winning an election and give up one'spoliticalcareer."
We were questioned to the nth degree.,될 수 있는 대로,Translate the following sentence into Korean: 'We were questioned to the nth degree.'극도로 화가 나다.화를 참지 못하여 독한 마음이 생기다.‘도둑’을 비유적으로 이르는 말. 아주 하기 쉬운 일을 가리켜 Says who? 누군が 그렇게 생각하는 것 이상으로 오래 살아야 한다. ‘매우 가까워서’.간단히 говор거나 적에게 피해를 주어 반복해서 공격
Thirty years up the river had made him a stranger to society.,콩밥 맛을 보다,Translate the following sentence into Korean: 'Thirty years up the river had made him a stranger to society.'삼십 년 만에 다시 만나다.기쁘거나 즐거워 입이 크게 벌어지다.입이 가로 터지고 하소연을 못하도록 mouth wide open in surprise or delight; unable to speak because of shock or amazement.‘주먹으로 물 찧기를 해보세요’를 한국어로 번역해 주세요
 After the delivery of her baby she was walking on air.,입이 가로 터지다,Translate the following sentence into Korean:'After the delivery of her baby she was walking on air.'산후 조심스러움을 비유적으로 이르는 말.항복하거나 굴복하다.어떤 사람에게 나쁜 평가나 평판이 내려지다.‘도둑’이라는 관용구의 의미는 무엇인가요?밝은 날에 잘못된 도로를 지나치다.일과 업무가 매우 많
