Redewendung,Bedeutung,Beispiel
etwas auf Abbruch verkaufen,etwas zum Abriss verkaufen,Die beiden Häuserblocks konnten nicht mehr saniert werden und wurden deshalb auf Abbruch verkauft. Viele Kirchen wurden samt Einrichtung auf Abbruch verkauft oder in Tabaklager und Fabrikationshallen umgewandelt.
Heiliger Abend,Abend des 24. Dezember,Am Heiligen Abend gab es erst ein gutes Essen und dann die Bescherung für die Kleinen. Ein Heiliger Abend ohne Besuch der Christmette war für Großmutter undenkbar.
es ist noch nicht aller Tage Abend,es kann sich noch vielerlei ändern,Noch ist nicht aller Tage Abend. Noch ist er ja nicht verurteilt.
er kann mich am Abend besuchen,mit ihm usw. will ich nichts zu tun haben,"Meine Freundin hat mich jetzt schon das dritte Mal versetzt, die kann mich mal am Abend besuchen."
am Abend wird der Faule fleißig,"wer eine Arbeit aus Bequemlichkeit zunächst nur vor sich herschiebt, der muss, wenn der Termin näher rückt, an dem sie erledigt sein soll, besonders viel arbeiten.",x
zu Abend essen,Die Abendmahlzeit einnehmen,"Habt ihr schon zu Abend gegessen? spät, Tag."
nicht abendfüllend sein,"eher langweilig sein, auf die Dauer wenig Interessantes bieten","Die Wiederholung alter Witze ist nicht abendfül lend. Sie haben die Aufnahmen entlang einer imaginierten Reise von Emden nach Sylt geordnet und waren klug genug zu erkennen, dass nur spektakuläre Bilder, auch wenn sie so noch nie gesehen wurden, nicht abendfüllend sind."
das Abendmahl auf etwas nehmen,etwas beschwören können,"Sie ist dabei gewesen, darauf nehme ich das Abendmahl. Auf seine Unschuld können wir das Abendmahl nehmen."
"aber, aber!","nicht doch!, was soll das?","Aber, aber! Wer wird denn gleich so böse werden! hallo, wenn, wo."
bei jemandem abgegessen haben,"bei jemandem nicht mehr erwünscht, beliebt sein","So ein unhöflicher Mensch! Der kommt uns nicht mehr ins Haus, der hat bei uns abgegessen."
den/einen Abflug machen,"fortgehen, verschwinden","Sei so gut und mach ’nen Abflug. Die Einführung war so schlecht, dass wir sofort wieder einen Ab flug gemacht haben. Entweder läuft die Suche zu schleppend, oder die Verantwortlichen haben Angst, die Modenschau könne wieder den Abflug machen, wenn man zu sehr auf einen anderen Standort drängt."
sich einen guten Abgang verschaffen,"beim Weggehen, als Abschluss einen guten Eindruck hinterlassen",Mit einem Appell an die Öffentlichkeit versuchte sich der Politiker einen guten Abgang zu verschaffen.
einen/den Abgang machen,"fortgehen, verschwinden","Mensch, mach ’n Abgang, du bist hier nicht erwünscht!"
keinen Abgang finden,sich nicht entschließen können aufzubrechen,Wir hatten ihn zum Abendessen eingeladen und danach hat er einfach keinen Abgang gefunden.
abgehen wie ein Zäpfchen/wie Schmidts Katze,2. äußerst mitreißend sein,"Die neuen Songs auf der CD gehen ab wie ’n Zäpfchen. Doch was seinerzeit in der dampfenden Urlaubsstimmung in Discos und Bars der Iberischen Halbinsel abging wie Schmidts Katze, führte nicht zwangsläufig zum gewünschten Erfolg in Rendsburg, Bielefeld oder Chemnitz."
jemandem geht einer ab,jemand hat einen Samenerguss,"Er kriegt keinen hoch, oder es geht ihm vorschnell einer ab. Bär, Luzie, Post."
jemandem nichts abgucken/weggucken,"in Aufforderungen , sich nackt vor vertrauten Personen nicht zu genieren","Nun zieh dich schon aus, Paulchen, wir gucken dir nichts ab."
einen abhaben,1. betrunken sein,"Wenn er einen abhat, fängt er an zu quatschen."
einen abhaben,2. nicht recht gescheit sein,Die muss doch einen abhaben – mit achtzig Sachen durch die Fußgängerzone zu düsen! Rad.
Ablage rund; Ablage P,Papierkorb,Die Businesspläne landeten ungelesen in der Ablage P. Also ist eine Beschäftigung mit diesen Rechnungen/Mahnungen völliger Unsinn. Deshalb gehören die Mails einfach in die Ablage rund.
an jemandem ablaufen wie das Wasser am Entenflügel/an der Gans/am Pudel,"jemanden unbeeindruckt, gleichgültig lassen","Kritik nimmt sie nicht ernst, alle Angriffe laufen an ihr ab wie das Wasser an der Gans. Man beschuldigte ihn, machte ihm Vorwürfe, aber er ließ das alles an sich ablaufen wie das Wasser am Entenflügel. Bein, Fuß, Hacken, Horn, Rang, Schuh, Schuhsohle, Uhr."
da möchte ich nicht abgemalt sein,dort möchte ich auf keinen Fall sein,Er schwärmt immer von seinem Wochenendhaus im Norden – in so einer gottverlassenen Gegend möchte ich nicht abgemalt sein!
abgemeldet sein,"jemandes Wohlwollen verloren haben, von jemandem nicht mehr beachtet werden","Wer sich unkollegial verhält, der ist in der Abteilung abgemeldet. Wenn einer säuft, ist er bei mir abgemeldet. Verpflegung."
Abnahme finden,sich verkaufen lassen,Die modischen Sonnenbrillen fanden reißende Abnahme.
auf etwas abonniert sein,1. etwas abonniert haben,Ich bin seit zwei Jahren auf diese Zeitschrift abonniert.
auf etwas abonniert sein,"2. etwas immer wieder erreichen, erleiden","Die kubanischen Boxer waren jahrelang auf Olympiamedaillen abon niert. Im Juni gewann die Kinderkunstwerkstatt den 1. Preis beim EuropaJugendwettbewerb der Stadt Königstein, einen Preis, auf den sie seitdem fast abonniert ist."
in Abrahams Wurstkessel,im Himmel,Im 12. Jahrhundert schwammen Mickey Mouse und Superman noch in Abrahams Wurstkessel – oder besser Tintenfässchen.
etwas in Abrede stellen,"etwas bestreiten, abstreiten","Er hat seine Mittäterschaft in Abrede gestellt. Die Verhafteten stellen in Abrede, an der Verschwörung beteiligt gewesen zu sein. Und ich stellte nicht in Abrede, dass der Kuchen drei Viertel der Fläche des Küchentischs einnahm."
sich auf dem Absatz umdrehen/umwenden; auf dem Absatz kehrtmachen,spontan umkehren,"Als er unter den Gästen seine frühere Frau entdeckte, drehte er sich auf dem Absatz um. Dumont hatte auf dem Absatz kehrtgemacht und winkte schon im Gehen."
Abschied nehmen,1. sich vor einer längeren Trennung verabschieden,"Er hatte von niemand Abschied genommen, aber Mathilde wusste, dass er gegangen war."
zum Abschießen aussehen/sein,"überaus komisch, grotesk aussehen","Mit dem Hut sieht seine Frau zum Abschießen aus. Korken, Vogel."
da schnallst du ab!,das ist nicht zu glauben!,"Die machen da eine Bouillabaisse, da schnallst du einfach ab! Was die Wohnung an Miete kostet, da schnallst du ab!"
es auf jemanden abgesehen haben,"2. eine engere, bes. erotisch-sexuelle Beziehung zu jemandem erreichen wollen","Nimm dich in Acht, ich glaube, der Typ hat es auf dich abgesehen!"
es auf etwas abgesehen haben,1. etwas gern haben wollen,Ihr habt es doch alle nur auf mein Geld abgesehen!
es auf etwas abgesehen haben,2. auf eine bestimmte Reaktion abzielen,"Man hatte es darauf abgesehen, die Polizisten zu provozieren. Er hat meine Offenheit sehr übel genommen, dabei hatte ich es gar nicht auf eine Kränkung abgesehen."
ins Abseits geraten,"marginalisiert, vergessen werden","Während sie politisch immer wieder ins Abseits geriet, verschlechterte sich auch ihr Gesundheitszustand. Durch Drogen, Schulden und Obdachlosigkeit ins Abseits geratene Menschen haben in dieser Einrichtung die Chance, einen Neuanfang zu machen."
Absichten haben,"mit jemandem eine intime Beziehung eingehen wollen, jemanden heiraten wollen","Ich hätte nie für möglich gehalten, dass meine Mutter mir ausgerechnet in einem Supermarkt mitteilen wird, dass sie bei einem Mann mehr oder weniger feste Absichten hat. Ihr zwei habt Absichten, oder?. merken."
jemandem jemanden abspenstig machen,"jemanden dazu bringen, sich von einem anderen abund sich einem selbst zuzuwenden","Sie ließ alle ihre Reize spielen, um ihrer sogenannten besten Freundin den Mann abspenstig zu machen. Im gleichen Jahrzehnt, da Martin Luther halb Deutschland dem Papst abspenstig machte, gewann der katholische Glaube im Osten Millionen von Malaien."
da/hier spielt sich nichts ab,"das kommt nicht infrage, daraus wird nichts","Vor den Ausfahrten darf nicht geparkt werden, da spielt sich nichts ab. Hier spielt sich gar nichts ab, für ein Picknick ist es viel zu kalt!"
mit Abstand,bei Weitem,Er ist mit Abstand der beste Sprinter in Eu ropa. Die mit Abstand bedeutendsten Zuckerproduzenten sind Indien und Brasilien mit 20 beziehungsweise 17 Millionen Tonnen jährlich.
von etwas Abstand gewinnen,"etwas Unangenehmes, Belastendes innerlich verarbeiten","Es war für mich ein schlimmes, trauriges Jahr. Ich will jetzt vor allen Dingen Abstand gewinnen."
auf Abwege geraten,"vom rechten Lebensweg abkommen; im Begriff sein, sittlich herunterzukommen","Ich wusste nicht, dass mein Bruder auf Abwege geraten war."
durch Abwesenheit glänzen,durch Abwesenheit unangenehm auffallen,"Mehrere Abgeordnete glänzten auf dem Empfang durch Abwesenheit. In einer Gesellschaft, in der der Staat durch Abwesenheit glänzte, hat die Camorra für die Einhaltung gewisser Regeln gesorgt."
bis zum Abwinken,in großer Menge ; bis zum Überdruss,"Immense Hitze, immenses Geschwitze und zur Kühlung lauwarmen Whisky bis zum Abwinken."
etwas in Abzug bringen,"etwas bei einer Berechnung, Bewertung abziehen",Die Unkosten sind bereits in Ab zug gebracht worden. Wie sollte man die kleine Unsicherheit beim Aufsprung – wenn sie kein Sturz war – in Abzug bringen?.
Ach und Weh schreien,jammern und klagen,"Nachdem das Unglück geschehen war, schrien alle Betroffenen Ach und Weh."
mit vielem Ach und Weh; mit/unter Weh und Ach,"mit vielem Klagen, Stöhnen; höchst ungern",Mit vielem Ach und Weh hatte sie endlich die zwanzig Euro aus ihrem Portemonnaie gekramt. Dach.
auf Achse sein,"unterwegs, auf Reisen sein","Als Vertreter ist er ständig auf der Achse. Bei drückender Hitze von 35 Grad sind die Helfer unentwegt auf Achse, helfen bei Medikamentenversorgung, ärztlicher Betreuung und Brunnenuntersuchung."
etwas auf die leichte Achsel nehmen,etwas unangemessen leichtnehmen,Du darfst deine Krankheit nicht auf die leichte Ach sel nehmen. Der Bischof von Tarbes nimmt dabei die leidige Geschichte durchaus nicht auf die leichte Achsel.
jemanden in Acht und Bann tun/erklären,1. über jemanden die Reichsacht und den Kirchenbann verhängen,Der König ließ ihn und seine Familie in Acht und Bann erklären.
jemanden in Acht und Bann tun/erklären,"2. jemanden aus einer Gemeinschaft ausschließen, aufs Schärfste verurteilen",Eine Reihe von anderen nicht ganz unbekannten Kompatrioten wurde zusammen mit mir in Acht und Bann getan.
etwas außer Acht lassen; etwas aus der/aus aller Acht lassen,etwas nicht beachten,"Bei der Entscheidung hatte man wichtige Aspekte außer aller Acht gelassen. Ein vor der Öffentlichkeit handelnder Verband trägt eine Verantwortung, die ein heimlich agierender oft außer Acht lässt."
jemandem ’nen Achter ins Hemd treten,jemanden gehörig verprügeln,"Wenn der erfährt, dass du gequatscht hast, tritt der dir ’nen Achter ins Hemd."
jemanden auf achtzig bringen,jemanden rasend vor Wut machen,Der bringt mich mit seinem Gequatsche auf achtzig.
sich vom Acker machen,sich davonmachen; verschwinden,"Mach dich vom Acker! Mach Mücke!. Er solle sich schleunigst vom Acker machen, sonst hole er die Polizei!."
etwas ad acta legen,"eine Angelegenheit als erledigt betrachten; über etwas nicht mehr sprechen, verhandeln","Eine solche Initiative wäre also der beste Weg, das Projekt der Währungsunion zumindest für die kommenden Jahre ad acta zu legen."
den alten Adam ausziehen,seine Fehler und Schwächen ablegen,"Höchste Zeit, dass du den alten Adam ausziehst, für Chauvinisten ist in unserer Gruppe kein Platz."
seit Adams Zeiten/Tagen,"seit je, solange man denken kann",Das ist doch schon seit Adams Zeiten bekannt. Nach diesem Verfahren arbeiten wir seit Adams Tagen.
bei Adam und Eva anfangen,bei seinen Ausführungen sehr weit ausholen,Ich setze rudimentäre Kenntnisse des Stoffes voraus und werde in meinen Ausführungen deshalb nicht bei Adam und Eva anfangen.
von Adam und Eva stammen,"(von Dingen, Anschauungen) sehr alt, veraltet sein","Na, dein Konzept von der Rolle der Frau in einer Ehe stammt ja wohl von Adam und Eva, alter Chauvinist!"
nach Adam Riese,richtig gerechnet,"Nach Adam Riese macht das zwölf Euro. Der Vorwurf, die Ökosteuer belaste die Wirtschaft, kann nach Adam Riese nicht stimmen."
einer Sache Ade/Adieu sagen,"Abstand von etwas nehmen, etwas aufgeben","Schon lange hat der Bürgermeister von Beverungen der Kernkraft Ade gesagt, schweren Herzens. Der Wissenschaftler gehört zu den Tausenden hoch qualifizierter Deutscher, die der Heimat Adieu sagen und sich in das Abenteuer Ausland stürzen."
Adel verpflichtet,"Zugehörigkeit zu einer gehobenen Gesellschaftsschicht verpflichtet zu einer bestimmten Lebensweise, einem bestimmten Lebensstil","Sie aß Austern zum Dinner, denn Adel verpflichtet."
jemanden zur Ader lassen,jemandem mit List oder Geschick unverhältnismäßig viel Geld abnehmen,Die Burschen haben mich gestern beim Skatabend ganz schön zur Ader gelassen.
jemandem etwas ad oculos demonstrieren,jemandem etwas durch den Augenschein beweisen,"Kommen Sie in mein Labor, dort kann ich Ihnen ad oculos demonstrieren, wie sehr die Belastung des Sees durch Schadstoffe zugenommen hat."
sich an die richtige Adresse wenden,sich an die zuständige Stelle wenden,"Gassner mahnt die Bürger, sich an die richtige Adresse zu wenden Für Klagen und Schadensersatzansprüche seien Land und Ministerium für Wirtschaft und Verkehr zuständig."
an die richtige Adresse geraten/kommen,an die passende Stelle kommen.,x
sich aus der Affäre ziehen,geschickt aus einer unangenehmen Situation herausgelangen,"Man spürt sofort, ob ein windiger Schaumschläger so etwas sagt, der sich nur mit billigen Mätzchen aus der Affäre ziehen will. Und du wirst dich nicht mit einem Witz aus der Affäre ziehen?."
einen Affen sitzen haben,betrunken sein,Der Alte hat mal wieder ’nen Affen sitzen. Weckt mit seinem Gegröle die ganze Nachbarschaft auf.
sich einen Affen kaufen/antrinken,sich betrinken,Mir stinkts! Ich geh mir ’nen Affen kaufen!
jemanden zum Affen halten,jemanden täuschen und veralbern,Ich lass mich doch nicht von euch zum Affen halten.
sich zum Affen machen,"sich lächerlich machen, sich blamieren","Politiker, die sich zum Affen machen, wirken noch lange nicht volksverbunden. Geschmack[s]sache, Klappe, schwitzen, Wald."
mit affenartiger Geschwindigkeit,sehr schnell,Der Ladendieb verschwand mit affenartiger Geschwindigkeit.
Aftersausen/Muffensausen bekommen/kriegen,Angst bekommen,"Bleib lieber unten, sonst bekommst du Aftersausen."
Aftersausen/Muffensausen haben,Angst haben,"Als er oben auf dem Gerüst stand, hatte er ein leichtes Muffensausen."
unter jemandes Ägide,"unter jemandes Leitung, Schirmherrschaft","Die Präsidentin bestritt energisch, dass unter ihrer Ägide die demokratischen Rechte der Bürger eingeschränkt worden seien. Auch plätten lernte ich unter der Ägide der Mädchen."
ägyptische Finsternis,tiefste Finsternis,"Stromausfall durch Kabelschaden Ägyptische Finsternis in der Londoner Untergrundbahn. Die Stadt, die niemals schläft, die die Nacht zum Tag macht und auch am Tag nicht spart am Glanz, versank in Dunkelheit, in einer ägyptischen Finsternis."
du ahnst es nicht!,Ausruf unangenehmer Überraschung,"Nun haben sich die Neuen beworben, du ahnst es nicht! Zwei haben Kinder, kommt nicht in Frage."
etwas sieht jemandem ähnlich,"etwas passt zu jemandes Charakter, ist typisch für jemandes Verhaltensweise","Erst große Töne spucken und dann kneifen, das sieht ihm ähnlich. Die Flinte ins Korn werfen? Das sieht dir aber gar nicht ähnlich!"
von etwas Ahnung haben,sich mit etwas auskennen,"Der Junge redet nicht viel, aber er hat Ahnung vom Programmieren."
von Ackerbau und Viehzucht/von Tuten und Blasen keine Ahnung haben,von einer Sache nicht das Geringste verstehen,"Mein Eindruck Der junge Mann hatte keine Ahnung von Ackerbau und Viehzucht. Ich habe das Gefühl, hier will sich wer dicktun, der von Tuten und Blasen keine Ahnung hat."
das akademische Viertel,die Viertelstunde nach dem angegebenen oder vereinbarten Termin,"Es ist schon zehn nach, dein Bruder nimmt wohl das akademische Viertel in Anspruch!"
"das/es ist, um auf die Akazien zu klettern!",es ist zum Verzweifeln!,"Ausgerechnet jetzt streikt der Fernsehapparat. Es ist, um auf die Akazien zu klettern!"
etwas zu den Akten legen,etwas als erledigt betrachten,"Es ist das Beste, wenn wir die ganze Angelegenheit zu den Akten legen."
jemandes Aktien steigen/fallen,jemandes Aussichten auf Erfolg werden besser/schlechter,"Seit er einen Sportwagen besitzt, sind seine Aktien bei ihr wieder gestiegen."
in Aktion,in Tätigkeit,Man wollte den Journalisten ein Fernsehstudio in voller Aktion vorführen. Schon traten bei einigen Zuschauern die Taschentücher in Aktion.
Akzente setzen,richtungweisend sein,"Mit ihrem unbekümmerten Offensivfußball haben die Aufsteiger in der Bundesliga Akzente gesetzt. Die neue Führung kann daran anknüpfen, wird aber, was Tempo und Entscheidungskraft angeht, noch mal eigene Akzente setzen. Wenn es schlecht läuft, kann die Bundesregierung in diesen entscheidenden Monaten in Europa kaum inhaltliche Akzente setzen."
Alarm schlagen,"die Aufmerksamkeit auf etwas Gefährliches, Bedrohliches lenken","Die Posten schlugen Alarm, als sich die Kolonne dem Tor nä herte. Wenn der Virenscanner Alarm schlägt, ist der verdächtige Prozess gestoppt, die Gefahr also erst einmal gebannt."
etwas in/im Alkohol ertränken,etwas durch übermäßigen Genuss von alkoholischen Getränken zu vergessen suchen,Er wollte seinen Liebeskummer im Alkohol ertränken.
jemanden unter Alkohol setzen,jemanden betrunken machen,"Er widerruft sofort; erklärt, die Geständnisse seien ihm in der Voruntersuchung entrungen worden, nachdem man ihn unter Alkohol gesetzt habe."
unter Alkohol stehen,unter dem Einfluss von Alkohol stehen,Zu Beginn der Behandlung darf der Patient auf keinen Fall unter Alkohol stehen. Unter Alkohol stehende Hooligans randalierten im Stadion.
nicht alle haben,nicht recht bei Verstand sein,"Seit er vom Gerüst gestürzt ist, hat er sie nicht mehr alle. Bei Rot über die Kreuzung! Ich glaube, die hat nicht mehr alle beisammen."
im Allgemeinen,"ohne Beachtung kleinerer Unterschiede, im Großen und Ganzen; meistens, gewöhnlich",Die Behälter sind im Allgemeinen nur für die üblichen Belastungen ausgelegt.
allzu viel ist ungesund,man soll nichts übertreiben,"Sie müssen geschäftlich und auch privat mal ein wenig kürzertreten, Sie wissen doch Allzu viel ist ungesund. scharf."
Alt und Jung,jedermann,Alt und Jung strömte zum Oktoberfest.
alt und grau werden,sehr lange warten müssen,"Da kann man ja alt und grau werden, bis man endlich einen Gerichtstermin bekommt. Bei diesem Job wirst du alt und grau, bevor du die erste Gehaltserhöhung bekommst."
"man ist so alt, wie man sich fühlt","für jemandes Alter ist nicht die bereits höhere Anzahl der Lebensjahre ausschlaggebend, sondern die seelische, geistige und körperliche Verfassung der betreffenden Person","Warum soll ich mir darüber Gedanken machen, dass ich bald sechzig werde? Man ist schließlich so alt, wie man sich fühlt."
aus Alt mach Neu,etwas Altes wurde aufgearbeitet/soll aufgearbeitet werden,"Weiß gestrichen sieht das alte Büffet ja richtig toll aus! – Tja, aus Alt mach Neu. Wir werden nicht umziehen, sondern unsere Wohnung von oben bis unten renovieren – aus Alt mach Neu!"
Alte Dame,Mutter,"Was sagt denn deine Alte Dame dazu, dass du keinen Abend mehr zu Haus bist? Verflixt, ich hab vergessen, dass die Alte Dame heute Geburtstag hat!"
Alte Herrschaften,Eltern,"Was sagen deine Alten Herrschaften dazu, dass du dein Studium an den Nagel hängen willst?"
Alter Herr,1. Vater,Ich habe unseren Alten Herrn noch nie so wütend gesehen.
Alter Herr,3. Spieler der Altersklasse über 32 Jahre,"Die Alten Herren der Borussia sicherten sich den Turniersieg. Adam, Baum, D-Zug, Einfall, Eisen, Fastnacht, Frische, Fritz, Garde, Ge1 werbe, Hase, Hut, Jacke, jung, Kamellen, Kavalier, Kohl, Kuh, Liebe, Lied, Platte, Rechnung, Register, riechen, Schwede, Semester, Stiefel, Tag, Vater, Walze, Wein, Welt, Zopf, zusammenpassen, Zustand."
"jemanden, etwas auf dem Altar der Freundschaft/der Liebe/des Vaterlandes opfern","jemanden, etwas für die Freundschaft/die Liebe/das Vaterland preisgeben",Sie hat ihren Traum von einer großen Karriere auf dem Altar der Liebe geopfert.
jemanden zum Altar führen,heiraten,Gestern hat er seine langjährige Mitarbeiterin zum Altar geführt.
sich auf sein/aufs Altenteil setzen/zurückziehen,"sich aus Altersgründen vom öffentlichen Leben zurückziehen, nicht mehr aktiv tätig sein",An deutschen Schulen steht der größte Generationswechsel seit 25 Jahren an. Rund die Hälfte der etwa 800 000 Lehrer ziehen sich in den nächsten zehn Jahren aufs Altenteil zurück.
seit alters,"seit langer Zeit, von jeher",Für die Geschichte der Kunst interessieren sich die Menschen seit alters.
von alters her,"seit langer Zeit, von jeher",Von alters her gelten Gewitter als besonders einprägsame Naturereignisse.
vor alters,"vor langer Zeit, einstmals",Vor alters stand dort eine Burg.
sein Amen zu etwas geben,seine Zustimmung zu etwas geben,"Mein Freund will auch als Schlachtenbummler mitfahren, wenn seine Frau ihr Amen dazu gibt. Dann muss die Schulbehörde, die jedes Jahr drei Schulen in Hamburg zu Ganztagsschulen umfunktioniert, noch ihr Amen geben. ja."
Amok laufen,1. in einem Zustand krankhafter Verwirrung mit einer Waffe umherlaufen und blindwütig töten,"Ein pflichtbewusster Bahnwärter läuft Amok, nachdem sein geliebter Sohn aus erster Ehe vom Zug erfasst wurde und zu Tode kam, und erschlägt mit dem Beil seine zweite Ehefrau und ihr gemeinsames Baby."
Amok laufen,2. völlig außer Kontrolle geraten,"Chefredakteure wurden am Telefon unflätig beschimpft, die Abo-Abteilung musste Kündigungsdrohungen abwehren, Faxgeräte liefen Amok, und über hundert empörte Leserbriefe gingen ein."
Amors Pfeil/Pfeile,plötzliches Sichverlieben,"Hüte dich vor Amors Pfeilen, genieße deine Jugend frei und ungebunden! Von Amors Pfeil getroffen, entflammt der Straßenmusikant Otto in Liebe zu der schönen Tina. In der griechisch-römischen Mythologie ist Amor der Sohn der Liebesgöttin Venus und des Kriegsgottes Mars. Die Pfeile stehen für die Plötzlichkeit, mit der zwei Menschen von der Liebe getroffen werden. Beim Abschuss wird er klassischerweise mit verhüllten Augen dargestellt als Sinnbild für die blinde, unvorhersehbare Liebe Man weiß nie, wen es trifft."
Amt und Würden,eine feste offizielle Stellung,"Fürst Bismarck arbeitete auch, ehe er zu Amt und Würden kam, beim Berliner Stadtgericht. Er verzichtete auf Amt und Würden und widmete sein Leben den Armen."
seines Amtes walten,"eine Handlung, die in jemandes Aufgabenbereich liegt, ausführen","Darf ich Sie nun bitten, Ihres Amtes zu walten und das Dokument zu unterzeichnen? Selbst höheren Beamten, die mit gutem Willen ehrlich und anständig ihres Amtes walten wollten, war dies nahezu unmöglich gemacht."
von Amts wegen,2. in behördlichem Auftrag,Das baufällige Gebäude wurde von Amts wegen abgebrochen. Fräulein.
den Amtsschimmel reiten,die Dienstvorschriften übertrieben genau einhalten,"Kleine Beamte reiten gern den Amtsschimmel. Wenn der Herr Kollege unbedingt den Amtsschimmel reiten will, dann kann ihn niemand daran hindern."
etwas an sich,etwas als solches,"Das Problem an sich ist gar nicht richtig zur Sprache gekommen. ab, statt, Stück, Zahl."
um die goldene Ananas,"nicht um den Sieg, eine gute Platzierung oder das Weiterkommen in einem Wettbewerb","Das macht doch mehr Spaß, als auf Platz sieben oder acht um die goldene Ananas zu spielen."
zum Anbeißen/Anknabbern aussehen/sein,"reizend, überaus anziehend aussehen/sein","Ein Mann zum Anknabbern. Was für ein Kind, diese Antje! Zum Knuddeln, zum Anbeißen."
in Anbetracht,"im Hinblick auf, angesichts",In Anbetracht der Lage hat jeder volle Handlungsfreiheit. In Anbetracht seiner geistigen Erkrankung war er bloß zu fünf Jahren Zuchthaus verurteilt worden.
nichts anbrennen lassen,1. sich nichts entgehen lassen (auch sexuell),"Als junger Mann habe ich nichts anbrennen lassen. Einstweilen wollten sie sich amüsieren, nichts anbrennen lassen."
nichts anbrennen lassen,2. kein Tor zulassen,Unser Torwart ließ nichts anbrennen.
"von einem Bein aufs andere treten, jemanden eines anderen belehren sich einen andudeln",sich betrinken,Sie hat sich ordentlich einen mit Sekt angedudelt.
aller Anfang ist schwer,"wer etwas beginnen will, muss oft erst einmal bestimmte Schwierigkeiten überwinden","Doch aller Anfang ist schwer, und ein neues Team muss sich erst finden. Aller Anfang ist schwer auf dem Weg zum eigenen Unternehmen."
das ist/war der Anfang vom Ende,"der Untergang, der Ruin ist/war nicht mehr fern","Mitte März drangen die Truppen in die Außenbezirke ein; das war der Anfang vom Ende. Als er auch noch zu trinken begann, war das der Anfang vom Ende."
den Anfang machen,als Erster mit etwas beginnen,"Wer macht den Anfang? Wenn sich keiner traut, muss ich wohl wieder den Anfang machen."
wehre/wehret den Anfängen!,"etwas Schlechtes, das gerade entsteht, soll man sofort bekämpfen; einer unheilvollen Entwicklung soll man sofort entgegentreten","Wenn man an die Ereignisse im Dritten Reich denkt, kann man nur sagen Wehret den Anfängen!"
von Anfang bis Ende,"vollständig, ohne etwas auszulassen",Später musste ich die ganze Geschichte von Anfang bis Ende noch einmal erzählen. Müßiggang.
sich mit jemandem etwas/nichts anfangen,sich mit jemandem einlassen/nicht einlassen,"Fang dir mit diesem Querulanten bloß nichts an! Dennoch glaubte sie keine Sekunde, dass Maurits sich etwas mit dieser Magd angefangen hat. Adam."
"wer angibt, hat mehr vom Leben","durch Angeberei kann man sich Aufmerksamkeit, Achtung verschaffen, die einem eigentlich nicht zusteht","Wer angibt, soll ja mehr vom Leben haben, besonders vom Nachtleben Und in gewissen New Yorker Kunstzirkeln verschafft man sich heute immer noch mit Augenzeugenberichten aus dem Clubleben der späten Siebziger und frühen Achtziger ansehnlichen Distinktionsgewinn. Stange, Takt, Ton."
