Idiom,Meaning,Meaning_translated_KR
a fly in the ointment,something that spoils or ruins a situation or plan,상황이나 계획을 망치거나 엉망으로 만드는 것
a fly on the wall,To be an unnoticed observer; to be able to witness a situation without being noticed,눈에 띄지 않는 관찰자가 되다; 주목받지 않으면서 상황을 목격할 수 있다
a fool and his money are soon parted,Someone who is foolish with their money will quickly lose it.,돈을 어리석게 쓰는 사람은 금방 잃게 된다.
a fool's paradise,"to be in a state of false happiness or satisfaction, often due to ignorance or denial of reality","허위의 행복이나 만족 상태에 놓여 있는 것, 종종 무지 또는 현실 부정으로 인한 상태"
a foot in the door,to have a small opportunity or opening that could lead to further success or advancement,작은 기회나 가능성이 있어 더 나아갈 수 있는 길을 열어주는 것
a golden key can open any door,having the right or influential connections can help you achieve success or gain access to opportunities,올바른 또는 영향력 있는 인맥을 갖는 것은 성공을 달성하거나 기회에 접근하는 데 도움이 될 수 있다.
a hair's breadth,an extremely narrow margin or very close distance,매우 좁은 간격이나 아주 가까운 거리
a hot potato,a controversial or sensitive issue that is difficult to handle or solve,다루기 어렵거나 해결하기 힘든 논란의 여지가 있는 민감한 문제
a house divided against itself cannot stand,internal conflict within a group or organization will lead to its downfall,그룹이나 조직 내의 내부 갈등은 그들의 몰락으로 이어질 것이다.
a knight in shining armour,a person who comes to someone's aid or rescue; a heroic or chivalrous person,누군가를 돕거나 구해주는 사람; 영웅적이거나 기사도적인 사람
a leopard can't change his spots,Someone cannot change their basic nature or character.,누구나 자신의 기본적인 본성이나 성격을 바꿀 수는 없다.
a life-saver,someone or something that saves or rescues someone in a difficult or dangerous situation,어떤 어려운 상황이나 위험한 상황에서 누군가를 구하거나 구하는 사람이나 것
a little bird told me,to have learned or obtained information from an unknown or secret source,알 수 없거나 비밀스러운 출처에서 정보를 배웠거나 얻었다.
a little learning is a dangerous thing,having a small amount of knowledge about something can lead to overconfidence and mistakes,어떤 것에 대한 지식이 조금만 있으면 과신과 실수로 이어질 수 있다.
a load of cobblers,nonsense or rubbish; something that is not believable or of poor quality,무의미한 이야기나 쓸모없는 것; 믿을 수 없거나 품질이 낮은 것
a load of codswallop,nonsense or something that is completely untrue or unbelievable,터무니없는 말이나 전혀 사실이 아니거나 믿기 어려운 것
a lost ball in the weeds,to be in a difficult or hopeless situation with little chance of success or rescue,성공이나 구조의 가능성이 거의 없는 어려운 또는 절망적인 상황에 처하다
a lot on my plate,having many tasks or responsibilities to deal with,많은 업무나 책임을 처리해야 하는
a lot on your plate,Having a lot of tasks or responsibilities to deal with,많은 업무나 책임을 처리해야 하는 상태
a man after my own heart,"someone who has the same attitudes, preferences, or interests as oneself","자신과 같은 태도, 선호, 또는 관심사를 가진 사람"
a man of action,"Someone who takes decisive and immediate action, rather than just talking or planning","결정적이고 즉각적인 행동을 취하는 사람, 단순히 말하거나 계획하는 것이 아니라"
a man of few words,"someone who does not talk much, someone who is not very talkative","말이 많지 않은 사람, 말이 적은 사람"
a man's man,"to describe a man who is strong, tough, and exhibits stereotypically masculine qualities",강하고 단단하며 전형적인 남성적 특성을 지닌 남자를 설명하다
a miss is as good as a mile,Even a small mistake or failure has the same result as a larger one; being close to success or achieving a goal is not the same as actually succeeding.,"작은 실수나 실패도 큰 실수와 같은 결과를 가져오며, 성공에 가까워지거나 목표를 달성하는 것과 실제로 성공하는 것은 다르다."
a needle in a haystack,something that is very difficult or impossible to find or locate,찾거나 찾는 것이 매우 어렵거나 불가능한 것
a new lease of life,"renewed energy, vitality, or enthusiasm","새로운 에너지, 활력 또는 열정"
a number cruncher,a person who performs a lot of numerical calculations or data analysis,많은 수치 계산이나 데이터 분석을 수행하는 사람
a penny for your thoughts,an expression used to ask someone what they are thinking about or to invite them to share their thoughts or opinions,무슨 생각을 하고 있는지 물어보거나 그들의 생각이나 의견을 나누도록 초대하는 표현
a penny saved is a penny earned,Saving money is the same as earning money; it is wise to save money.,돈을 절약하는 것은 돈을 버는 것과 같다; 돈을 저축하는 것은 현명한 일이다.
a perfect storm,a situation in which a combination of factors come together to create a very difficult or dangerous problem,여러 요인이 결합하여 매우 어렵거나 위험한 문제를 야기하는 상황
a picture is worth 1000 words,An image or visual representation can convey a message or meaning more effectively than words can.,이미지나 시각적 표현은 말보다 메시지나 의미를 더 효과적으로 전달할 수 있다.
a picture is worth a thousand words,An image can convey a complex idea or emotion more effectively than a written description.,이미지는 글로 설명하는 것보다 복잡한 아이디어나 감정을 더 효과적으로 전달할 수 있다.
a picture paints a thousand words,Visual imagery is often more powerful or effective in conveying a message or expressing a concept than words alone.,시각적 이미지는 종종 단어만으로 전달하는 것보다 메시지를 전달하거나 개념을 표현하는 데 더 강력하거나 효과적입니다.
a piece of cake,something that is very easy to do or accomplish,매우 쉽고 간단한 것
a pig in a poke,buying something without inspecting it first,먼저 검사하지 않고 물건을 사는 것
a place in the sun,having a comfortable or favorable position; a situation where one is prosperous or content,편안하거나 유리한 위치에 있는; 번영하거나 만족하는 상황
a pretty penny,to cost a large amount of money,많은 돈이 들다
a red flag,something that indicates a potential danger or warning sign,잠재적 위험이나 경고 신호를 나타내는 것
a red rag to a bull,something that is certain to provoke or irritate someone,누군가를 확실히 자극하거나 짜증나게 하는 것
a roof over your head,having a place to live; having basic shelter and protection,거주할 장소가 있는 것; 기본적인 쉼터와 보호가 있는 것
a safe pair of hands,someone who can be relied upon to do a task or handle a situation competently and responsibly,"믿고 맡길 수 있는, 작업을 잘 수행하거나 상황을 책임감 있게 처리할 수 있는 사람"
a sea change,a profound or significant transformation or change,심오하거나 중요한 변화
a shot in the arm,a boost or stimulus; something that rejuvenates or revitalizes,증진이나 자극; 활기를 불어넣거나 회복시키는 것
a sight for sore eyes,"something or someone that is very pleasing, comforting, or refreshing to see",보기만 해도 매우 기쁘거나 편안하게 하거나 상쾌한 것 또는 누군가
a skeleton in the closet (or cupboard),an embarrassing or shameful secret that someone keeps hidden from others,다른 사람에게 숨기는 민망하거나 부끄러운 비밀
a slap on the wrist,a mild or lenient punishment or reprimand,경미한 처벌이나 경고
a sledgehammer to crack a nut,using excessive force or taking extreme measures to solve a relatively small problem,상대적으로 작은 문제를 해결하기 위해 과도한 힘을 사용하거나 극단적인 조치를 취하다.
a snowball effect,The situation where an initial action or event leads to a series of increasingly significant consequences or reactions.,초기 행동이나 사건이 점점 더 중요한 결과나 반응으로 이어지는 상황.
a snowball's chance in hell,almost no chance at all,거의 전혀 기회가 없음
a sorry sight,"something or someone that is sad, pitiful, or pathetic to look at",슬프거나 불쌍하거나 가련해 보이는 것 또는 사람
a steal,an exceptionally good deal; something that is obtained or purchased at a very low price,특히 좋은 거래; 아주 낮은 가격에 얻거나 구매한 것
a stitch in time saves nine,Taking prompt action to solve a problem or address an issue can prevent greater problems or issues in the future.,문제를 해결하거나 이슈를 다루기 위해 신속하게 행동하는 것은 미래에 더 큰 문제나 이슈를 예방할 수 있습니다.
a stone's throw,a short distance away; within close proximity,짧은 거리 떨어진 곳에; 가까운 거리에서
a storm in a teacup,an overreaction to a small or insignificant issue,사소한 문제에 대한 지나친 반응
a taste (or dose) of your own medicine,experiencing the same negative treatment or action that one has given to others,자신이 다른 사람에게 행한 것과 동일한 부정적인 대우나 행동을 경험하다
a thorn in my flesh,"someone or something that causes constant annoyance, frustration, or difficulty","지속적인 짜증, 좌절 또는 어려움을 유발하는 사람이나 사물"
a toss up,an uncertain or unpredictable outcome; a situation in which the result is unclear or equally likely,불확실하거나 예측할 수 없는 결과; 결과가 불분명하거나 동등하게 가능성이 있는 상황
a voice crying in the wilderness,someone who is expressing an unpopular or ignored opinion or viewpoint,주목받지 않거나 무시된 의견이나 관점을 표현하는 사람
a watched pot never boils,"when you are waiting for something to happen, it seems to take a very long time","무언가가 일어나기를 기다릴 때, 그것이 매우 오랜 시간이 걸리는 것처럼 느껴진다."
a whole new ball game,"a completely different situation or set of circumstances, often more challenging or complex than before","전혀 다른 상황이나 상황의 집합, 종종 이전보다 더 도전적이거나 복잡한 경우"
a wolf in sheep's clothing,someone who appears harmless or friendly but is actually dangerous or deceitful,무해하거나 친근하게 보이지만 실제로는 위험하거나 기만적인 사람
a woman of few words,someone who speaks very little or is not talkative,말이 매우 적거나 말이 없는 사람
a woman's work is never done,"to suggest that there is always more work or responsibilities for women, emphasizing the perception that women have a larger workload compared to men","여성에게는 항상 더 많은 일이나 책임이 있다는 것을 암시하며, 여성이 남성에 비해 더 많은 업무를 갖고 있다는 인식을 강조하다."
about as useful as a chocolate teapot,completely useless or ineffective,완전히 쓸모없거나 효과가 없는
about face,"to completely change one's opinion, attitude, or direction","완전히 의견, 태도 또는 방향을 바꾸다"
about time,"""finally"" or ""long overdue""","""마침내"" 또는 ""오랜 지연"""
above board,"open, honest, and transparent; without deceit or hidden agendas","열려 있고, 정직하며 투명하다; 기만이나 숨겨진 의도가 없다"
above par,better or higher quality than average or expected,평균 또는 예상보다 더 좋거나 높은 품질의
above suspicion,immune to suspicion or doubt,의심이나 의혹에 면역이 되는
above the law,exempt from the rules or laws that apply to others,다른 사람들에게 적용되는 규칙이나 법에서 면제된
above the salt,to be of high rank or social standing,높은 계급이나 사회적 지위에 있다
absence makes the heart grow fonder,the feeling of affection or longing for someone or something increases when they are absent or distant,누군가 또는 무언가가 없거나 멀어질 때 애정이나 그리움의 감정이 증가한다.
abso-bloody-lutely,absolutely; definitely; without a doubt,절대적으로; 확실히; 의심의 여지 없이
accidentally on purpose,doing something intentionally but making it seem like an accident,고의로 어떤 일을 하면서 우연인 것처럼 보이게 하다
account for,to provide an explanation or answer for something,무언가에 대한 설명이나 답변을 제공하다
ace in the hole,a secret advantage or resource that can be used in a situation when it is needed,필요할 때 사용할 수 있는 숨겨진 이점이나 자원
achilles heel,the vulnerable or weak point of someone or something,누군가 또는 무언가의 취약점 또는 약점
achilles' heel,a weakness or vulnerable point,약점 또는 취약점
aching heart,feeling deep sadness or longing,깊은 슬픔이나 그리움을 느끼는 것
acid test,a definitive and conclusive test to determine the true nature or quality of something,어떤 것의 진정한 성격이나 품질을 결정짓는 확정적이고 결론적인 시험
across the board,applying to everyone or everything; affecting all aspects or areas,모든 사람이나 모든 것에 적용되는; 모든 측면이나 분야에 영향을 미치는
act _ age,to behave in a manner that is appropriate for someone of a certain age,특정 연령대에 적합한 행동을 하다
act of God,"an event or occurrence that is beyond human control, often used to refer to a natural disaster or other catastrophic event","인간의 통제를 벗어난 사건이나 발생, 종종 자연 재해나 기타 재앙적인 사건을 지칭하는 데 사용됩니다."
act of god,an unpredictable event or natural disaster that causes significant damage or loss,예측할 수 없는 사건 또는 자연 재해로 인해 상당한 피해나 손실을 초래하는 것
act one's age,to behave in a manner that is appropriate for someone of a certain age or maturity level,어떤 특정한 나이나 성숙도에 적합한 방식으로 행동하다
act your age,to behave in a mature and responsible manner appropriate for one's age,자신의 나이에 맞게 성숙하고 책임감 있는 방식으로 행동하다.
actions speak louder than words,what someone does is more important than what they say they will do,누군가가 하는 행동이 그들이 하겠다고 말하는 것보다 더 중요하다.
adam's ale,"""water"" (referring to water as a simple and pure drink)","""물"" (간단하고 순수한 음료로서의 물)"
add fuel to the fire,To make a situation worse by aggravating or intensifying it,상황을 악화시키거나 심화시켜서 더 나쁘게 만들다
add fuel to the fire,to worsen or escalate a situation by saying or doing something that makes it more intense or contentious,상황을 더욱 심화시키거나 악화시키기 위해 말하거나 행동하여 더 격렬하거나 논란을 일으키는 것
add fuel to the fire (or flames),to make a tense situation worse by aggravating or intensifying it,긴장된 상황을 악화시키거나 강하게 만들어 더 나쁘게 만들다
add fuel to the flames,to make a bad situation worse,나쁜 상황을 더 악화시키다
add insult to injury,to make a bad situation worse by saying or doing something that is hurtful or offensive,상처를 주거나 불쾌한 말을 하여 나쁜 상황을 더욱 악화시키다
affinity for,a natural liking or attraction towards something or someone,무언가 또는 누군가에 대한 자연스러운 좋아함이나 끌림
against the clock,to be in a race against time or to have limited time to complete a task,시간과의 경쟁에 처하다 또는 작업을 완료할 시간이 제한되어 있다.
against the grain,going against one's natural inclination or preference; doing something in a way that is contrary to what is expected or typical,자신의 자연스러운 성향이나 선호에 반하는 행동; 예상되거나 전형적인 방식과는 반대로 무언가를 하는 것
against time,attempting to complete or achieve something before a deadline or time constraint,기한이나 시간 제약 전에 무언가를 완료하거나 성취하려고 시도하는 것
age before beauty,"to show respect for elders or allow them to go ahead in a certain situation, often with a touch of humor","어르신을 존중하며 특정 상황에서 그들이 먼저 가도록 배려하다, 종종 유머를 곁들여서."
age out of something,to reach the age at which one is no longer eligible or required to participate in something,더 이상 참여할 자격이나 의무가 없는 나이에 이르다.
ahead of _ time,to be innovative or revolutionary in relation to a particular period or era,특정 시대나 시대와 관련하여 혁신적이거나 혁명적이다
ahead of one's time,to be more advanced or innovatiive than others; to have ideas or beliefs that are ahead of their time,다른 사람들보다 더 발전적이거나 혁신적이다; 시대를 앞서는 아이디어나 신념을 가지다
ahead of the curve,"being ahead or more advanced than others in terms of knowledge, skills, or trends","지식, 기술 또는 트렌드 면에서 다른 사람들보다 앞서거나 더 발전된 상태"
ahead of the game,being in a favorable or advantageous position; being prepared or ahead in a particular situation,유리한 위치에 있거나 유리한 조건을 갖추고 있는 것; 특정 상황에서 준비가 되어 있거나 앞서 있는 것
ain't my first rodeo,experienced; not easily fooled or taken advantage of,경험이 있는; 쉽게 속거나 이용당하지 않는
al desko,"Refers to eating lunch at one's desk, typically in a work or office setting",사무실 환경에서 주로 자신의 책상에서 점심을 먹는 것을 의미합니다.
al fresco,"""outdoors"" or ""in the open air""","""야외"" 또는 ""신선한 공기 속에서"""
alive and kicking,still alive and healthy; active and energetic,여전히 살아있고 건강하며; 활동적이고 에너지가 넘치는
all Greek to me,something that is difficult or impossible to understand or comprehend,이해하거나 파악하기 어려운 것 또는 불가능한 것
all along,from the beginning; throughout the entire duration of something; at every stage or moment,처음부터; 어떤 것의 전체 기간 동안; 모든 단계나 순간에서
all and sundry,"everyone, without exception","모두, 예외 없이"
all at sea,to be confused or disoriented,혼란스럽거나 방향 감각을 잃다
all bark and no bite,"someone who talks tough or acts aggressively, but lacks the courage or ability to follow through with their threats or actions","말은 거칠거나 공격적으로 하지만, 위협이나 행동을 실천할 용기나 능력이 없는 사람"
all bets are off,to imply that previously established rules or expectations no longer apply,이전에 설정된 규칙이나 기대가 더 이상 적용되지 않음을 암시하다
all cats are grey in the dark,"when it is not possible to see or perceive differences, appearances or distinctions become irrelevant","차이점이나 구별을 볼 수 없을 때, 외모나 차이는 중요하지 않게 된다."
all day long,for the entire duration of the day,하루 종일
all dressed up and nowhere to go,"being prepared for a special event or occasion, but having no opportunity or purpose to use it","특별한 사건이나 경우에 대비하고 있지만, 그것을 사용할 기회나 목적이 없는 상태"
all ears,eager to listen or hear something,무언가를 듣고 싶어하는
all hat and no cattle,"someone who talks boastfully or confidently about their abilities or accomplishments, but has no substance or evidence to support their claims",실력이 없거나 주장에 뒷받침이 되는 증거가 없는 상태에서 자신의 능력이나 업적에 대해 허세를 부리거나 자신 있게 이야기하는 사람
all hell broke loose,chaos or extreme disorder ensued,혼돈이나 극심한 무질서가 발생했다.
all in a day's work,something that is expected or typical; a task or situation that is a normal part of one's job or responsibilities,예상되거나 전형적인 것; 자신의 업무나 책임의 일상적인 부분인 작업 또는 상황
all in all,"considering everything, overall, in summary","종합적으로, 전반적으로, 요약하자면"
all is fair in love and war,any type of behavior is acceptable or justified when dealing with love or war,사랑이나 전쟁에 대해 다룰 때에는 어떤 종류의 행동도 받아들여지거나 정당화될 수 있다.
all kidding aside,to be serious and stop joking or playing around,진지해지고 농담이나 장난을 멈추다
all one's eggs in one basket,"to put all of one's resources or hopes into a single, risky endeavor, rather than diversifying or spreading them out","모든 자원이나 희망을 단일하고 위험한 사업에 투자하고, 다양화하거나 분산시키지 않다."
all over bar the shouting,all the essential or important parts or elements are completed or settled,모든 필수적이거나 중요한 부분이나 요소가 완료되거나 정리되었다.
all over the map,unorganized or lacking focus; scattered,조직적이지 않거나 집중력이 부족한; 흩어져 있는
all over the place,"disorganized or chaotic, lacking focus or consistency","조직적이지 않거나 혼란스러운, 집중이나 일관성이 결여된"
all over the shop,"disorganized, scattered, or inconsistent; lacking focus or coherence",체계적이지 않거나 흩어져 있거나 일관성이 없는; 집중이나 일관성이 부족한
all over the show,"being disorganized or scattered, lacking focus or direction","조직이 잘 되어 있지 않거나 산만하고, 집중력이나 방향성이 부족한 상태"
all set,Ready or prepared for something,무언가에 대해 준비가 되거나 준비된 상태
"all singing, all dancing",state-of-the-art; including many advanced features or capabilities,최신식; 여러 가지 고급 기능이나 능력을 포함한
all that glitters is not gold,"to be cautious of appearances, as things may not be as good as they seem","겉모습에 주의하다, 왜냐하면 상황이 겉보기에 좋지 않을 수 있기 때문이다."
all that jazz,and everything else of a similar nature or kind; and so on; and so forth,또한 유사한 성격의 모든 것; 등; 이와 같이
all the more,even more; to a greater extent,더욱; 더욱 더
all the rage,extremely popular or fashionable,매우 인기 있거나 유행하는
all the way,completely or fully; without any limitations or reservations,완전히; 제한이나 조건 없이
all things being equal,assuming that all conditions are the same; in a fair and unbiased situation,모든 조건이 동일하다고 가정할 때; 공정하고 편견 없는 상황에서
all thumbs,to be clumsy or awkward with one's hands,손재주가 없거나 서투르다
all to cock,"confused, disorganized, or in a state of chaos","혼란스러운, 정리되지 않은, 또는 혼란 상태에 있는"
all together now,to do something simultaneously or in unison,동시에 또는 일제히 무언가를 하다
all walks of life,people from all different backgrounds and social statuses,다양한 배경과 사회적 지위를 가진 사람들
all wet,completely wrong or mistaken,완전히 잘못된 또는 틀린
all work and no play makes Jack a dull boy,"to imply that without time for leisure or recreation, a person becomes boring or uninteresting",여가나 오락을 위한 시간이 없으면 한 사람이 지루하거나 흥미롭지 않게 된다는 것을 암시하다.
all's fair in love and war,"It is acceptable to use any means necessary to achieve one's goals, especially in situations involving strong emotions or conflict.",강한 감정이나 갈등이 있는 상황에서는 목표를 달성하기 위해 어떤 수단이든 사용하는 것이 용납된다.
alley cat,"a person who leads a wild, carefree, and often promiscuous lifestyle",거리낌없이 자유롭고 종종 방탕한 삶을 사는 사람
along about,approximately or around a particular time or period,특정 시기나 기간에 대략 또는 약간
along the lines,similar or in a similar manner,유사하게 또는 유사한 방식으로
alpha Mom,"an assertive, dominant, or controlling mother who takes charge of her family and is highly involved in her children's lives",가족을 이끌고 자녀의 삶에 깊이 관여하며 assertive하고 dominant하거나 controlling한 어머니
alpha and omega,the beginning and the end; the most important or essential part; the entirety or completion of something,시작과 끝; 가장 중요하거나 본질적인 부분; 어떤 것의 전체나 완성
alphabet soup,"a situation or organization in which there are too many acronyms or initials used, making it difficult to understand or navigate",너무 많은 약어 또는 이니셜이 사용되어 이해하거나 파악하기 어려운 상황이나 조직
always chasing rainbows,continuously pursuing something that is unlikely to be achieved,이루어질 가능성이 낮은 것을 계속 추구하다
amber nectar,beer,맥주
amped up,to be extremely excited or energetic,매우 흥분하거나 에너지가 넘치다
an Englishman's home is his castle,one's home is a private and protected space where they have control and authority,"자신의 집은 개인적이고 보호받는 공간으로, 그들이 통제와 권한을 갖고 있는 곳이다."
an act of God,an event or occurrence that is beyond human control or influence,"인간의 통제나 영향을 초과하는 사건이나 발생"
an act of war,"an aggressive action, typically involving physical force, that is considered a provocation or cause for conflict","갈등을 유발하거나 도발로 간주되는 공격적인 행동, 일반적으로 물리적 힘을 수반하는 행동"
an apple a day keeps the doctor away,Regular consumption of healthy habits can help maintain good health and prevent illnesses.,건강한 습관을 정기적으로 실천하는 것은 좋은 건강을 유지하고 질병을 예방하는 데 도움이 될 수 있습니다.
an arm and a leg,an exorbitant or excessively high price,터무니없이 비싼 가격
have an axe to grind,to have a hidden personal agenda or ulterior motive,숨겨진 개인적인 의도나 숨은 목적이 있다
an eye for an eye,retributive justice; the idea of punishment or revenge in which the punishment corresponds in degree and kind to the offense,응보적 정의; 범죄와 응보가 정도와 종류에 따라 일치하는 처벌 또는 복수의 개념
an item,an unspecified or non-specific thing or object,불특정하거나 비특정적인 것이나 물체
an old flame,an old love interest or former romantic partner,옛 사랑이나 이전의 연인
an open and shut case,a situation or legal matter that is easily and clearly resolved or determined,쉽고 명확하게 해결되거나 결정되는 상황이나 법적 문제
an ounce of prevention is worth a pound of cure,"It is better to take precautions in advance to prevent a problem, rather than trying to resolve it later.",문제를 나중에 해결하려고 하기보다는 미리 예방 조치를 취하는 것이 더 좋다.
an ugly duckling,someone or something that initially appears unattractive or unimpressive but later develops into something beautiful or impressive,처음에는 매력 없거나 인상적이지 않게 보이지만 나중에 아름답거나 인상적으로 발전하는 사람 또는 사물
and all that jazz,and similar things; and other similar things,그리고 비슷한 것들; 그리고 다른 비슷한 것들
and so on,continuing in the same manner; et cetera; and so forth,같은 방식으로 계속; 등등; 기타 등등
and then some,"to an even greater extent, or in addition to what has been mentioned or expected","더욱 더, 또는 언급되거나 예상된 것에 추가하여"
and what not,and other similar things,그리고 다른 유사한 것들
ankle biter,"a small child or an animal, especially one that is prone to biting or bothering others",특히 물거나 다른 사람을 귀찮게 하는 경향이 있는 작은 아이 또는 동물
another nail in one's coffin,a further action or event that brings one closer to ruin or failure; something that worsens the already difficult or negative situation,재앙이나 실패에 더 가까워지게 하는 추가적인 행동이나 사건; 이미 어려운 상황이나 부정적인 상황을 악화시키는 것
ants in pants,to be very restless or unable to sit still,매우 불안정하거나 가만히 있지 못하다
any minute soon now,"very soon, any moment now","매우 곧, 지금 바로"
any port in a storm,to accept any solution or opportunity in a difficult or desperate situation,어렵거나 절박한 상황에서 어떤 해결책이나 기회를 받아들이다
any port in a storm,making do with whatever is available in a difficult or challenging situation,어려운 상황에서 이용할 수 있는 것으로 그럭저럭 해내다
anyone's guess,uncertain or unknown; difficult to predict,불확실하거나 미지의; 예측하기 어려운
anything but,the complete opposite; not at all,정반대; 전혀 그렇지 않다
anything goes,"to allow or accept anything, regardless of standards or rules",기준이나 규칙에 관계없이 어떤 것이든 허용하거나 받아들이다.
apple of discord,a source of disagreement or anger; a cause of conflict or strife,불일치나 분노의 원인; 갈등이나 다툼의 원인
apple of eye,someone or something that is cherished or highly valued,소중히 여겨지거나 귀중하게 평가되는 사람이나 것
apple of somebody's eye,someone or something that is greatly cherished or loved,많이 소중히 여겨지거나 사랑받는 사람이나 것
apple polisher,someone who excessively flatters or ingratiates themselves with someone in a position of power or authority,권력이나 권위 있는 사람에게 지나치게 아부하는 사람
