Idiom,Meaning,Meaning_ar
ًاتّخذ منه نِبراسا,"To take someone as an example, model someone after someone",يَتَّخِذ شَخصًا كَقُدوة، يُحاكي شَخصًا آخَر
ات ّ خذ منه وسيلة ً لِـ,To regard something as an expedient for,أن يَعتَبِر شيئًا وسيلة ل
ًاتّخذ موقفا,"To take an attitude, assume a position",اتخاذ موقف، تبني وضعية
ات ّ ساع في الكالم,Vagueness of expression,غُموض التَعبير
ات ّ سع الخرق على الراقع,The rent is beyond repair,الإيجار لا يمكن إصلاحه
اتصل به تلفونيا,To get in touch with someone by telephone,للتواصل مع شخص عبر الهاتف
اتصلت به النار,To catch fire,يَشتَعِل
أتعب سرَّه,"To trouble, worry, bother, harass someone",إزعاج أو قلق أو مضايقة أو مضايقة شخص ما
اتقد غيرةً (حماسا ً ) على,To burn with zeal (energy) for,يَشتَعِل حَماسًا لِـ
اتماما ً للنصاب,"So as to complete the number, in order to round off the amount",لإكمال العدد، من أجل تقريب المبلغ
شيئاً فرياً (جاء) ًأتى ,"To do something unheard of, do an unprecedented thing",لِفِعل شيء غير مَسبوق، القيام بأمر غير مَعهود
ُآتى أ ُ ك ُ ل َ ه,To bear fruit,يُثمِر
أتى ب,"To bring, produce, advance",لِيُحضِر، يُنتِج، يُقدِّم
أتى بجديد,To come out with something new,الخروج بشيء جديد
أتى على األخضر واليابس,"To destroy everything, wreak havoc",لتدمير كل شيء، نَشر الفَوضى
أتى متلصصا ً إلى,"To steal, to sneak up to",لِيَسرِق، لِيَتَسَلَّل إِلَى
أتيحَ له التوفيق,"He met with success, he was successful",لقد حقق النجاح، كان ناجحًا
أتيحت له الفرصة,"He was given the opportunity, he had the chance",أُعطِي الفُرصة، كان لديه الفُرصة
ُأثار ثائرَتَه,"To infuriate someone, excite someone",لإغضاب شخص ما، لإثارة شخص ما
ًأثار غبارا,To stir up dust,لإثارة الغبار
ًأثار مسألة,"To bring up a question, a problem",لإثارة سؤال أو مشكلة
َأثبت الشخص,"To determine someone’s identity, identify someone",لتحديد هوية شخص ما، التعرّف على شخص ما
َ أثبت الكالم,To fix the precise wording of a text,لإصلاح الصياغة الدقيقة لنص
أثبت شخصيتَه,To prove one’s identity,لإثبات الهوية
أثبته في الورق,"To put something down in writing, get something on paper",تَدوين شيء ما على الورق
أثخن في العدو,To massacre the enemy,لِذَبح العَدو
أثخنه بالجراح,To weaken someone by inflicting wounds,إضعاف شخص عن طريق إلحاق الجروح به
ًأثخنه ضربا,"To wallop someone, give someone a sound thrashing",لإعطاء شخص ما ضربة قوية، أو لضربه ضربًا مبرحًا
أثقل كَاهل َ ه,To burden someone or something,إثقال كاهل شخص أو شيء
أثكل األ ُ مَّ ولدَها,To bereave a mother of her son,أن تُفجِع الأُم بفقدان ابنها
أثلج صدرَه,"To delight, please, gratify someone",لإسعاد شخص أو إرضائه أو إمتاعه
أثلجت السماء,"It snowed, was snowing",تَساقَطَ الثَلج، كانَ الثَلج يَتَساقَط
أثمان ال تقبل المزاحمة,Prices that are beyond competition,أسعار لا تُنافَس
أثناء ذلك,"During, meanwhile, in the course of",أثناء، في الوقت نفسه، خلال
أثنى عليه عاطرَ الثناء,"To speak in the most laudatory terms of someone, to extol someone to the skies",التحدث عن شخص بأكثر العبارات مدحًا، والإشادة به إلى أقصى حد
أثير عند,"Favoured, preferred",مُفَضَّل
أجاب إلى طلبه,"To comply with someone’s request, to respond to someone’s demands",الاستجابة لطلب شخص ما، تلبية مطالب شخص ما
إجابة ً لطلبكم,In answer to your request,استجابةً لطلبك
أجاد العزفَ على,To play (an instrument),العَزف (على آلة موسيقية)
ًأجادَ لغة,To master a language,لإتقان لغة
أجال الرأيَ في,"To weigh something thoroughly, ponder something",لِتَزِن شيئًا بِعِناية، تَتَأمَّل في شيء
َأجال النظر,"To let one’s eyes wander about, look around",لِيَتَجَوَّل بِنَظَرِه، يَنظُر حَولَه
اجتاز العقبات,To overcome obstacles,لتَجاوُز العَقَبات
َاجتازت شهرت ُ هُ اآلفاق,His fame spread throughout the world,انتشرت شهرته في جميع أنحاء العالم
اجترّ آالمه,To mull over one’s grief,للتفكر في الحزن
اجترح السيئات,To do evil things,لِفِعل أشياء شَريرة
اجتروا أحاديث َ هم,"They chewed the old cud over, kept saying the same things",ظلوا يكررون نفس الكلام، يعيدون نفس الأمور القديمة
. . . اجتمعت كلمت ُ هم على,"They united, joined forces, came to an agreement, they were agreed that...",اتحدوا، انضموا إلى بعضهم البعض، توصلوا إلى اتفاق، كانوا متفقين على أن...
أجّج النار,"To light, kindle, start (a fire)",يُشعِل
ًأجدى نفعا,To be useful,أن يكون مُفيدًا
أجر المثل,Adequate payment or wages,أجر كافٍ أو راتب مناسب
أجر زهيد,A mere pittance,مبلغ زهيد
إجراء العمل بِـ,"Enforcement, implementation of something",تَطبيق، تَنفيذ شيء ما
إجراءات رادعة,Deterrence measures,إجراءات الردع
أجراه مجرى,"To treat something in the same manner as, put something on equal footing with",مُعامَلة شيء بنفس الطريقة، وَضْع شيء على قدم المساواة مع
أجرة النقل,"Transport charges, cartage, carriage, freight",رسوم النقل، الشحن، النقل، الشحنات
أجرضه بريقه,"To alarm someone, fill someone with apprehension",لإثارة قلق شخص ما، ملء شخص ما بالتوجس
أجرى ألسنتَهُم بِـ,"He brought them to the expression of..., caused them to voice or utter something",جعلهم يُعبِّرون عن...، دفعهم إلى التعبير أو النطق بشيء ما
ًأجرى تجربة,To carry out an experiment,إجراء تجربة
ًأجرى تحقيقا,To conduct an investigation,إجراء تحقيق
ًأجرى حديثا,To conduct an interview,إجراء مقابلة
ًأجرى سرا,To dispense a sacrament,لإعطاء سر مقدس
ًأجرى له إعانة,To grant someone a subsidy,لِمَنح شَخصٍ إعانة
َ أجزل له العطاء,"To give generously, open- handedly",يُعطي بسخاء وكرم
إجماع في الرأي,Consensus,إجماع
. . . اإلجماع منعقد على أن,There is general convocation that...,هناك اعتقاد عام بأن...
. . . إجماال لذلك أقول,To sum up I would say...,باختصار، أود أن أقول...
أجمعوا أمرَهم,They made a joint decision,اتخذوا قرارًا مشتركًا
أجهد فكرَهُ في,To put one’s mind to,يُركِّز على
أجهدَ نفسَه,To exert oneself,يُجهِد نَفسَه
أجهش بالبكاء,To burst into tears,يَنفَجِر في البُكاء
أجهضت نفسَها,She induced an abortion,أجرت عملية إجهاض
أجور الدراسة,Tuition fees,رسوم الدِّراسة
أجور السفر,Fares,فارس
آحاد األلوف,A few thousand,بضعة آلاف
أحادي البعد,One-dimensional,أُحادي الأَبعَاد
أحاديث النفس,"Premonition, bright expectation",تَحَدُّس، تَوَقُّع مُشْرِق
أحاط به االلتباس,"To be wrapped in obscurity, be completely ambiguous",أن يكون مُغَلَّفًا بالغموض، أن يكون غامضًا تمامًا
ًأحاط به علما,To know something thoroughly,لمعرفة شيء بشكل تام
إحاطة بِـ,"Familiarity with, acquaintance with",الإلمام بـ، المعرفة بـ
أحاطه علما بِـ,He let him know about,أَخبَرهُ عن
. . . أحب له أن,To like about someone that he...,أن تُعجَب بشخص لأنه...
ًأحبّه حُبّاً جَمّا,To be more than found of,أن تكون أكثر من مُعجَب بـ
ًاحتدم غيظا,"To burn with wrath at, over",يَشتَعِل غَضَبًا على، بسبب
احتراسا ً من,Protection from or against,الحماية من
! ْاحتَرِس,Caution!,احْتِراس!
احترم نفسَه,To be self-respecting,أن يَحترِم النَّفس
احتسب عند هللا الشيء,To sacrifice something in anticipation of God’s reward in the hereafter,التضحية بشيء ما انتظارًا لثواب الله في الآخرة
ًاحتسب ولدا,"To give a son, be bereaved of a son",لِيُرزَق بِابن، ويفقِد ابنًا
َا ُ حت ُ ضِر,To die,أن يَموت
احتفظ بالوفاء لِـ,To remain loyal to someone,البقاء وفيًا لشخص ما
احتفظ بحقوقه,"To maintain, uphold one’s rights",للحفاظ على حقوق المرء والدفاع عنها
احتفظ لنفسه,"To keep, appropriate, reserve for oneself",للاحتفاظ، الاستيلاء، تخصيص لنفسه
احتقن وجهُه,"His face turned red, his face was flushed",احمر وجهه، كان وجهه متوردًا
احتكّ في صدره,"It impressed him, affected him, touched something inside him",أثَّر فيه، أثار إعجابه، لامس شيئًا داخله
احتلّ أعمال َ ه,To take over someone’s functions,لتولي مهام شخص ما
احتلّ المكانَ األول,To occupy the foremost place,لِيَحتَل المَكانة الأَولى
ًاحتلّ مكاناً مكينا,"To have or hold a strong, powerful position",لِيَمتَلِك أو يَحتَفِظ بمَوقِع قَوي وقَدير
احتماالت,"Probabilities, possibilities",احتمالات، إمكانيات
أحدّ النظرَ إلى,"To look sharply at, stare at",يُحَدِّق في
أحدّ بصرَه في,To scrutinise,لِتَدقيق
أحدّ من بصرِه,To glance sharply,يَرمُق بنظرة حادة
أحداث متزامنة,Simultaneous event,حَدَث مُتَزامِن
ًأحدث حدثا,"To bring about something evil, do mischief (Islamic Law, to commit a ritual impurity)",إحداث شيء شرير، ارتكاب الفساد (في الشريعة الإسلامية، ارتكاب نجاسة طقسية)
أحدق النظر,To fix one’s glance on,يُثَبِّت نَظَرَه على
أحرج موقفَه,"To put someone under pressure, threaten someone’s position",وَضْع شخص تحت الضغط، تهديد مَكانة شخص ما
(أحرز قصَبَ السبق )والغَلب,"To come through with flying colours, carry the day, score a great success",يَنجَح بامتياز، يُحَقِّق النصر، يُحَقِّق نجاحًا كبيرًا
( ً أحرز نصرا ً )انتصارا,To win a victory,لِكَسب نَصر
. . . أحرق فحمةَ ليله في,"To spend the night doing something, burn the midnight oil over...",يَسْهَر اللَّيل في القيام بشيء، يَحْتَرِق الزَّيْت في اللَّيل من أجل...
أحسّ بالذنب,To feel guilty,الشعور بالذنب
إحساس االنحطاط,Sense of inferiority,الشعور بالدونية
األحسن,"The best outcome, the happy ending",أفضل نتيجة، النهاية السعيدة
َأحسن االختيار,To make a good choice,لِاتِّخاذ خِيار جَيِّد
أحسن التسديد,To aim accurately,للتصويب بدقة
أحسن الظن بِـ,To have a good opinion of,أن يكون لديه رأي جيد عن
أحسن تطبيقَه,To make a good practical application of something,لِتَطبيق شيء بشكل جيد وعملي
أحسن حاال منهم,Better off than they are,أفضل حالاً مما هم عليه
أحسن فهمَه,To grasp or understand something well,لإدراك أو فهم شيء جيداً
أحسن مشورتَه,To give good advice,تقديم نَصيحة جَيّدة
أحسن معاملتَه,To treat someone well,مُعامَلة شَخص بِشكل جَيّد
!أحسنت,Well done! Bravo!,أحسنت! برافو!
أحضره معه,To bring something along,لإحضار شيء معه
َّأحقّ الحق,To help truth come into its own,لِمُساعَدة الحَقيقة على الظُهور والانتِصار
أحق ّ ا ً ذلك؟,Is that really so? Really?,هل هذا صحيح حقًا؟ حقًا؟
أحكام هللا,God’s commands,أوامر الله
َأحكم السدود,To erect solid barriers,لإقامة حواجز صلبة
أحكمَ أمرَه,"To do something carefully, thoroughly",لِفِعل شيء بِعِناية وبدِقّة
أحكمَ تدابيرَه,"To plan one’s actions precisely, organise well",للتخطيط لأفعال المرء بدقة، وتنظيمها بشكل جيد
أحكم ربط َ ه,To tie up something tightly,لِرَبط شيء بإحكام
ِأحكم ق َ ف ْ لَ الباب,To lock the door firmly,لإغلاق الباب بإحكام
ًأحكم لغة,To master a language,لإتقان لغة
أحل الشيءَ محلَّ العناية,To pay attention to something,يُولي اهتمامًا لشيء ما
أحل ّ ه محل َّ ه,To cause someone or something to take the place of someone or something else,لإحلال شخص أو شيء محل شخص أو شيء آخر
أحمر قان,"Blood-red, deep-red",أحمر قانٍ، أحمر داكن
أحوجٌ إلى,In greater need of something,في حاجة أكبر إلى شيء ما
أحيا الذكرى,To commemorate (a deceased person),لإحياء ذكرى (شخص متوفى)
َأحيا الليل,To burn the midnight oil,يَسْهَر لِلنِهاية اللَيل
ًأحيا الليل صالة,To spend the night in prayer,قَضاء اللَّيل في الصَّلاة
ًأحيا حفلة,To give a performance,تقديم عرض
إحياء الموات,Cultivation of virgin land,استصلاح الأراضي البكر
إحياء لذكرى,"In commemoration of, in memoriam",إحياءً لذكرى
ًأحيانا,"Occasionally, sometimes",أحيانًا، في بعض الأحيان
أحِيلَ إلى (على) المعاش,"To be pensioned off, be retired, be superannuated",يُحال إلى التقاعد
أخبار زائفة,False reports,تقارير كاذبة
أخبت إلى هللا,To be humble before God,أن تكون متواضعًا أمام الله
اختار هللا إلى جِواره,The Lord has taken... unto Himself,لقد أخذ الرب... إلى نفسه
اخترق مسامعَه,To shrill in someone’s ears,يُزَعزِع في آذان شخص
َاخترم الصفوف,To break the ranks,لِكَسر الصُّفوف
َاختطف البصر,To dazzle the eyes,لِيُبْهِر العُيون
َ اختطف الكالم,"To talk rapidly, half swallowing one’s words",التحدث بسرعة مع ابتلاع نصف الكلمات
اختفى عن األنظار,To disappear from sight,الاختفاء عن الأنظار
اختلّ توازن ُ ه,To lose one’s balance,فَقدان التوازن
اختلّ عقل ُ ه,To be mentally deranged,أن يكون مختلاً عقلياً
اختل ّ ت الشروط,The conditions are not fulfilled,الشروط غير مُستوفاة
ًاختلج غمّا,To be filled with sorrow,أن يَمتَلِئ بالحُزن
اختلس الخ ُ ط َ ى إلى,To sneak up on someone,التسلل إلى شخص ما
( اختلس النظر إلى )في,To glance furtively at someone,يُلقي نَظرة خَاطِفة على شَخص بشكل خَفي
اختلط الحابل بالنابل,"Everything became confused, got into a state of utter confusion",أصبح كل شيء مشوشًا، ودخل في حالة من الارتباك التام
. . . اختلف باختالف,"To be different, differ according to the kind of...",أن يكون مختلفًا، يختلف حسب نوع...
ًاختيارا,Of one’s own accord,بِمَحض إرادته
أخذ (أعد) عدته لِـ,"To make one’s preparations for, prepare oneself for",يَستَعِدّ لـ
أخذ الباخرة,"To go by boat, took a ship",للذهاب بالقارب، استقل سفينة
أخذ الثأر,To take revenge,يَأخُذ الثَأر
أخذ ُ الرأي,"Voting, vote",التَّصويت، يُصَوِّت
أ ُ خِذ َ الرأيُ عليه,The matter was put to a vote,تم طرح الأمر للتصويت
أخذ الشيء مأخذ الجد,To take something seriously,أن تأخذ شيئًا على محمل الجد
أخذ العُدَّة لِـ,To prepare to do something,الاستعداد للقيام بشيء ما
أخذ العلم عنه,To study under someone,الدراسة تحت إشراف شخص ما
ُأخذ أ ُ هْبَتَه,"To make preparations, prepare oneself, get ready",للاستعداد، يُحَضِّر نفسه، يَتَجَهَّز
أخذ أوصافَه,To take down someone’s personal description,تدوين الوصف الشخصي لشخص ما
أخذ بأسباب الحضارة الحديثة,To adopt modern civilisation,لتَبَنِّي الحَضارة الحَديثة
أخذ باألبصار,To catch everyone’s eye,لِيَلفِت انتباه الجميع
(أخذ بالثأر )أخذ ثأرَه,"To take revenge, avenge oneself",يَنتَقِم
أخذ بالمقابلة,To repay like for like,لِلرَد بالمِثل
أخذ بالنظر,To catch the eye,لِفَت الانتباه
أخذ بأهداب الشيء,"To apply oneself to, attend to, engage in, cultivate, practise something",يُكَرِّس نَفسَه لِشَيء، يَهتَمّ بِشَيء، يُشارِك في شَيء، يُنَمِّي شَيء، يُمارِس شَيء
أخذ بتالبيبه,"To collar someone, seize someone by the collar",الإمساك بشخص من ياقة قميصه
أخذ بحرفية القانون,To hold to the letter of the law,التمسك بحرفية القانون
أخذ بخاطره,"To try to please someone, to reassure someone",محاولة إرضاء شخص ما، طمأنة شخص ما
أخذ برأيه,To agree with someone,يَتَّفِق مَع شَخص ما
أخذ بعين االعتبار,"To consider seriously, bear in mind, take into consideration",أن يأخذ بعين الاعتبار، يضع في الحسبان، يأخذ في الاعتبار
أخذ بمجامع القلوب,To win or captivate the hearts,لِكَسب أو أسر القلوب
أخذ بناصره,"To help someone, stand by someone, look after someone",لِمُساعَدة شَخص، الوُقوف إلى جانِب شَخص، رِعاية شَخص
أخذ بناصيته,"To seize, take by the forelock, tackle properly",لِيَغتَنِم، يَأخُذ من النّاصية، يُعالِج بشكل صحيح
أخذ ثأرَه,To take revenge,يَأخُذ الثَأر
ًأخذ جذبا,"To wrest away, take away by force",ينتزع بالقوة
أخذ حِذرَه,"To be on one’s guard, take precautions",يَكون على حَذَر، يَتَّخِذ الاحتياطات
أخذ حقه,"To receive one’s due, get what one deserves",يَحصُل على ما يَستَحِقّ
أخذ حيطته,"To be on one’s guard, take precautions",يَكون على حَذَر، يَتَّخِذ الاحتياطات
أخذ رأيه,"To ask for someone’s opinion, consult someone",لِطَلَب رَأي شَخص ما، استِشارة شَخص ما
ًأخذ صورة,To take a picture,يَلتَقِط صورة
أخذ عدة الشيء,To make preparations for something,الاستعداد لشيء ما
ٍأ ُ خِذ َ على حينِ غِرَّة,"To be taken by surprise, be caught unaware",يُؤخَذ على غِرَّة
أخذ على خاطره من,"To feel offended by, take offence at",يشعر بالإهانة من، يأخذ على محمل الإهانة
أخذ عليه أنفاسَه,To take someone’s breath away,يَسْلُب الأَنْفاس
أخذ عليه طريقَه,"To obstruct someone’s way, hinder someone from moving on",إعاقة طريق شخص ما، منع شخص من التقدم
ًأخذ عليه عهدا,To put someone under an obligation,إلزام شخص بالتزام
أخذ عهدا ً عليه,"To exact a promise from someone, pledge someone",استخلاص وعد من شخص، إلزام شخص بوعد
أخذ قياسَه,To take someone’s measure (tailor),يَأخُذ مَقاسات شَخص (خَيّاط)
أخذ مأخذ فالن,"To adopt the same course as someone, follow someone’s example",يَقتَدي بِشَخصٍ ما
أخذ مجراه,To take its course,يَسير في مَسارِه
أخذ مجلسَه,"To take one’s seat, to sit down",يَجلِس
أخذ منه كلَّ مأخذ,"To completely overcome, overpower, seize someone (fatigue, emotion, sensation...)",للتغلب تمامًا على، أو السيطرة على، أو الاستيلاء على شخص (التعب، العاطفة، الإحساس...)
ًأخذ منه مأخذا,"To seize someone, take possession of someone (a sensation or the like)",يَستَولي على شَخص، يَستَحوِذ على شَخص (كإحساس أو ما شابه)
أ َ خذ َ نَفَسَه,To draw breath,يَلتَقِط أنفاسه
أخذ وأعطى مع,"To do business, deal with, maintain relations with",لِمُزاوَلة الأعمال، التَعامُل مع، الحِفاظ على العَلاقات مع
أخذ وجه العَروسة,To consummate marriage,إتمام الزواج
ًأخذ وجها,"To win respect, gain prestige",لِكَسب الاحترام، واكتساب المكانة
ٌّأخذ ٌ ورد,"Discussion, debate",نِقاش، جِدال
ٌأخذ وعَطاء,"Give and take, trade, dealings",الأخذ والعطاء، التجارة، التعاملات
ًأخَذَتْ عَيْنِي كتابا,I caught sight of a book,لَفَتَ نَظَري كِتاب
أخذتني بين أحضانها,She took me in her arms,أخذتني في ذراعيها
ُأخذ َ نَا المطر,We got caught in the rain,عَلِقنا في المَطَر
أخذه العَجَب,He was overcome with astonishment,غَمَرَهُ الذُّهول
أخذه النوم,Sleep overwhelmed him,غَلَبَهُ النُّعاس
أخذه بالحسنى,"To be friendly, be nice to someone",لكي تكون ودودًا، كُن لطيفًا مع شخص ما
أخذه بحذافيره,"He took all of it, lock, stock and barrel",أخذ كل شيء، بالكامل وبدون استثناء
أخذه بذنبه,To punish someone for his offence,معاقبة شخص على جريمته
( أخذه بمَخ ْ نَقِه )بخِناقِه,"To grab someone by the throat, to have power over someone",الإمساك بشخص من الحلق، للسيطرة على شخص ما
أخذه بيده,"To help someone, stand by someone",لمساعدة شخص ما، الوقوف بجانب شخص ما
أخذه على عاتقه,"To shoulder something, take something upon oneself, assume something",يَتحَمَّل شيئًا، يَتَكَفَّل بشيء، يَتَوَلَّى شيئًا
اآلخَر,The other,الآخر
آخرَ األمر,"Eventually, finally, in the end, after all",في النهاية
ًأخرج ريحا,To break wind,إطلاق الريح
أخرج ما عنده من بِضاعة,He said what he had intended to say,قال ما كان ينوي قوله
اخرج من هنا,Get out of here!,اخرج من هنا!
أخرجه الحزن عن طوقه,Grief drove him out of his mind,الحُزن أفقده صَوابَهُ
أخرجه عن طوره,"To upset, discompose, disconcert someone",لإزعاج أو إرباك أو إرباك شخص ما
أخرجه من ثروته,"To rob someone of his property, dispossess",سَلَبَ شخصًا ممتلكاته، جَرَّدَهُ منها
أخرجه من صبغته,"To change, disfigure someone or something",لتغيير أو تشويه شخص أو شيء ما
اخ ْ سَأ ْ إليك,Beat it! Scram!,اِرحَل! اِنصَرِف!
أخصّ الخاصَّة,"The most select elite, the crème de la crème",النُخبة المُختارة، خِيرة الخِيرة
َأخطأ اللفظ,To mispronounce,يُخطِئ في النُطق
أخطأ بين الشيئين,"He confused the two things, he mistook one thing for the other",لقد خلط بين الأمرين، فظن أن أحدهما هو الآخر.
أخطأ فأله,"His expectations do not come true, are not fulfilled",توقعاته لا تتحقق، لا تُلبى
أخطأ في استنتاجاته,He drew the wrong conclusions,استنتج استنتاجات خاطئة
أخطأه التوفيق,"He failed, was unsuccessful",فَشِل، لم يُوَفَّق
ُأخطأه الشيء,He lacked it,كان يفتقر إليه
أخفّ الضررين,The lesser of two evils,أخف الضررين
ًأخفق إخفاقا ذريعا,To fail miserably,الفشل الذريع
َأخفى الصوت,To lower one’s voice,خَفَّضَ صَوتَهُ
أخالط من الناس,"Common people, rabble",العامة، الرعاع
أخلد إلى الراحة,To rest,للاستراحة
أخلص هلل دينَه,To worship God faithfully and sincerely,لِعِبادة الله بإخلاص وصِدق
َّأخلص له الحُب,To love someone dearly,أن تُحِب شَخصًا بِشَدة
أخلص له النية,To be loyally attached to someone or something,أن يكون مرتبطًا بولاء بشخص أو شيء ما
َ أخلف الرجاء,To disappoint one’s hopes,يُخَيِّب الآمال
أخلف وعدَه,"To fail to keep one’s promise, to go back on one’s word, to break his word",أن يُخلف وعده، أن يتراجع عن كلمته، أن ينكث بوعده
أخلى السبيلَ لِـ,To open the way for,لِفَتح الطَريق أمام
أخلى بينه وبين ما يقول,"To let someone say whatever he likes, let someone talk freely",دَع شخصًا يقول ما يشاء، دَع شخصًا يتحدث بحرية
أخلى سبيل َ ه,To release someone,إطلاق سراح شخص
أخلى سمعَه لِـ,"To be all ears for, listen intently to",أن يُصغي بانتباه إلى
أخلى طرفَه,To exonerate someone,تَبْرِئة شَخص ما
ًأخلى مكانا,To make room,لإفساح المجال
أخو الخير,Benevolent person,شخص خَيِّر
أخو ثقة,Trustworthy,جدير بالثقة
أخوه ألبيه وأمه,"His brother on the paternal and maternal side, his brother- german, his full brother",أخوه من جهة الأب والأم، أخوه الشقيق، أخوه الكامل
أخيار الناس,"The best people, the best of all people",أفضل الناس، أفضل الناس جميعًا
ًأخيراً وليس آخرا,Last but not least,آخِرًا وليسَ أَقَلَّهُم شَأنًا
. . . أدار نظره في,To let one’s eyes roam over...,لِيَدَع عَينَيه تَجوبُ فوق...
إدانة شديدة الل ّ هجة,A strong condemnation,إدانة شديدة
أدبر النهار,The day is over,انتهى اليوم
أدبر عن شخص,To turn one’s back on somebody,يُدير ظهره لشخص ما
إدخال تعديالت,Inserting amendments,إدخال التعديلات
ًادّخر ماال,To save money,لِتَوفير المال
أدخل تعديالت,To amend,لِتَعديل
ادخل تغييرا ً على,To bring about a change in,لإحداث تغيير في
أدخل شخصا إلى المستشفى,To admit someone to hospital,إدخال شخص إلى المستشفى
أدراج الريّاح,Be in vain,يَذهب سُدى
أدرج شخصا في القائمة السوداء,To blacklist somebody,إدراج شخص في القائمة السوداء
أدرج نقطة في جدول األعمال,To include an item in the agenda,إدراج بند في جدول الأعمال
