Idiom,Meaning,Meaning_trans
ابن جال,"A famous, well-known man, a celebrity",رجل مشهور، معروف، مشهور، مشهور
ابن جِل ْ دَتِنا,"Our countryman, our fellow tribesman",ابن بلدنا، ابن قبيلتنا، ابن قبيلتنا
ابن حرام,Illegitimate son,ابن غير شرعي
ابن حالل,"Legitimate son, decent fellow",الابن الشرعي والزميل المحترم
ابن صُلبِه,"His own son, his offspring",ابنه، ذريته
ابن يومه,"Short lived, ephemeral",قصيرة العمر، سريعة الزوال
أبو شوارب,"Moustached, sporting a moustache",ذو شارب وشارب
. . . أبو عُذر,"Responsible for, answerable for...",مسؤول عن، مسؤول عن، مسؤول عن...
أبو ق ُ نبُور,Hunchback,أحدب
األبوان,"The parents, father and mother",الوالدان والأب والأم
أبى إال أن يفعله,He insisted on doing it,أصر على القيام بذلك
. . . أبى هللا إال أن,God willed that...,شاءت إرادة الله أن...
ابيض وجهه,"To enjoy an excellent reputation, stand in good repute",التمتع بسمعة ممتازة، والسمعة الطيبة
اتأد في مشيته,"To walk slowly, unhurriedly",المشي ببطء وبلا عجلة
ات ّ باعا ً لِـ,"In observance of, according to",مراعاةً لـ، وفقًا لـ
ات ّ بع سياسة,To pursue a policy,اتباع سياسة
ًاتّبع مذهباً فقهيّا,To follow a school of Islamic law,اتباع مذهب من مذاهب الشريعة الإسلامية
ات ّ بع يمينَه,To keep to the right,للحفاظ على اليمين
اتحاد اآلراء,"Unanimity, uniting of views",الإجماع وتوحيد وجهات النظر
اتحاد الكلمة,"Concord, agreement, harmony",الوفاق والاتفاق والانسجام والتناغم
ات ّ خذ التدابير الالزمة,To take the necessary measures,اتخاذ التدابير اللازمة
ات ّ خذ المعلول علة,To mistake cause and effect,للخطأ في السبب والنتيجة
َات ّ خذ المُن َ اسِب,To act in a suitable or appropriate manner,التصرف بطريقة مناسبة أو ملائمة
ات ّ خذ المواقع الجديدة,To take up new positions (troops),لتولي مناصب جديدة (قوات)
ات ّ خذ خطوةً حاسمة,To take a decisive step,اتخاذ خطوة حاسمة
ًاتّخذ شكال,To take a form or shape,لاتخاذ شكل أو هيئة
ًاتّخذ قرارا,To pass or adopt a resolution,لتمرير أو اعتماد قرار
ًاتّخذ منه نِبراسا,"To take someone as an example, model someone after someone",أن تأخذ شخصًا ما كمثال يحتذى به، أو أن تقتدي بشخص ما
ات ّ خذ منه وسيلة ً لِـ,To regard something as an expedient for,اعتبار شيء ما وسيلة لـ
ًاتّخذ موقفا,"To take an attitude, assume a position",اتخاذ موقف، اتخاذ موقف، اتخاذ موقف
ات ّ ساع في الكالم,Vagueness of expression,غموض التعبير
ات ّ سع الخرق على الراقع,The rent is beyond repair,الإيجار لا يمكن إصلاحه
اتصل به تلفونيا,To get in touch with someone by telephone,للتواصل مع شخص ما عبر الهاتف
اتصلت به النار,To catch fire,لاشتعال النار
أتعب سرَّه,"To trouble, worry, bother, harass someone",أن تزعج أو تقلق أو تزعج أو تضايق أو تضايق شخصًا ما
اتقد غيرةً (حماسا ً ) على,To burn with zeal (energy) for,الاحتراق بالحماس (الطاقة) من أجل
اتماما ً للنصاب,"So as to complete the number, in order to round off the amount",وذلك لإكمال العدد، من أجل تقريب المبلغ
ًأتى (جاء) شيئاً فريا,"To do something unheard of, do an unprecedented thing",القيام بشيء لم يُسمع به من قبل، القيام بشيء لم يسبق له مثيل
ُآتى أ ُ ك ُ ل َ ه,To bear fruit,أن تؤتي ثمارها
أتى ب,"To bring, produce, advance",للإحضار، والإنتاج، والتقدم
أتى بجديد,To come out with something new,الخروج بشيء جديد
أتى على األخضر واليابس,"To destroy everything, wreak havoc",لتدمير كل شيء، وإحداث الخراب والدمار
أتى متلصصا ً إلى,"To steal, to sneak up to",للسرقة، للتسلل إلى
أتيحَ له التوفيق,"He met with success, he was successful",لقد حقق النجاح، لقد كان ناجحًا
أتيحت له الفرصة,"He was given the opportunity, he had the chance",لقد أتيحت له الفرصة، وأتيحت له الفرصة
ُأثار ثائرَتَه,"To infuriate someone, excite someone",لإغضاب شخص ما، وإثارة شخص ما
ًأثار غبارا,To stir up dust,لإثارة الغبار
ًأثار مسألة,"To bring up a question, a problem",لطرح سؤال، مشكلة
َأثبت الشخص,"To determine someone’s identity, identify someone",لتحديد هوية شخص ما، تحديد هوية شخص ما
َ أثبت الكالم,To fix the precise wording of a text,لإصلاح الصياغة الدقيقة للنص
أثبت شخصيتَه,To prove one’s identity,لإثبات هوية الشخص
أثبته في الورق,"To put something down in writing, get something on paper",لتدوين شيء ما كتابيًا، احصل على شيء ما على الورق
أثخن في العدو,To massacre the enemy,ذبح العدو
أثخنه بالجراح,To weaken someone by inflicting wounds,إضعاف شخص ما عن طريق إلحاق الجروح به
ًأثخنه ضربا,"To wallop someone, give someone a sound thrashing",لضرب شخص ما ضرب شخص ما ضربًا مبرحًا
أثقل كَاهل َ ه,To burden someone or something,إثقال كاهل شخص ما أو شيء ما
أثكل األ ُ مَّ ولدَها,To bereave a mother of her son,حرمان أم من ابنها
أثلج صدرَه,"To delight, please, gratify someone",لإسعاد وإرضاء وإرضاء شخص ما
أثلجت السماء,"It snowed, was snowing",كان الثلج يتساقط، وكان الثلج يتساقط
أثمان ال تقبل المزاحمة,Prices that are beyond competition,أسعار تفوق المنافسة
أثناء ذلك,"During, meanwhile, in the course of",خلال، في غضون ذلك، في سياق
أثنى عليه عاطرَ الثناء,"To speak in the most laudatory terms of someone, to extol someone to the skies",التحدث بعبارات المديح لشخص ما بأقصى درجات المديح، وتمجيد شخص ما إلى عنان السماء
أثير عند,"Favoured, preferred",مفضل، مفضل، مفضل
أجاب إلى طلبه,"To comply with someone’s request, to respond to someone’s demands",الامتثال لطلب شخص ما، والاستجابة لمطالب شخص ما
إجابة ً لطلبكم,In answer to your request,إجابةً على طلبك
أجاد العزفَ على,To play (an instrument),العزف على (آلة موسيقية)
ًأجادَ لغة,To master a language,لإتقان اللغة
أجال الرأيَ في,"To weigh something thoroughly, ponder something",لوزن شيء ما بدقة، والتأمل في شيء ما
َأجال النظر,"To let one’s eyes wander about, look around",أن يسمح المرء لعينيه بالتجول والنظر حوله
اجتاز العقبات,To overcome obstacles,للتغلب على العقبات
َاجتازت شهرت ُ هُ اآلفاق,His fame spread throughout the world,انتشرت شهرته في جميع أنحاء العالم
اجترّ آالمه,To mull over one’s grief,للتفكير في حزن المرء
اجترح السيئات,To do evil things,القيام بأشياء شريرة
اجتروا أحاديث َ هم,"They chewed the old cud over, kept saying the same things",لقد مضغوا الضرع القديم، وظلوا يرددون نفس الأشياء
. . . اجتمعت كلمت ُ هم على,"They united, joined forces, came to an agreement, they were agreed that...",اتحدوا واتحدوا وتكاتفوا وتوصلوا إلى اتفاق، واتفقوا على أن
أجّج النار,"To light, kindle, start (a fire)",إشعال، إشعال، إشعال، إشعال (نار)
ًأجدى نفعا,To be useful,أن تكون مفيداً
أجر المثل,Adequate payment or wages,الدفع أو الأجور المناسبة
أجر زهيد,A mere pittance,مجرد مبلغ زهيد
إجراء العمل بِـ,"Enforcement, implementation of something",الإنفاذ، تنفيذ شيء ما
إجراءات رادعة,Deterrence measures,تدابير الردع
أجراه مجرى,"To treat something in the same manner as, put something on equal footing with",معاملة شيء ما بنفس الطريقة، وضع شيء ما على قدم المساواة مع
أجرة النقل,"Transport charges, cartage, carriage, freight",رسوم النقل والعربات والنقل والشحن والشحن
أجرضه بريقه,"To alarm someone, fill someone with apprehension",تنبيه شخص ما، وملء شخص ما بالتخويف
أجرى ألسنتَهُم بِـ,"He brought them to the expression of..., caused them to voice or utter something",وأتى بهم إلى التعبير عن ... ، وجعلهم ينطقون أو ينطقون بشيء
ًأجرى تجربة,To carry out an experiment,لإجراء تجربة
ًأجرى تحقيقا,To conduct an investigation,لإجراء تحقيق
ًأجرى حديثا,To conduct an interview,لإجراء مقابلة
ًأجرى سرا,To dispense a sacrament,صرف القربان المقدس
ًأجرى له إعانة,To grant someone a subsidy,لمنح شخص ما إعانة مالية
َ أجزل له العطاء,"To give generously, open- handedly",العطاء بسخاء وبكل سخاء
إجماع في الرأي,Consensus,الإجماع
. . . اإلجماع منعقد على أن,There is general convocation that...,هناك إجماع عام على أن...
. . . إجماال لذلك أقول,To sum up I would say...,وخلاصة القول...
أجمعوا أمرَهم,They made a joint decision,لقد اتخذوا قرارًا مشتركًا
أجهد فكرَهُ في,To put one’s mind to,أن يضع المرء عقله في
أجهدَ نفسَه,To exert oneself,إجهاد النفس
أجهش بالبكاء,To burst into tears,أن تنفجر في البكاء
أجهضت نفسَها,She induced an abortion,أجرت عملية إجهاض
أجور الدراسة,Tuition fees,الرسوم الدراسية
أجور السفر,Fares,فارس
آحاد األلوف,A few thousand,بضعة آلاف
أحادي البعد,One-dimensional,أحادي البُعد
أحاديث النفس,"Premonition, bright expectation",هواجس وتوقعات مشرقة
أحاط به االلتباس,"To be wrapped in obscurity, be completely ambiguous",أن تكون مغلفًا بالغموض، أن تكون غامضًا تمامًا
ًأحاط به علما,To know something thoroughly,معرفة شيء ما بدقة
إحاطة بِـ,"Familiarity with, acquaintance with",الإلمام والإلمام بـ
أحاطه علما بِـ,He let him know about,أخبره عن
. . . أحب له أن,To like about someone that he...,للإعجاب بشخصٍ ما أنه...
ًأحبّه حُبّاً جَمّا,To be more than found of,أن تكون أكثر من موجود من
ًاحتدم غيظا,"To burn with wrath at, over",أن تحترق غضبًا على، على
احتراسا ً من,Protection from or against,الحماية من أو ضد
! ْاحتَرِس,Caution!,احذر!
احترم نفسَه,To be self-respecting,أن تكون محترماً لذاتك
احتسب عند هللا الشيء,To sacrifice something in anticipation of God’s reward in the hereafter,التضحية بشيء احتسابًا لثواب الله في الآخرة
ًاحتسب ولدا,"To give a son, be bereaved of a son",أن تهب ابناً، أن تكون ثكلى بابن
َا ُ حت ُ ضِر,To die,للموت
احتفظ بالوفاء لِـ,To remain loyal to someone,أن تظل مخلصًا لشخص ما
احتفظ بحقوقه,"To maintain, uphold one’s rights",الحفاظ على حقوق المرء ودعمها
احتفظ لنفسه,"To keep, appropriate, reserve for oneself",أن يحتفظ، مناسب، يحتفظ به لنفسه
احتقن وجهُه,"His face turned red, his face was flushed",احمرّ وجهه، واحمرّ وجهه احمرارًا شديدًا
احتكّ في صدره,"It impressed him, affected him, touched something inside him",لقد أثرت فيه وأثرت فيه ولمست شيئًا ما بداخله
احتلّ أعمال َ ه,To take over someone’s functions,تولي وظائف شخص ما
احتلّ المكانَ األول,To occupy the foremost place,لاحتلال المكانة الأولى
ًاحتلّ مكاناً مكينا,"To have or hold a strong, powerful position",أن يكون له أو يشغل منصبًا قويًا وقويًا
احتماالت,"Probabilities, possibilities",الاحتمالات والاحتمالات
أحدّ النظرَ إلى,"To look sharply at, stare at",للنظر بحدة في، التحديق في
أحدّ بصرَه في,To scrutinise,للتدقيق
أحدّ من بصرِه,To glance sharply,لإلقاء نظرة فاحصة
أحداث متزامنة,Simultaneous event,حدث متزامن
ًأحدث حدثا,"To bring about something evil, do mischief (Islamic Law, to commit a ritual impurity)",إتيان الفاحشة، فعل الفاحشة (الشرع، ارتكاب الفاحشة)
أحدق النظر,To fix one’s glance on,لتثبيت نظر المرء على
أحرج موقفَه,"To put someone under pressure, threaten someone’s position",لوضع شخص ما تحت الضغط، وتهديد موقف شخص ما
(أحرز قصَبَ السبق )والغَلب,"To come through with flying colours, carry the day, score a great success",أن تحقق نجاحًا باهرًا وتنجح في تحقيق الفوز وتحقق نجاحًا باهرًا
( ً أحرز نصرا ً )انتصارا,To win a victory,الفوز بالنصر
. . . أحرق فحمةَ ليله في,"To spend the night doing something, burn the midnight oil over...",لقضاء الليل في القيام بشيء ما، وحرق زيت منتصف الليل على ...
أحسّ بالذنب,To feel guilty,الشعور بالذنب
إحساس االنحطاط,Sense of inferiority,الإحساس بالدونية
األحسن,"The best outcome, the happy ending",أفضل نتيجة، النهاية السعيدة
َأحسن االختيار,To make a good choice,لاتخاذ خيار جيد
أحسن التسديد,To aim accurately,التصويب بدقة
أحسن الظن بِـ,To have a good opinion of,أن يكون لديك رأي جيد في
أحسن تطبيقَه,To make a good practical application of something,لإجراء تطبيق عملي جيد لشيء ما
أحسن حاال منهم,Better off than they are,أفضل حالاً مما هم عليه
أحسن فهمَه,To grasp or understand something well,استيعاب أو فهم شيء ما بشكل جيد
أحسن مشورتَه,To give good advice,تقديم النصيحة الجيدة
أحسن معاملتَه,To treat someone well,أن تعامل شخصًا ما بشكل جيد
!أحسنت,Well done! Bravo!,أحسنت صنعًا! برافو!
أحضره معه,To bring something along,لإحضار شيء ما معك
َّأحقّ الحق,To help truth come into its own,لمساعدة الحقيقة على الظهور بمفردها
أحق ّ ا ً ذلك؟,Is that really so? Really?,هل هذا صحيح؟ حقاً؟
أحكام هللا,God’s commands,أوامر الله
َأحكم السدود,To erect solid barriers,لإقامة حواجز صلبة
أحكمَ أمرَه,"To do something carefully, thoroughly",القيام بشيء ما بعناية ودقة
أحكمَ تدابيرَه,"To plan one’s actions precisely, organise well",أن يخطط المرء لأعماله بدقة، وينظمها جيدًا
أحكم ربط َ ه,To tie up something tightly,لربط شيء ما بإحكام
ِأحكم ق َ ف ْ لَ الباب,To lock the door firmly,لإغلاق الباب بإحكام
ًأحكم لغة,To master a language,لإتقان اللغة
أحل الشيءَ محلَّ العناية,To pay attention to something,الانتباه إلى شيء ما
أحل ّ ه محل َّ ه,To cause someone or something to take the place of someone or something else,التسبب في أن يحل شخص ما أو شيء ما محل شخص ما أو شيء آخر
أحمر قان,"Blood-red, deep-red",أحمر دموي، أحمر غامق
أحوجٌ إلى,In greater need of something,في حاجة أكبر إلى شيء ما
أحيا الذكرى,To commemorate (a deceased person),لإحياء ذكرى (شخص متوفى)
َأحيا الليل,To burn the midnight oil,لحرق زيت منتصف الليل
ًأحيا الليل صالة,To spend the night in prayer,قضاء الليل في الصلاة
ًأحيا حفلة,To give a performance,لتقديم أداء
إحياء الموات,Cultivation of virgin land,زراعة الأراضي البكر
إحياء لذكرى,"In commemoration of, in memoriam",تخليدًا لذكرى
ًأحيانا,"Occasionally, sometimes",في بعض الأحيان، وأحيانًا
أحِيلَ إلى (على) المعاش,"To be pensioned off, be retired, be superannuated",أن تحال على التقاعد، أن تتقاعد، أن تتقاعد، أن تتقاعد، أن تتقاعد
أخبار زائفة,False reports,التقارير الكاذبة
أخبت إلى هللا,To be humble before God,أن تكون متواضعًا أمام الله
اختار هللا إلى جِواره,The Lord has taken... unto Himself,لقد أخذ الرب... إلى نفسه.
اخترق مسامعَه,To shrill in someone’s ears,الصرير في أذن شخص ما
َاخترم الصفوف,To break the ranks,لشق الصفوف
َاختطف البصر,To dazzle the eyes,لإبهار العيون
َ اختطف الكالم,"To talk rapidly, half swallowing one’s words",التحدث بسرعة، نصف ابتلاع المرء لكلماته
اختفى عن األنظار,To disappear from sight,أن تختفي عن الأنظار
اختلّ توازن ُ ه,To lose one’s balance,أن يفقد المرء توازنه
اختلّ عقل ُ ه,To be mentally deranged,أن تكون مختلاً عقلياً
اختل ّ ت الشروط,The conditions are not fulfilled,لم يتم استيفاء الشروط
ًاختلج غمّا,To be filled with sorrow,أن تمتلئ بالحزن
اختلس الخ ُ ط َ ى إلى,To sneak up on someone,للتسلل على شخص ما
( اختلس النظر إلى )في,To glance furtively at someone,إلقاء نظرة ماكرة على شخص ماكر
اختلط الحابل بالنابل,"Everything became confused, got into a state of utter confusion",أصبح كل شيء مشوشًا، ودخل في حالة من الارتباك التام
. . . اختلف باختالف,"To be different, differ according to the kind of...",أن تكون مختلفًا، تختلف باختلاف نوع...
ًاختيارا,Of one’s own accord,من تلقاء نفسه
أخذ (أعد) عدته لِـ,"To make one’s preparations for, prepare oneself for",أن يقوم المرء بالاستعدادات والاستعدادات لـ
أخذ الباخرة,"To go by boat, took a ship",للذهاب بالقارب، استقل سفينة
أخذ الثأر,To take revenge,الانتقام
أخذ ُ الرأي,"Voting, vote",التصويت، التصويت
أ ُ خِذ َ الرأيُ عليه,The matter was put to a vote,طُرح الأمر للتصويت
أخذ الشيء مأخذ الجد,To take something seriously,أن تأخذ شيئًا ما على محمل الجد
أخذ العُدَّة لِـ,To prepare to do something,الاستعداد لفعل شيء ما
أخذ العلم عنه,To study under someone,للدراسة على يد شخص ما
ُأخذ أ ُ هْبَتَه,"To make preparations, prepare oneself, get ready",القيام بالاستعدادات، وإعداد النفس، والاستعداد
أخذ أوصافَه,To take down someone’s personal description,إنزال الوصف الشخصي لشخص ما
أخذ بأسباب الحضارة الحديثة,To adopt modern civilisation,تبني الحضارة الحديثة
أخذ باألبصار,To catch everyone’s eye,للفت انتباه الجميع
(أخذ بالثأر )أخذ ثأرَه,"To take revenge, avenge oneself",الانتقام، الثأر والانتقام للنفس
أخذ بالمقابلة,To repay like for like,سداد المثل بالمثل
أخذ بالنظر,To catch the eye,للفت الأنظار
أخذ بأهداب الشيء,"To apply oneself to, attend to, engage in, cultivate, practise something",أن يطبق المرء نفسه على شيء ما أو يهتم به أو ينشغل به أو يزرعه أو يمارسه
أخذ بتالبيبه,"To collar someone, seize someone by the collar",لتطويق شخص ما، أمسك شخصًا ما من طوقه
أخذ بحرفية القانون,To hold to the letter of the law,التمسك بنص القانون
أخذ بخاطره,"To try to please someone, to reassure someone",لمحاولة إرضاء شخص ما، لطمأنة شخص ما
أخذ برأيه,To agree with someone,أن تتفق مع شخص ما
أخذ بعين االعتبار,"To consider seriously, bear in mind, take into consideration",للتفكير بجدية، ضع في اعتبارك أن تأخذ في اعتبارك
أخذ بمجامع القلوب,To win or captivate the hearts,لكسب أو أسر القلوب
أخذ بناصره,"To help someone, stand by someone, look after someone",مساعدة شخص ما، أو الوقوف بجانب شخص ما، أو الاعتناء بشخص ما
أخذ بناصيته,"To seize, take by the forelock, tackle properly",الاستيلاء، والأخذ من المقدمة، والمعالجة بشكل صحيح
أخذ ثأرَه,To take revenge,الانتقام
ًأخذ جذبا,"To wrest away, take away by force",انتزاع، انتزاع بالقوة
أخذ حِذرَه,"To be on one’s guard, take precautions",أن يكون المرء على أهبة الاستعداد واتخاذ الاحتياطات اللازمة
أخذ حقه,"To receive one’s due, get what one deserves",أن يحصل المرء على ما يستحقه، يحصل على ما يستحقه
أخذ حيطته,"To be on one’s guard, take precautions",أن يكون المرء على أهبة الاستعداد واتخاذ الاحتياطات اللازمة
أخذ رأيه,"To ask for someone’s opinion, consult someone",أن تطلب رأي شخص ما، استشر شخصاً ما
ًأخذ صورة,To take a picture,لالتقاط صورة
أخذ عدة الشيء,To make preparations for something,لإجراء الاستعدادات لشيء ما
ٍأ ُ خِذ َ على حينِ غِرَّة,"To be taken by surprise, be caught unaware",أن تؤخذ على حين غرة، أن تؤخذ على حين غرة
أخذ على خاطره من,"To feel offended by, take offence at",أن تشعر بالإهانة، أن تشعر بالإهانة من، أن تشعر بالإهانة من
أخذ عليه أنفاسَه,To take someone’s breath away,أن تحبس أنفاس شخص ما
أخذ عليه طريقَه,"To obstruct someone’s way, hinder someone from moving on",إعاقة طريق شخص ما، إعاقة شخص ما عن المضي قدمًا
ًأخذ عليه عهدا,To put someone under an obligation,وضع شخص ما تحت التزام
أخذ عهدا ً عليه,"To exact a promise from someone, pledge someone",أن تأخذ وعدًا من شخص ما، تتعهد لشخص ما
أخذ قياسَه,To take someone’s measure (tailor),لأخذ مقاس شخص ما (خياط)
أخذ مأخذ فالن,"To adopt the same course as someone, follow someone’s example",أن تتبنى نفس مسار شخص ما، اقتداءً بشخص ما
أخذ مجراه,To take its course,أن تأخذ مجراها
أخذ مجلسَه,"To take one’s seat, to sit down",أن يجلس المرء في مقعده ويجلس
أخذ منه كلَّ مأخذ,"To completely overcome, overpower, seize someone (fatigue, emotion, sensation...)",للتغلب على شخص ما والتغلب عليه والاستيلاء عليه (التعب، العاطفة، الإحساس...)
ًأخذ منه مأخذا,"To seize someone, take possession of someone (a sensation or the like)",الاستيلاء على شخص ما، الاستيلاء على شخص ما (إحساس أو ما شابه ذلك)
أ َ خذ َ نَفَسَه,To draw breath,لالتقاط الأنفاس
أخذ وأعطى مع,"To do business, deal with, maintain relations with",القيام بأعمال تجارية، والتعامل مع، والحفاظ على العلاقات مع
أخذ وجه العَروسة,To consummate marriage,لإتمام الزواج
ًأخذ وجها,"To win respect, gain prestige",لكسب الاحترام، واكتساب الهيبة
ٌّأخذ ٌ ورد,"Discussion, debate",المناقشة والنقاش
ٌأخذ وعَطاء,"Give and take, trade, dealings",الأخذ والعطاء والتجارة والتعاملات
ًأخَذَتْ عَيْنِي كتابا,I caught sight of a book,لفت نظري كتاب
أخذتني بين أحضانها,She took me in her arms,أخذتني بين ذراعيها
ُأخذ َ نَا المطر,We got caught in the rain,لقد علقنا في المطر
أخذه العَجَب,He was overcome with astonishment,لقد غلبته الدهشة
أخذه النوم,Sleep overwhelmed him,غلبه النوم
أخذه بالحسنى,"To be friendly, be nice to someone",أن تكون ودوداً ولطيفاً مع شخص ما
أخذه بحذافيره,"He took all of it, lock, stock and barrel",لقد استولى عليها كلها، بكل ما فيها من أموال، وسرقها كلها
أخذه بذنبه,To punish someone for his offence,معاقبة شخص ما على جريمته
( أخذه بمَخ ْ نَقِه )بخِناقِه,"To grab someone by the throat, to have power over someone",أن تمسك بشخص ما من رقبته، أن يكون لديك سلطة على شخص ما
أخذه بيده,"To help someone, stand by someone",لمساعدة شخص ما، والوقوف بجانب شخص ما
أخذه على عاتقه,"To shoulder something, take something upon oneself, assume something",تحمل شيء ما، أخذ شيء ما على عاتقه، تحمل شيء ما على عاتقه، تحمل شيء ما
اآلخَر,The other,الآخر
آخرَ األمر,"Eventually, finally, in the end, after all",في النهاية، أخيرًا، في النهاية، بعد كل شيء
ًأخرج ريحا,To break wind,لكسر الريح
أخرج ما عنده من بِضاعة,He said what he had intended to say,قال ما كان ينوي قوله
اخرج من هنا,Get out of here!,اخرج من هنا!
أخرجه الحزن عن طوقه,Grief drove him out of his mind,أفقده الحزن عقله
أخرجه عن طوره,"To upset, discompose, disconcert someone",لإزعاج شخص ما أو إرباكه أو إرباكه أو إرباكه
أخرجه من ثروته,"To rob someone of his property, dispossess",تجريد شخص ما من ممتلكاته ونزع ملكيته
أخرجه من صبغته,"To change, disfigure someone or something",تغيير أو تشويه شخص ما أو شيء ما
اخ ْ سَأ ْ إليك,Beat it! Scram!,انصرف! انصرف!
أخصّ الخاصَّة,"The most select elite, the crème de la crème",النخبة المنتقاة، النخبة المختارة، صفوة النخبة
َأخطأ اللفظ,To mispronounce,أن تخطئ في النطق
أخطأ بين الشيئين,"He confused the two things, he mistook one thing for the other",خلط بين الشيئين، خلط بين الشيئين، خلط بين أحد الشيئين بالآخر
أخطأ فأله,"His expectations do not come true, are not fulfilled",لا تتحقق توقعاته، لا تتحقق توقعاته، لا تتحقق توقعاته
أخطأ في استنتاجاته,He drew the wrong conclusions,استخلص استنتاجات خاطئة
أخطأه التوفيق,"He failed, was unsuccessful",لقد فشل، ولم ينجح
ُأخطأه الشيء,He lacked it,كان ينقصه
أخفّ الضررين,The lesser of two evils,أهون الشرين
ًأخفق إخفاقا ذريعا,To fail miserably,أن تفشل فشلاً ذريعاً
َأخفى الصوت,To lower one’s voice,أن يخفض المرء صوته
أخالط من الناس,"Common people, rabble",عامة الناس، الرعاع
أخلد إلى الراحة,To rest,للراحة
أخلص هلل دينَه,To worship God faithfully and sincerely,أن نعبد الله بأمانة وإخلاص
َّأخلص له الحُب,To love someone dearly,أن تحب شخصًا عزيزًا
أخلص له النية,To be loyally attached to someone or something,أن تكون مرتبطًا بإخلاص بشخص ما أو شيء ما
َ أخلف الرجاء,To disappoint one’s hopes,أن يخيب المرء آماله
أخلف وعدَه,"To fail to keep one’s promise, to go back on one’s word, to break his word",أن لا يفي المرء بوعده، أن يخلف وعده، أن يخلف وعده، أن يخلف وعده
أخلى السبيلَ لِـ,To open the way for,لفتح الطريق أمام
أخلى بينه وبين ما يقول,"To let someone say whatever he likes, let someone talk freely",السماح لشخص ما بقول ما يحلو له، السماح لشخص ما بالتحدث بحرية
أخلى سبيل َ ه,To release someone,لتحرير شخص ما
أخلى سمعَه لِـ,"To be all ears for, listen intently to",أن تكون كل آذانك صاغية وتستمع باهتمام إلى
أخلى طرفَه,To exonerate someone,لتبرئة شخص ما
ًأخلى مكانا,To make room,لإفساح المجال
أخو الخير,Benevolent person,شخص محب للخير
أخو ثقة,Trustworthy,جدير بالثقة
أخوه ألبيه وأمه,"His brother on the paternal and maternal side, his brother- german, his full brother",شقيقه من جهة الأب والأم، وأخوه من جهة الأب والأم، وأخوه من الأم، وأخوه من الأم، وأخوه من الأب
أخيار الناس,"The best people, the best of all people",أفضل الناس، أفضل الناس جميعًا
ًأخيراً وليس آخرا,Last but not least,وأخيراً وليس آخراً
. . . أدار نظره في,To let one’s eyes roam over...,أن يترك المرء عينيه تتجول في...
إدانة شديدة الل ّ هجة,A strong condemnation,إدانة قوية
أدبر النهار,The day is over,انتهى اليوم
أدبر عن شخص,To turn one’s back on somebody,أن يدير المرء ظهره لشخص ما
إدخال تعديالت,Inserting amendments,إدراج التعديلات
ًادّخر ماال,To save money,لتوفير المال
أدخل تعديالت,To amend,للتعديل
ادخل تغييرا ً على,To bring about a change in,لإحداث تغيير في
أدخل شخصا إلى المستشفى,To admit someone to hospital,لإدخال شخص ما إلى المستشفى
