Idiom,Meaning
ات ّ بع سياسة,To pursue a policy
ًاتّبع مذهباً فقهيّا,To follow a school of Islamic law
ات ّ بع يمينَه,To keep to the right
اتحاد اآلراء,"Unanimity, uniting of views"
اتحاد الكلمة,"Concord, agreement, harmony"
ات ّ خذ التدابير الالزمة,To take the necessary measures
ات ّ خذ المعلول علة,To mistake cause and effect
َات ّ خذ المُن َ اسِب,To act in a suitable or appropriate manner
ات ّ خذ المواقع الجديدة,To take up new positions (troops)
ات ّ خذ خطوةً حاسمة,To take a decisive step
ًاتّخذ شكال,To take a form or shape
ًاتّخذ قرارا,To pass or adopt a resolution
ًاتّخذ منه نِبراسا,"To take someone as an example, model someone after someone"
ات ّ خذ منه وسيلة ً لِـ,To regard something as an expedient for
ًاتّخذ موقفا,"To take an attitude, assume a position"
ات ّ ساع في الكالم,Vagueness of expression
ات ّ سع الخرق على الراقع,The rent is beyond repair
اتصل به تلفونيا,To get in touch with someone by telephone
اتصلت به النار,To catch fire
أتعب سرَّه,"To trouble, worry, bother, harass someone"
اتقد غيرةً (حماسا ً ) على,To burn with zeal (energy) for
اتماما ً للنصاب,"So as to complete the number, in order to round off the amount"
ًأتى (جاء) شيئاً فريا,"To do something unheard of, do an unprecedented thing"
ُآتى أ ُ ك ُ ل َ ه,To bear fruit
أتى ب,"To bring, produce, advance"
أتى بجديد,To come out with something new
أتى على األخضر واليابس,"To destroy everything, wreak havoc"
أتى متلصصا ً إلى,"To steal, to sneak up to"
أتيحَ له التوفيق,"He met with success, he was successful"
أتيحت له الفرصة,"He was given the opportunity, he had the chance"
ُأثار ثائرَتَه,"To infuriate someone, excite someone"
ًأثار غبارا,To stir up dust
ًأثار مسألة,"To bring up a question, a problem"
َأثبت الشخص,"To determine someone’s identity, identify someone"
َ أثبت الكالم,To fix the precise wording of a text
أثبت شخصيتَه,To prove one’s identity
أثبته في الورق,"To put something down in writing, get something on paper"
أثخن في العدو,To massacre the enemy
أثخنه بالجراح,To weaken someone by inflicting wounds
ًأثخنه ضربا,"To wallop someone, give someone a sound thrashing"
أثقل كَاهل َ ه,To burden someone or something
أثكل األ ُ مَّ ولدَها,To bereave a mother of her son
أثلج صدرَه,"To delight, please, gratify someone"
أثلجت السماء,"It snowed, was snowing"
أثمان ال تقبل المزاحمة,Prices that are beyond competition
أثناء ذلك,"During, meanwhile, in the course of"
أثنى عليه عاطرَ الثناء,"To speak in the most laudatory terms of someone, to extol someone to the skies"
أثير عند,"Favoured, preferred"
أجاب إلى طلبه,"To comply with someone’s request, to respond to someone’s demands"
إجابة ً لطلبكم,In answer to your request
أجاد العزفَ على,To play (an instrument)
ًأجادَ لغة,To master a language
أجال الرأيَ في,"To weigh something thoroughly, ponder something"
َأجال النظر,"To let one’s eyes wander about, look around"
اجتاز العقبات,To overcome obstacles
َاجتازت شهرت ُ هُ اآلفاق,His fame spread throughout the world
اجترّ آالمه,To mull over one’s grief
اجترح السيئات,To do evil things
اجتروا أحاديث َ هم,"They chewed the old cud over, kept saying the same things"
. . . اجتمعت كلمت ُ هم على,"They united, joined forces, came to an agreement, they were agreed that..."
أجّج النار,"To light, kindle, start (a fire)"
ًأجدى نفعا,To be useful
أجر المثل,Adequate payment or wages
أجر زهيد,A mere pittance
إجراء العمل بِـ,"Enforcement, implementation of something"
إجراءات رادعة,Deterrence measures
أجراه مجرى,"To treat something in the same manner as, put something on equal footing with"
أجرة النقل,"Transport charges, cartage, carriage, freight"
أجرضه بريقه,"To alarm someone, fill someone with apprehension"
أجرى ألسنتَهُم بِـ,"He brought them to the expression of..., caused them to voice or utter something"
ًأجرى تجربة,To carry out an experiment
ًأجرى تحقيقا,To conduct an investigation
ًأجرى حديثا,To conduct an interview
ًأجرى سرا,To dispense a sacrament
ًأجرى له إعانة,To grant someone a subsidy
َ أجزل له العطاء,"To give generously, open- handedly"
إجماع في الرأي,Consensus
. . . اإلجماع منعقد على أن,There is general convocation that...
. . . إجماال لذلك أقول,To sum up I would say...
أجمعوا أمرَهم,They made a joint decision
أجهد فكرَهُ في,To put one’s mind to
أجهدَ نفسَه,To exert oneself
أجهش بالبكاء,To burst into tears
أجهضت نفسَها,She induced an abortion
أجور الدراسة,Tuition fees
أجور السفر,Fares
آحاد األلوف,A few thousand
أحادي البعد,One-dimensional
أحاديث النفس,"Premonition, bright expectation"
أحاط به االلتباس,"To be wrapped in obscurity, be completely ambiguous"
ًأحاط به علما,To know something thoroughly
إحاطة بِـ,"Familiarity with, acquaintance with"
أحاطه علما بِـ,He let him know about
. . . أحب له أن,To like about someone that he...
ًأحبّه حُبّاً جَمّا,To be more than found of
ًاحتدم غيظا,"To burn with wrath at, over"
احتراسا ً من,Protection from or against
! ْاحتَرِس,Caution!
احترم نفسَه,To be self-respecting
احتسب عند هللا الشيء,To sacrifice something in anticipation of God’s reward in the hereafter
ًاحتسب ولدا,"To give a son, be bereaved of a son"
َا ُ حت ُ ضِر,To die
احتفظ بالوفاء لِـ,To remain loyal to someone
احتفظ بحقوقه,"To maintain, uphold one’s rights"
احتفظ لنفسه,"To keep, appropriate, reserve for oneself"
احتقن وجهُه,"His face turned red, his face was flushed"
احتكّ في صدره,"It impressed him, affected him, touched something inside him"
احتلّ أعمال َ ه,To take over someone’s functions
احتلّ المكانَ األول,To occupy the foremost place
ًاحتلّ مكاناً مكينا,"To have or hold a strong, powerful position"
احتماالت,"Probabilities, possibilities"
أحدّ النظرَ إلى,"To look sharply at, stare at"
أحدّ بصرَه في,To scrutinise
أحدّ من بصرِه,To glance sharply
أحداث متزامنة,Simultaneous event
ًأحدث حدثا,"To bring about something evil, do mischief (Islamic Law, to commit a ritual impurity)"
أحدق النظر,To fix one’s glance on
أحرج موقفَه,"To put someone under pressure, threaten someone’s position"
(أحرز قصَبَ السبق )والغَلب,"To come through with flying colours, carry the day, score a great success"
( ً أحرز نصرا ً )انتصارا,To win a victory
. . . أحرق فحمةَ ليله في,"To spend the night doing something, burn the midnight oil over..."
أحسّ بالذنب,To feel guilty
إحساس االنحطاط,Sense of inferiority
األحسن,"The best outcome, the happy ending"
َأحسن االختيار,To make a good choice
أحسن التسديد,To aim accurately
أحسن الظن بِـ,To have a good opinion of
أحسن تطبيقَه,To make a good practical application of something
أحسن حاال منهم,Better off than they are
أحسن فهمَه,To grasp or understand something well
أحسن مشورتَه,To give good advice
أحسن معاملتَه,To treat someone well
!أحسنت,Well done! Bravo!
أحضره معه,To bring something along
َّأحقّ الحق,To help truth come into its own
أحق ّ ا ً ذلك؟,Is that really so? Really?
أحكام هللا,God’s commands
َأحكم السدود,To erect solid barriers
أحكمَ أمرَه,"To do something carefully, thoroughly"
أحكمَ تدابيرَه,"To plan one’s actions precisely, organise well"
أحكم ربط َ ه,To tie up something tightly
ِأحكم ق َ ف ْ لَ الباب,To lock the door firmly
ًأحكم لغة,To master a language
أحل الشيءَ محلَّ العناية,To pay attention to something
أحل ّ ه محل َّ ه,To cause someone or something to take the place of someone or something else
أحمر قان,"Blood-red, deep-red"
أحوجٌ إلى,In greater need of something
أحيا الذكرى,To commemorate (a deceased person)
َأحيا الليل,To burn the midnight oil
ًأحيا الليل صالة,To spend the night in prayer
ًأحيا حفلة,To give a performance
إحياء الموات,Cultivation of virgin land
إحياء لذكرى,"In commemoration of, in memoriam"
ًأحيانا,"Occasionally, sometimes"
أحِيلَ إلى (على) المعاش,"To be pensioned off, be retired, be superannuated"
أخبار زائفة,False reports
أخبت إلى هللا,To be humble before God
اختار هللا إلى جِواره,The Lord has taken... unto Himself
اخترق مسامعَه,To shrill in someone’s ears
َاخترم الصفوف,To break the ranks
َاختطف البصر,To dazzle the eyes
َ اختطف الكالم,"To talk rapidly, half swallowing one’s words"
اختفى عن األنظار,To disappear from sight
اختلّ توازن ُ ه,To lose one’s balance
اختلّ عقل ُ ه,To be mentally deranged
اختل ّ ت الشروط,The conditions are not fulfilled
ًاختلج غمّا,To be filled with sorrow
اختلس الخ ُ ط َ ى إلى,To sneak up on someone
( اختلس النظر إلى )في,To glance furtively at someone
اختلط الحابل بالنابل,"Everything became confused, got into a state of utter confusion"
. . . اختلف باختالف,"To be different, differ according to the kind of..."
ًاختيارا,Of one’s own accord
أخذ (أعد) عدته لِـ,"To make one’s preparations for, prepare oneself for"
أخذ الباخرة,"To go by boat, took a ship"
أخذ الثأر,To take revenge
أخذ ُ الرأي,"Voting, vote"
أ ُ خِذ َ الرأيُ عليه,The matter was put to a vote
أخذ الشيء مأخذ الجد,To take something seriously
أخذ العُدَّة لِـ,To prepare to do something
أخذ العلم عنه,To study under someone
ُأخذ أ ُ هْبَتَه,"To make preparations, prepare oneself, get ready"
أخذ أوصافَه,To take down someone’s personal description
أخذ بأسباب الحضارة الحديثة,To adopt modern civilisation
أخذ باألبصار,To catch everyone’s eye
(أخذ بالثأر )أخذ ثأرَه,"To take revenge, avenge oneself"
أخذ بالمقابلة,To repay like for like
أخذ بالنظر,To catch the eye
أخذ بأهداب الشيء,"To apply oneself to, attend to, engage in, cultivate, practise something"
أخذ بتالبيبه,"To collar someone, seize someone by the collar"
أخذ بحرفية القانون,To hold to the letter of the law
أخذ بخاطره,"To try to please someone, to reassure someone"
أخذ برأيه,To agree with someone
أخذ بعين االعتبار,"To consider seriously, bear in mind, take into consideration"
أخذ بمجامع القلوب,To win or captivate the hearts
أخذ بناصره,"To help someone, stand by someone, look after someone"
أخذ بناصيته,"To seize, take by the forelock, tackle properly"
أخذ ثأرَه,To take revenge
ًأخذ جذبا,"To wrest away, take away by force"
أخذ حِذرَه,"To be on one’s guard, take precautions"
أخذ حقه,"To receive one’s due, get what one deserves"
أخذ حيطته,"To be on one’s guard, take precautions"
أخذ رأيه,"To ask for someone’s opinion, consult someone"
ًأخذ صورة,To take a picture
أخذ عدة الشيء,To make preparations for something
ٍأ ُ خِذ َ على حينِ غِرَّة,"To be taken by surprise, be caught unaware"
أخذ على خاطره من,"To feel offended by, take offence at"
أخذ عليه أنفاسَه,To take someone’s breath away
أخذ عليه طريقَه,"To obstruct someone’s way, hinder someone from moving on"
ًأخذ عليه عهدا,To put someone under an obligation
أخذ عهدا ً عليه,"To exact a promise from someone, pledge someone"
أخذ قياسَه,To take someone’s measure (tailor)
أخذ مأخذ فالن,"To adopt the same course as someone, follow someone’s example"
أخذ مجراه,To take its course
أخذ مجلسَه,"To take one’s seat, to sit down"
أخذ منه كلَّ مأخذ,"To completely overcome, overpower, seize someone (fatigue, emotion, sensation...)"
ًأخذ منه مأخذا,"To seize someone, take possession of someone (a sensation or the like)"
أ َ خذ َ نَفَسَه,To draw breath
أخذ وأعطى مع,"To do business, deal with, maintain relations with"
أخذ وجه العَروسة,To consummate marriage
ًأخذ وجها,"To win respect, gain prestige"
ٌّأخذ ٌ ورد,"Discussion, debate"
ٌأخذ وعَطاء,"Give and take, trade, dealings"
ًأخَذَتْ عَيْنِي كتابا,I caught sight of a book
أخذتني بين أحضانها,She took me in her arms
ُأخذ َ نَا المطر,We got caught in the rain
أخذه العَجَب,He was overcome with astonishment
أخذه النوم,Sleep overwhelmed him
أخذه بالحسنى,"To be friendly, be nice to someone"
أخذه بحذافيره,"He took all of it, lock, stock and barrel"
أخذه بذنبه,To punish someone for his offence
( أخذه بمَخ ْ نَقِه )بخِناقِه,"To grab someone by the throat, to have power over someone"
أخذه بيده,"To help someone, stand by someone"
أخذه على عاتقه,"To shoulder something, take something upon oneself, assume something"
اآلخَر,The other
آخرَ األمر,"Eventually, finally, in the end, after all"
ًأخرج ريحا,To break wind
أخرج ما عنده من بِضاعة,He said what he had intended to say
اخرج من هنا,Get out of here!
أخرجه الحزن عن طوقه,Grief drove him out of his mind
أخرجه عن طوره,"To upset, discompose, disconcert someone"
أخرجه من ثروته,"To rob someone of his property, dispossess"
أخرجه من صبغته,"To change, disfigure someone or something"
اخ ْ سَأ ْ إليك,Beat it! Scram!
أخصّ الخاصَّة,"The most select elite, the crème de la crème"
َأخطأ اللفظ,To mispronounce
أخطأ بين الشيئين,"He confused the two things, he mistook one thing for the other"
أخطأ فأله,"His expectations do not come true, are not fulfilled"
أخطأ في استنتاجاته,He drew the wrong conclusions
أخطأه التوفيق,"He failed, was unsuccessful"
ُأخطأه الشيء,He lacked it
أخفّ الضررين,The lesser of two evils
ًأخفق إخفاقا ذريعا,To fail miserably
َأخفى الصوت,To lower one’s voice
أخالط من الناس,"Common people, rabble"
أخلد إلى الراحة,To rest
أخلص هلل دينَه,To worship God faithfully and sincerely
َّأخلص له الحُب,To love someone dearly
أخلص له النية,To be loyally attached to someone or something
َ أخلف الرجاء,To disappoint one’s hopes
أخلف وعدَه,"To fail to keep one’s promise, to go back on one’s word, to break his word"
أخلى السبيلَ لِـ,To open the way for
أخلى بينه وبين ما يقول,"To let someone say whatever he likes, let someone talk freely"
أخلى سبيل َ ه,To release someone
أخلى سمعَه لِـ,"To be all ears for, listen intently to"
أخلى طرفَه,To exonerate someone
ًأخلى مكانا,To make room
أخو الخير,Benevolent person
أخو ثقة,Trustworthy
أخوه ألبيه وأمه,"His brother on the paternal and maternal side, his brother- german, his full brother"
أخيار الناس,"The best people, the best of all people"
ًأخيراً وليس آخرا,Last but not least
. . . أدار نظره في,To let one’s eyes roam over...
إدانة شديدة الل ّ هجة,A strong condemnation
أدبر النهار,The day is over
أدبر عن شخص,To turn one’s back on somebody
إدخال تعديالت,Inserting amendments
ًادّخر ماال,To save money
أدخل تعديالت,To amend
ادخل تغييرا ً على,To bring about a change in
أدخل شخصا إلى المستشفى,To admit someone to hospital
أدراج الريّاح,Be in vain
أدرج شخصا في القائمة السوداء,To blacklist somebody
أدرج نقطة في جدول األعمال,To include an item in the agenda
َأدرك الموضوع,He got the point
أدرك شيئا ً تمام االدراك,To be fully aware of something
ُأدركه العفاء,"To fall into disuse, pass out of use"
ادّعاء باطل,A false allegation
ادّعاءات كاذبة,False allegations
أدلى بتصريح,To make a statement
أدلى بحجّة,To put forward an argument
أدلى بدلوه في,To make one’s contribution
أدّى السالم,"To greet, salute"
أدّى الشهادة,"To testify, give evidence"
ًأدّى امتحانا,To take an examination
ًأدّى خدمة,To render a service
ًأدّى رسالة,To fulfil a mission
ًأدّى فريضة الصالة حاضرة,To perform the prescribed prayer promptly and on time
أدّى مأمورية,To accomplish a task
أدّى واجبَه,To do one’s duty
ًأدّى وظيفة,"To fulfil a function, to fill a post"
ًأدّى يمينا,To take an oath
أديم األرض,The surface of the earth
أديم الغبراء,"Lithosphere, earth’s crust"
. . . إذا صح ما قالته الجرائد من أن,"If what the newspapers say is true, namely that..."
. . . إذا لم يكن بدٌّ من أن,If it is inevitable that...
أذاع األخبار,To broadcast news
ًأذاع برنامجا,To broadcast a programme
إذاعة تلفزيونيّة,TV broadcast
أذاقه األمرين,To cause him trouble
أذعن لحكم,To accept a verdict
أذعن لقرار,To respect a decision
أذعن لمطالبه,To give into his demands
أذكى نار الثورة,To fan the flames of revolution
آذن الليل بانتصاف,It was close to midnight
( آذن بالسقوط )بالزوال,To show signs of the imminent downfall (end)
أذ ّ ن بالصالة,To call to prayer
آذنت الشمس بالمغيب,The sun was about to set
األراضي الواطئة,The Netherlands
أراق ماء وجهه,"To sacrifice one’s honour, abase oneself, disgrace someone"
أرباب الكارات,"Artisans, craftsmen"
أرباح طائلة,Vast profits
ارتباط شخصي,Personal connection
ارتباط وثيق,A strong commitment
ارتدّ على عقبيه,"To withdraw, retreat"
ارتدّ عن دينه,To abandon his religion
ارتدوا على أعقابهم,"To withdrew, turn back"
ارتدى مالبس,To get dressed
(ارتعدت فرائصه )فريصته,"To be terrified, violent fear or excitement seized him"
ارتعش من الحمى,To shake with fever
ارتعش من الخوف,To tremble with fear
ارتفاع مستوى سطح البحر,A rise in sea level
ارتقى على العرش,To ascend the throne
ًارتقى منبرا,To mount the pulpit
ًارتكب خطأ,To make a mistake
ًارتكب ذنبا,To commit an offence
ارتكب مذبحة,To commit a massacre
ارتكز على عصاه,To lean on one’s cane
ارتمى على شخص,To throw oneself at somebody’s feet
األرجح أن,"It is most likely, probably"
إرسال الرسائل,Sending letters
إرسال بالبريد,Sending through the mail
أرسل إشارات,To send out signals
أرسل رسالة,To dispatch a letter
أرسل صيحات,To utter cries
أرسل كتابا ً تِلو كتاب,To send letter after letter
أرصدة مجمّدة,Frozen assets
أرض شديدة,Solid or firm ground
أرض قفر,Wasteland
أرضعني أفاويق بِرِّه,He showered me with kindness
ًأرفق ملفا,To attach a file
ًأرقى كعبا,"Abler, more capable, more qualified"
ّإرهاق عصبي,Stress
أرهق أعصابه,To strain one’s nerves
ًأرهق شخصا,To exhaust somebody
أ ُ رهق من شيء,To be worn out by something
أزاغ عني بصره,"He looked past me, he snubbed me"
ًأزال شيئا,To get rid of something
أزال عراقيل,To remove obstacles
إزالة الشكوك,Dispelling doubts
ازدجر عن المنكر,To abstain from vice
ازدحام خانق,Heavy traffic
ازدهار اقتصادي,Economic boom
ازدواج الشخصية,Split personality
ّازدواج لغوي,Diglossia
ّازدياد تدريجي,Gradual increase
ازدياد مط ّ رد,Steady increase
أزعج صديقه,To disturb his friend
أزمع على السفر,He decided to travel
األزمنة الغابرة,"Old times, ancient times"
أساء استعماله,"To abuse, misuse, misemploy something"
أساء الظن بِـ,To misjudge
أسارير الوجه,"Features, facial expression"
ًأساسا,Primarily
أسال أودية ً من الحبر,To pour forth floods of ink
أسأله سؤل َ ه,"To fulfil someone’s wish, comply with someone’s request"
أسباب الراحة,Luxury
أسبغ الوضوء,To perform the ritual ablution properly
( ً أسبوعي )أسبوعيا,Weekly
استاذ كرسي,Full professor
استأصل شأفتَه,"To eradicate something, eliminate something radically"
استباح حرمتَه,To hurt someone’s honour
استباح دمَه,"To proscribe, outlaw someone"
. . . استبان له أن,It became clear to him that...
ًاستبشر به خيرا,To regard something as auspicious
َا ُ سْت ُ بْعِد,"To be eliminated, drop out (in a competition)"
استتب له األمر,Everything went well with him
. . . استتلى يقول,"He went on saying, he continued with the words..."
ُاستثار غضبَه,To make someone angry
استثقل ظِل َّ ه,"To find someone unbearable, dislike someone"
استجابة ً لِـ,"In deference to, in answer to"
استجمّ عافيتَه,To recuperate
استجمع أفكارَه,To gather one’s thoughts
استجمع ق ُ وَاه,To gather one’s strength
َا ُ ست ُ حْسِن,"To be good, commendable"
استحسن اإلنجليزية,To know English well
استحيى من,"To be ashamed of something, to feel embarrassed by"
استخار هللاَ في,To ask God for proper guidance in
ُاستخفت به الحماسة,He got carried away by enthusiasm
ُاستخف ّ ه الط َّ رَب,He was beside himself with joy
ًاستخلص دروسا,To learn a lesson
استخلص فائدةً من,"To derive benefit from, profit from"
ًاستخلص منه وعدا,To exact a promise from someone
َّاستدر األكُف,To secure generous contributions
استدرج شخصا ً لالعتراف بشيء,To get somebody to admit doing something
ّاستدرجه إلى الفخ,To lure him into the trap
ًاستدعى شاهدا,To call a witness
استدعى شخصا ً للمثول أمام المحكمة,To summon somebody to appear in court
ًاستدعى متّهما,To summon the suspect
استراحة قصيرة,A short break
(استرجع وعيَه )عاد إلى وعيه,To regain consciousness
استردّ شيئا ً من شخص,To reclaim something from somebody
استردّ قوته,To regain his strength
استرسل في الكالم,To speak at great length
استرق األنفاس,"To gasp, pant"
استرق السمع,"To eavesdrop, to monitor (radio, telephone...)"
استرق النظر إليه,"To glance furtively at someone, give someone a surreptitious look"
ًاستشاط غضبا,"To be or become fuming with rage, flare up, fly off the handle"
َا ُ سْت ُ ش ْ هِد,"To be martyred, die as a martyr"
استشهد على معنى كلمة ببيت,To attest the meaning of a word by a verse
ًاستصدر حكما,"To bring about, obtain something, especially a legal judgement"
ًاستصدر مرسوما,To issue an ordinance
استصغر نفسَه,To feel inferior
استصفى مال َ ه,"To realise all one’s assets, to confiscate someone’s property"
(استطاب )استطيب( )ه,"To find or deem something pleasant, good, agreeable"
. . . استطرد من ذلك إلى قوله أن,"Thereupon he proceeded to speak about..., then he broached the subject of..., after that he went on to say that..."
استطالع للرأي,"Poll, survey"
استطلع خبرَه,To seek information about someone or something
استطلعه رأيه,"To consult someone, ask someone’s advice or opinion"
َا ُ ست ُ طِير,To be terrified
ُا ُ ست ُ طِيرَ عقل ُ ه,To got out of one’s mind (with astonishment or fright)
استعطف خاطرَه,"To seek to conciliate, propitiate or win over someone"
استعمل معه وسائل القسوة,He brought severe measures to bear upon him
استعمل وسائل القسوة معه,He brought harsh measures to bear on him
استغرق في الضحك,To continue to laugh
استغشى ثيابَه,To hide one’s head in one’s clothes so as not to see or hear
َ استغفر هللا,I ask God’s forgiveness!
ُ استغلق عليه الكالم,"He was unable to speak, he was dumb-struck, he was speechless"
استغنم الفرصة,To cease the opportunity
استفرغ مجهودَه,"To exert oneself, make every effort"
استقال من,"To resign, tender one’s resignation"
استقام في,"To keep, stick to something"
. . . استقام له الكالمُ في,"He said the right thing about..., he talked sense about..."
ًاستقباال,In the future
. . . استقر الرأي على,"It was decided to..., a resolution was passed on something, the decision was reached to..."
. . . استقر أمرُه على,"He finally became..., he ended up as..."
استقر به الحال,"To be firmly established, be in a secure position"
ُاستقر به المجلس,"To sit down, get seated"
( استقر به المقام )المكان,"To settle down permanently, to sit down, not move from one’s seat"
. . . استقر خاطره على,His mind dwelled on...
. . . استقر رأيُه على,"To make up one’s mind, decide to..."
استقر في نفسه,"To be a positive fact with someone, be beyond doubt for someone"
استقراء,"Investigation, examination"
استقرت األمور في نصابها,"Things were straightened out, returned to normal"
استقرت له األمور,His situation had stabilised
استقل بحمل,To assume a burden
استقل بصنعه,"He alone made it, he was the only one who made it"
(استقل بمُهِمَّة )بواجب,To assume a task (or duty)
استقل بنفسه,"To be entirely self-reliant, be left to one’s own devices, to be independent, manage without others, get along by oneself"
استكثر بخيره,To thank someone
استل سيفَه,"To unsheathe, draw (a sword)"
استل كف َّ ه عن,To withdraw gently (something from)
(استلفت نظرَه )أنظارَه,"To arouse or attract someone’s attention, catch someone’s eye"
استماتة في,"Death defiance, desperate struggle"
استمح عذرا ً من,To apologise for something
استمر على هذه الوتيرة,He continued in this tone
استمر في اتصاله به,To keep in touch with someone
ٍ استنفد كلَّ وُسع,"To exhaust, or avail oneself of, every possibility"
استنهج سبيل َ ه,"To take one’s way, go one’s way"
استنوق الجمل,He mistook the male camel for a she-camel (proverbially of a mistake)
َاستوحي الفكرة,To let oneself be guided by the thought
استوحي موعظة من,To draw a lesson from
استودعك هللا,Farewell! God be with you!
ًاستوصى باألجر خيرا,To fix a moderate price
ًاستوصى به خيرا,"To make something one’s concern, to mean well, have the best intentions with"
استوعبه بين ذراعيه,To embrace someone with the arms
استوقف االنتباه,To arrest the attention
استوقف نظره,"To catch someone’s eye, arouse someone’s attention"
استيقظ على األذان,"He awoke over the call to prayer, he was awakened by the adhan"
أسدى الشكرَ له,"To extend one’s thanks to someone, thank someone"
أسدى إليه (له) النصح,To give someone (a word of) advice
أسدى إليه اإلرشادات,"To make suggestions to someone, advise someone"
أسدى إليه خدمة,To render someone a service
ًأسدى إليه يدا,To do someone a favour
أسدى فائدة,To be beneficial
أسر في أذنه,To whisper in someone’s ear
إسعاف العَجَزة,Care for the aged
أسعده الحظ بِـ,He had the good fortune to...
أسفّ النظر إليه,To give someone a sharp look
أسفر عن,"To end, result in"
إسقاط جنسية,Revoking of citizenship
. . . إسقاط قيمة,Devaluation of... (currency)
َأسقط الشعر,To cause loss of hair
أسقط حق َّ ه في,"To forfeit one’s right in something, waive one’s claim to something"
أسقط دعوى,"To quash a complaint, nonsuit a case, to withdraw or drop a complaint"
أسقط في يده,"To stand aghast, be at a loss, be bewildered"
أسقطه من الجنسية,To deprive someone of his citizenship
أسلوب كتابي,Literary style
اسم الكتابة,"Pen name, nom de plume"
أسوة بِـ,"Following the model or pattern of, along the lines of, in the same manner as, like"
أسود فاحم,"Pitch black, jet-black"
األسود واألحمر,All mankind
اسودّ وجهه,"To fall into discredit, be in disgrace"
أشاد بذكره,"To celebrate, praise, commend someone or something, speak in glowing terms of someone or something"
أشباه عمر,"People like Omar, men of Omar’s quality"
أشباهه,"The likes of him, his kind"
اشبته على,"To be doubtful, dubious, obscure to someone"
اشبته في األمر,The matter appeared doubtful to him
أشبع الكالمَ فيه,"To speak in great detail, at great length about something, describe or explain something elaborately"
ًأشبعه تأنيبا,"To reprimand, rebuke someone severely"
ًأشبعه ضربا,To give someone a sound beating
أشبهُ بِـ,"He resembles..., more than anything else, he is just like..."
أشبَهُ شيء بِـ,Very much like...
أشبهه تمام الشبَه,To resemble something completely
أشتات المأكول,"Varieties of food, different dishes or courses of a meal"
أشتات ٌ من,"Varieties, various kinds of..."
اشتبك في,"To get entangled, embroiled, implicated in"
اشتبك في حديث,"To be drawn into a conversation, become engrossed in a discussion"
اشتبك في حرب,To become involved in a war
( اشتبك مع )بِـ,To come to blows or to grips with someone
اشتبه في,"To be in doubt about s.th, to doubt something"
اشتد ساعده,"To become strong, powerful, vigorous"
اشتدت وطأة الشيء,To aggravate
ا ُ ش ْ ت ُ رِط َ لِـ,"To be prerequisite, preconditional for"
اشترطه على,"To impose something as a condition on s.o, to stipulate s.th"
ًاشتعل رأسه شيبا,"His hair was, or turned, white"
ًاشتعل غضبا,To be flaming with rage
اشتغل به عن,To be distracted by something from
اشتغل قلبُه,"To be uneasy, apprehensive, worried"
اشتمله السواد,It was completely black
ًأشد سوادا,Blacker
ًأشد غضبا,"Angrier, more wrathful"
أشد ما يكون,"As strong as could be, extremely violent"
أشراط الساعة,To portents of the Day of Judgement
أشربه ما لم يشرب,To attribute something wrongly to someone
أشرع عينيه إلى,"To cast one’s eyes on, turn one’s glance towards"
أشرع قلمَه,"To draw one’s pen, to prepare to write"
أشرك باهلل,To set up or attribute associates to God
األشعة الكونية,Cosmic rays
أشغال شاقة,Hard labour
