Idiom,Meaning
가랑잎이 솔잎더러 바스락거린다고 한다,"더 바스락거리는 가랑잎이 솔잎더러 바스락거린다고 나무란다는 뜻으로, 자기의 허물은 생각하지 않고 도리어 남의 허물만 나무라는 경우를 비유적으로 이르는 말. "
가래 터 종놈 같다,"힘든 가래질을 억지로 하는 종과 같다는 뜻으로, 성품이 거칠고 버릇없이 굴거나 매사에 못마땅해서 무뚝뚝하게 구는 사람을 비유적으로 이르는 말. "
가려운 곳을[데를] 긁어 주듯[주다],남에게 꼭 필요한 것을 잘 알아서 그 욕구를 시원스럽게 만족시켜 줌을 비유적으로 이르는 말. 
가로 뛰고 세로 뛰다,감정이 북받쳐 이리저리 날뛰다. 
가로 지나 세로 지나,"짐을 가로로 지나 세로로 지나 등에 지기는 마찬가지라는 뜻으로, 이렇게 되든지 저렇게 되든지 마찬가지인 경우를 비유적으로 이르는 말. "
가루 가지고 떡 못 만들랴,"가루만 있으면 누구나 떡을 만들 수 있다는 뜻으로, 누구나 다 할 수 있는 일을 자랑하며 뽐내는 것을 비웃는 말. "
가루는 칠수록 고와지고 말은 할수록 거칠어진다,가루는 체에 칠수록 고와지지만 말은 길어질수록 시비가 붙을 수 있고 마침내는 말다툼까지 가게 되니 말을 삼가라는 말. 
가루 팔러 가니 바람이 불고 소금 팔러 가니 이슬비 온다,"가루 장사를 가면 바람이 불어 가루를 날리고 소금 장사를 가면 이슬비가 와서 소금을 다 녹여 버린다는 뜻으로, 일이 뜻대로 되지 않고 엇나감을 비유적으로 이르는 말. "
가리틀다,「1」잘되어 가는 일을 안되도록 방해하다. 「2」남의 횡재에 대하여 무리하게 한몫을 청하다. 
가림은 있어야 의복이라 한다,"가려야 할 데를 가려야 비로소 의복이라 할 수 있다는 뜻으로, 제가 맡은 구실을 온전히 다 해야만 그에 마땅한 대우를 받음을 비유적으로 이르는 말. "
가마가 검기로 밥도 검을까,"가마가 검다고 하여 가마 안의 밥까지 검겠느냐는 뜻으로, 겉이 좋지 않다고 하여 속도 좋지 않을 것이라고 경솔하게 판단하지 말라는 말. "
가마가 많으면 모든 것이 헤프다,"가마가 많으면 그만큼 여러 곳에 나누어 넣고 끓이게 되므로 모든 것이 헤프다는 뜻으로, 일이나 살림을 여기저기 벌여 놓으면 결국 낭비가 많아진다는 말. "
가마가 솥더러 검정아 한다,"더 시꺼먼 가마솥 밑이 덜 시꺼먼 노구솥 밑을 보고 도리어 검다고 흉본다는 뜻으로, 남 못지않은 잘못이나 결함이 있는 사람이 제 흉은 모르고 남의 잘못이나 결함만을 흉봄을 비유적으로 이르는 말. "
가마를 태우다,그럴듯하게 추어올려 얼렁뚱땅 넘어가거나 속여 넘기다. 
가마 밑이 노구솥 밑을 검다 한다,"더 시꺼먼 가마솥 밑이 덜 시꺼먼 노구솥 밑을 보고 도리어 검다고 흉본다는 뜻으로, 남 못지않은 잘못이나 결함이 있는 사람이 제 흉은 모르고 남의 잘못이나 결함만을 흉봄을 비유적으로 이르는 말. "
가마 속의 콩도 삶아야 먹는다,"가마 안에 들어간 콩도 끓여서 삶아야 먹을 수 있다는 뜻으로, 다 된 듯하고 쉬운 일이라도 손을 대어 힘을 들이지 않으면 이익이 되지 않음을 비유적으로 이르는 말. "
가마솥 밑이 노구솥 밑을 검다 한다,"더 시꺼먼 가마솥 밑이 덜 시꺼먼 노구솥 밑을 보고 도리어 검다고 흉본다는 뜻으로, 남 못지않은 잘못이나 결함이 있는 사람이 제 흉은 모르고 남의 잘못이나 결함만을 흉봄을 비유적으로 이르는 말. "
가마솥에 든 고기,꼼짝없이 죽게 된 신세를 비유적으로 이르는 말. 
가마솥이 검기로 밥도 검을까,"가마가 검다고 하여 가마 안의 밥까지 검겠느냐는 뜻으로, 겉이 좋지 않다고 하여 속도 좋지 않을 것이라고 경솔하게 판단하지 말라는 말. "
가마 안의 팥이 풀어져도 그 안에 있다,손해를 본 것 같지만 따지고 보면 손해를 본 것이 없음을 비유적으로 이르는 말. 
가마 타고 시집가기는 틀렸다,"시집을 갈 때 으레 가마를 타고 가는 것이나 그 격식을 좇아서 하지 못한다는 뜻으로, 일이 제대로 되지 않아 격식과 채비를 갖추어서 하기는 틀렸음을 비유적으로 이르는 말. "
가마 타고 시집가기는 콧집이 앙그러졌다,"시집을 갈 때 으레 가마를 타고 가는 것이나 그 격식을 좇아서 하지 못한다는 뜻으로, 일이 제대로 되지 않아 격식과 채비를 갖추어서 하기는 틀렸음을 비유적으로 이르는 말. "
가마 타고 옷고름 단다,미리 준비를 해 놓지 않아서 임박해서야 허둥지둥하게 되는 경우를 비유적으로 이르는 말. 
가만한 바람이 대목을 꺾는다,"약하게 가만가만 부는 바람이 큰 나무를 꺾는다는 뜻으로, 작고 약한 것이라고 얕잡아 보아서는 안 된다는 말. "
가만히 먹으라니까 뜨겁다 한다,「1」어긋나는 짓을 함을 비유적으로 이르는 말. 「2」남의 약점을 알고 더욱 난처하게 하는 경우를 비유적으로 이르는 말. 
가면벗다,거짓으로 꾸민 모습을 버리고 정체를 드러내다. 
가면쓰다,본심을 감추고 겉으로는 그렇지 않은 것처럼 꾸미다. 
가면을 벗기다,거짓으로 꾸민 정체를 밝히다. 
가문 날에 빗방울 안 떨어지는 날이 없다,가뭄이 계속되면서 비는 시원히 오지 않고 몇 방울 떨어지기만 한다는 말. 
가문 논에 물 대기,일이 매우 힘들거나 힘들여 해 놓아도 성과가 없는 경우를 이르는 말. 
가문 덕에 대접받는다,변변치 못한 사람이 좋은 가문에 태어난 덕분에 좋은 대우를 받는다는 말. 
가문을 흐리다,집안이나 문중의 명예를 더럽히다. 
가물 그루터기는 있어도 장마 그루터기는 없다,"가뭄은 아무리 심하여도 얼마간의 거둘 것이 있지만 큰 장마가 진 뒤에는 아무것도 거둘 것이 없다는 뜻으로, 가뭄에 의한 재난보다 장마로 인한 재난이 더 무서움을 비유적으로 이르는 말. "
가물 끝은 있어도 장마 끝은 없다,"가뭄은 아무리 심하여도 얼마간의 거둘 것이 있지만 큰 장마가 진 뒤에는 아무것도 거둘 것이 없다는 뜻으로, 가뭄에 의한 재난보다 장마로 인한 재난이 더 무서움을 비유적으로 이르는 말. "
가물에 단비,"가뭄이 들어 곡식이 다 마를 때에 기다리던 비가 온다는 뜻으로, 기다리고 바라던 일이 마침내 이루어짐을 이르는 말. "
가물에 돌 친다,"물이 없는 가뭄에 도랑을 미리 쳐서 물길을 낸다는 뜻으로, 무슨 일이든지 사전에 미리 준비를 해야 함을 비유적으로 이르는 말. "
가물에 콩나듯,"가뭄에는 심은 콩이 제대로 싹이 트지 못하여 드문드문 난다는 뜻으로, 어떤 일이나 물건이 어쩌다 하나씩 드문드문 있는 경우를 비유적으로 이르는 말. "
가뭄철 물웅덩이의 올챙이 신세,"가뭄으로 말라 버려 곧 밑바닥이 드러나고야 말 물웅덩이 속에서 우글거리는 올챙이 신세라는 뜻으로, 머지않아 죽거나 파멸할 운명에 놓인 가련한 신세를 비유적으로 이르는 말. "
가방끈길다,많이 배워 학력이 높다. 
가방끈짧다,많이 배우지 못해 학력이 낮다. 
가보 쪽 같은 양반,"노름에서 아홉 끗을 차지한 것과 같이 세상살이에서도 끗수를 가장 많이 차지한다는 뜻으로, 세도가 대단한 양반을 비유적으로 이르는 말. "
가살빼다,거만하게 가살스러운 태도를 짓다. 
가살쓰다,「1」경망스럽게 가살을 부리다. 「2」정신없고 부산스러운 행동을 하다. 
가슴앓다,안달하여 마음의 고통을 느끼다. 
가슴저미다,생각이나 느낌이 매우 심각하고 간절하여 가슴을 칼로 베는 듯한 아픔을 느끼게 하다. 
가슴치다,마음에 큰 충격을 받다. 
가슴태우다,몹시 애태우다. 
가슴펴다,굽힐 것 없이 당당하다. 
가슴에 멍이 들다[지다],마음속에 쓰라린 고통과 모진 슬픔이 지울 수 없이 맺히다. 
가슴에 불붙다,감정이 격해지다. 
가슴에 새기다,잊지 않게 단단히 마음에 기억하다. 
가슴에 손을 얹다,양심에 근거를 두다. 
가슴에 칼을 품다,상대편에게 모진 마음을 먹거나 흉악한 생각을 하다. 
가슴에 피멍들다,‘가슴에 멍이 들다[지다]’를 강조하여 이르는 말. 
가슴을 도려내다,마음을 아프게 하다. 
가슴을 뒤흔들다,마음을 들뜨게 하거나 설레게 하다. 
가슴을 불태우다,어떤 의욕이나 기세가 몹시 끓어오른 상태에서 활동하다. 
가슴을 열다,속마음을 털어놓거나 받아들이다. 
가슴을 짓찧다,마음에 몹시 심한 고통을 받다. 
가슴을 찢다,슬픔이나 분함 때문에 가슴이 째지는 듯한 고통을 주다. 
가슴을 헤쳐 놓다,마음속의 생각이나 말을 거리낌 없이 그대로 다 털어놓다. 
가슴이[가슴에] 찔리다,심한 양심의 가책을 받다. 
가슴이 넓다,이해심이 많다. 
가슴이 두방망이질하다,가슴이 몹시 세차게 두근거리다. 
가슴이 뜨겁다,깊고 큰 사랑과 배려를 받아 고마움으로 마음의 감동이 크다. 
가슴이 뜨끔하다,자극을 받아 마음이 깜짝 놀라거나 양심의 가책을 받다. 
가슴이 막히다,큰 기쁨이나 감격으로 마음속이 꽉 차다. 
가슴이 무겁다,슬픔이나 걱정으로 마음이 가라앉다. 
가슴이 무너져 내리다,심한 충격을 받아 마음을 다잡기 힘들게 되다. 
가슴이 미어지다,「1」마음이 슬픔이나 고통으로 가득 차 견디기 힘들게 되다. 「2」큰 기쁨이나 감격으로 마음속이 꽉 차다. 
가슴이 방망이질하다,심장이 몹시 두근거리다. 
가슴이 서늘하다,두려움으로 마음속에 찬 바람이 이는 것같이 선득하다. 
가슴이 숯등걸이 되다,애가 타서 마음이 상할 대로 상함을 비유적으로 이르는 말. 
가슴이 아리다,몹시 가엾거나 측은하여 마음이 알알하게 찌르는 것처럼 아프다. 
가슴이 좁다,이해심이 없다. 
가슴이 찢어지다,슬픔이나 분함 때문에 가슴이 째지는 듯한 고통을 받다. 
가슴이 콩알만 하다[해지다],불안하고 초조하여 마음을 펴지 못하고 있다. 
가슴이 타다,마음속으로 고민하여 가슴이 뜨거워지는 것 같다. 
가슴이 트이다,마음속에 맺힌 것이 풀리어 환해지다. 
가시돋다,공격의 의도나 불평불만이 있다. 
가시돋치다,‘가시(가) 돋다’를 강조하여 이르는 말. 
가시박히다,말속에 악의가 있다. 
가시세다,앙칼지고 고집이 세다. 
가시나무에 가시가 난다,모든 일은 근본에 따라 거기에 걸맞은 결과가 나타나는 것임을 비유적으로 이르는 말. 
가시나무에 연줄 걸리듯,「1」인정에 걸리어 이러지도 저러지도 못함을 비유적으로 이르는 말. 「2」친ㆍ인척 관계가 얼키설키 얽혀 있음을 비유적으로 이르는 말. 
가시 먹은 것 같다,남에게서 받거나 얻어먹은 것이 마음에 걸려 꺼림칙하다. 
가시 무서워 장 못 담그랴,다소 방해되는 것이 있다 하더라도 마땅히 할 일은 하여야 함을 비유적으로 이르는 말. 
가시밭길을 가다,힘겹고 험한 삶을 살다. 
가시아비 돈 떼어먹은 놈처럼,남에게 폐를 끼치고도 미안해하지 않는 태도를 비유적으로 이르는 말. 
가시어머니 장 떨어지자 사위 국 싫다 한다,"처갓집에 장이 떨어져서 국을 끓일 수 없게 되었는데 마침 사위가 국은 싫어서 먹지 않겠다고 한다는 뜻으로, 어떤 일이 서로 공교롭게도 때맞추어 일어남을 비유적으로 이르는 말. "
가시어미 눈멀 사위,"사위가 왔을 때에 국을 끓여 주느라 생기는 연기와 김으로 장모의 눈을 멀게 할 사위라는 뜻으로, 국을 매우 좋아하는 사람을 비유적으로 이르는 말. "
가시어미 장 떨어지자 사위가 국 싫다 한다,"처갓집에 장이 떨어져서 국을 끓일 수 없게 되었는데 마침 사위가 국은 싫어서 먹지 않겠다고 한다는 뜻으로, 어떤 일이 서로 공교롭게도 때맞추어 일어남을 비유적으로 이르는 말. "
가위다리치다,길이가 있는 물건을 ‘×’ 모양으로 서로 어긋매껴 놓다. 
가을 더위와 노인의 건강,"가을의 더위와 노인의 건강은 오래갈 수 없다는 뜻으로, 끝장이 가까워 그 기운이 쇠하고 오래가지 못함을 비유적으로 이르는 말. "
가을마당에 빗자루 몽당이를 들고 춤을 추어도 농사 밑이 어둑하다,"가을에 타작을 하여 줄 것은 주고 갚을 것은 갚고 빈손에 빗자루만 남게 되더라도 그래도 남은 것이 있다는 뜻으로, 농사일은 든든한 것임을 이르는 말. "
가을 메는 부지깽이도 덤벙인다,"「1」가을에 메는 용도가 많아 부지깽이도 메로 쓰인다는 뜻으로, 어떤 물건이 자주 쓰이어 그와 비슷한 것까지 마구 대용됨을 이르는 말. 「2」가을걷이 때에는 일이 많아서 누구나 바삐 나서서 거들게 됨을 비유적으로 이르는 말. "
가을 물은 소 발자국에 고인 물도 먹는다,가을 물이 매우 맑고 깨끗함을 비유적으로 이르는 말. 
가을바람은 총각 바람 봄바람은 처녀 바람,"가을에는 남자가 바람이 나기 쉽고, 봄에는 여자가 바람이 나기 쉬움을 비유적으로 이르는 말. "
가을바람의 새털,가을바람에 이리저리 날리는 새털처럼 매우 가볍고 꿋꿋하지 못한 것을 비유적으로 이르는 말. 
가을밭은 안 갈아엎는다,가을에 밭농사가 끝난 뒤에는 그 밭을 그대로 두는 것이 좋다는 말. 
가을볕에는 딸을 쬐이고 봄볕에는 며느리를 쬐인다,"선선한 가을볕에는 딸을 쬐이고 살갗이 잘 타고 거칠어지는 봄볕에는 며느리를 쬐인다는 뜻으로, 시어머니는 며느리보다 제 딸을 더 아낌을 비유적으로 이르는 말. "
가을비는 떡비라,"풍족한 가을에는 이것저것 먹을 것도 많으므로, 비가 와서 일하러 나가지 못하게 되는 날에는 집 안에서 넉넉한 곡식으로 떡이나 해 먹고 지내기가 쉬움을 비유적으로 이르는 말. "
가을비는 장인[시아버지/시아비]의 나룻[수염/턱] 밑에서도 긋는다,「1」가을비는 아주 잠깐 오다가 곧 그침을 비유적으로 이르는 말. 「2」그때그때의 잔걱정은 순간적이어서 곧 지나가 버림을 비유적으로 이르는 말. 
가을비는 턱 밑에서도 긋는다,「1」가을비는 아주 잠깐 오다가 곧 그침을 비유적으로 이르는 말. 「2」그때그때의 잔걱정은 순간적이어서 곧 지나가 버림을 비유적으로 이르는 말. 
가을 상추는 문 걸어 잠그고 먹는다,가을 상추는 특별히 맛이 좋음을 비유적으로 이르는 말. 
가을 식은 밥이 봄 양식이다,"먹을 것이 흔한 가을에는 먹지 않고 내놓은 식은 밥이 봄에 가서는 귀중한 양식이 된다는 뜻으로, 풍족할 때 함부로 낭비하지 않고 절약하면 뒷날의 궁함을 면할 수 있음을 비유적으로 이르는 말. "
가을 아욱국은 계집 내쫓고 먹는다,가을 아욱국이 특별히 맛이 좋음을 비유적으로 이르는 말. 
가을 아욱국은 사위만 준다,가을 아욱국이 특별히 맛이 좋음을 비유적으로 이르는 말. 
가을에 내 아비 제도 못 지내거든 봄에 의붓아비 제 지낼까,"양식이 풍족한 가을에 아버지 제사도 못 지냈는데 하물며 양식이 떨어진 봄에 의붓아버지의 제사를 지내겠냐는 뜻으로, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말. "
가을에는 대부인 마누라도 나무 신짝 가지고 나온다,가을걷이 때에는 일이 많아서 누구나 바삐 나서서 거들게 됨을 비유적으로 이르는 말. 
가을에는 부지깽이도 덤벙인다[덤빈다/뛴다],가을걷이 때에는 일이 많아서 누구나 바삐 나서서 거들게 됨을 비유적으로 이르는 말. 
가을에는 손톱 발톱이 다 먹는다,"가을에는 손톱이나 발톱까지도 먹을 것을 찾는다는 뜻으로, 가을철에는 매우 입맛이 당기어 많이 먹게 됨을 비유적으로 이르는 말. "
가을에 못 지낸 제사를 봄에는 지낼까,"양식이 풍족한 가을에 아버지 제사도 못 지냈는데 하물며 양식이 떨어진 봄에 의붓아버지의 제사를 지내겠냐는 뜻으로, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말. "
가을에 밭에 가면 가난한 친정에 가는 것보다 낫다,가을밭에는 먹을 것이 많다는 말. 
가을에 친아비 제사도 못 지냈는데 봄에 의붓아비 제사 지낼까,"양식이 풍족한 가을에 아버지 제사도 못 지냈는데 하물며 양식이 떨어진 봄에 의붓아버지의 제사를 지내겠냐는 뜻으로, 형편이 넉넉할 때 꼭 치러야 할 일도 못하는 처지인데 어려운 때에 체면을 차리기 위해서 억지로 힘든 일을 할 수는 없음을 비유적으로 이르는 말. "
가을일은 미련한 놈이 잘한다,가을 농촌 일은 매우 바쁘고 힘들기 때문에 미련한 사람처럼 꾀를 부리지 않고 묵묵히 해야 성과가 있음을 비유적으로 이르는 말. 
