Idiom,Sentence,KRIdiom,KRSentence
None,The family gathered for a meal.,None,가족들이 식사하러 모였어요.
None,She likes to write in her journal every night.,None,그녀는 매일 밤 일기를 쓰는 것을 좋아해요.
None,He is planning a trip to the mountains.,None,그는 산으로 여행을 계획하고 있어요.
None,They played board games in the evening.,None,그들은 저녁에 보드 게임을 했어요.
None,The bookstore has many interesting books.,None,서점에는 흥미로운 책들이 많이 있어요.
None,She started a new job last week.,None,그녀는 지난주에 새 일을 시작했어요.
None,He prepared breakfast for the family.,None,그는 가족을 위해 아침을 준비했어요.
None,We visited a friend’s house yesterday.,None,우리는 어제 친구 집을 방문했어요.
None,She enjoys taking photos of nature.,None,그녀는 자연 사진 찍는 것을 좋아해요.
None,He reads the newspaper every morning.,None,그는 매일 아침 신문을 읽어요.
None,They plan to renovate their house next month.,None,그들은 다음 달에 집을 리모델링할 계획이에요.
None,The library is a quiet place to study.,None,도서관은 공부하기에 조용한 장소예요.
None,She learned how to play the piano as a child.,None,그녀는 어릴 때 피아노 연주를 배웠어요.
None,He enjoys exploring new places in the city.,None,그는 도시에 있는 새로운 곳들을 탐험하는 걸 좋아해요.
None,We took a walk after dinner.,None,우리는 저녁 식사 후 산책을 했어요.
None,The restaurant serves delicious desserts.,None,그 레스토랑은 맛있는 디저트를 제공합니다.
None,She reads a lot of novels in her spare time.,None,그녀는 여가 시간에 소설을 많이 읽어요.
None,He likes to watch documentaries.,None,그는 다큐멘터리를 보는 것을 좋아해요.
None,They set up a picnic in the park.,None,그들은 공원에서 소풍을 준비했어요.
None,She is passionate about art.,None,그녀는 예술에 대한 열정이 있습니다.
None,The house has a beautiful garden.,None,그 집은 아름다운 정원이 있어요.
