Idiom,Meaning,Sentence,KR_Idiom,KR_Meaning
in the long run,in the long term; over a period of time; considering the ultimate outcome or result,"Although it might seem costly now, investing in renewable energy will save us money in the long run.",두고 보다,어떤 결과가 될지를 일정 기간 동안 살펴보다.
kick over the traces,to rebel or break free from established rules or expectations,"After years of following the corporate ladder, she finally decided to kick over the traces and start her own business.",고삐 놓은 말,"거칠게 행동하는 사람을 이르는 말.,구속이나 통제에서 벗어나 몸이 자유로움을 이르는 말."
knock someone's block off,to punch or hit someone very hard,"If he keeps bothering her, I swear I'll knock his block off!",복날 개 잡듯,몹시 심하게 때리거나 맞는 모양을 비유적으로 이르는 말.
lift the curtain,to reveal or show something that was previously hidden or secret,The investigation aims to lift the curtain on the company's corrupt practices.,뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.
meet your Waterloo,to experience a devastating defeat or failure,"After years of winning every competition, the team's loss in the finals was their Waterloo.",쓴잔을 안기다,실패나 패배 따위의 쓰라린 일을 당하게 하다.
over my head,not understanding something; beyond one's comprehension,The professor's lecture on quantum physics was completely over my head.,외 얽고 벽 친다, 사물을 이해하지 못함을 이르는 말.
over your head,"to not understand something, usually because it is too complex or difficult",The professor's lecture was so filled with technical jargon that it was completely over my head.,외 얽고 벽 친다, 사물을 이해하지 못함을 이르는 말.
play fast and loose,to behave in an irresponsible or unpredictable manner,"He tends to play fast and loose with the rules, which often gets him into trouble.",잔나비 밥 짓듯,조심성 없이 경솔하게 행동하는 경우를 비유적으로 이르는 말.
press the panic button,to become extremely anxious or panicked in a challenging or difficult situation,"When the deadline was moved up by a week, I started to press the panic button and couldn't focus on my work.",뒤웅박 신고 얼음판에 선 것 같다,몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.
read the riot act,to reprimand or scold someone severely,The teacher read the riot act to the students after they were caught cheating on the exam.,혼뜨검 만나다,몹시 꾸지람을 듣거나 벌을 받게 되다.
serve time,to be incarcerated; to spend a period of time in prison,"After being convicted of fraud, he had to serve time in prison for three years.",콩밥 먹이다,감옥살이를 하게 감옥으로 보내다.
she'll be apples,everything will be alright; there is no need to worry,"Don't worry about the test; it'll be apples, I promise!",뒤가 무사하다,어떤 일의 뒤끝에 대하여 걱정할 만한 것이 전혀 없거나 걱정을 하지 않아도 되다.
skin someone alive,to severely criticize or punish someone,The coach skinned the team alive after their lackluster performance in the championship game.,혼뜨검 만나다,몹시 꾸지람을 듣거나 벌을 받게 되다.
spill the beans,to reveal a secret or confidential information,I can't believe she spilled the beans about the surprise party before we even got a chance to celebrate!,뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.
spin a yarn,to tell a long and exaggerated story,"During our camping trip, my grandfather spun a yarn about his adventures at sea that had us all captivated for hours.",제 어미 시집오는 것 보았다는 놈과 같다, 너무도 허황한 이야기를 장담함을 비유적으로 이르는 말.
tear-jerking,"emotionally moving or highly emotional, often causing tears to be shed",The movie's tear-jerking ending left everyone in the theater sniffling and wiping their eyes.,눈뿌리가 뜨겁다,슬프거나 깊은 감동을 받아 눈물이 핑 돌면서 가슴에 강한 자극이 일어나다.
tell tales,reveal secrets or confidential information,I can't believe she would tell tales about our private discussions; I thought we had a mutual trust.,뒤가 드러나다,비밀로 하거나 숨긴 일이 나타나거나 알려지다.
the best of both worlds,having the advantages or benefits of two different things at the same time,"By working remotely while still having access to the office occasionally, she really feels like she has the best of both worlds.",굿도 볼 겸 떡도 먹을 겸,한 가지 일을 하여 두 가지 이상의 이익을 보게 됨을 비유적으로 이르는 말.
tie the knot,to get married,"After years of dating, they finally decided to tie the knot in a beautiful ceremony.",짝 맞추다,혼인을 시켜 부부가 되게 하다.
time after time,repeatedly or consistently; happening over and over again,She proved her dedication time after time by volunteering for every community event.,사돈 밤 바래기, 자꾸 반복하여 끝이 없음을 이르는 말.
under pressure,"experiencing stress, tension, or a sense of urgency",She performs exceptionally well under pressure during exams.,뒤웅박 신고 얼음판에 선 것 같다,몹시 위태로워서 불안하고 조심스러움을 비유적으로 이르는 말.
wait for the ball to drop,to wait for something significant or anticipated to happen,"I've been following the news all week, and now I’m just waiting for the ball to drop regarding the election results.",굿 구경 간 어미 기다리듯,어떤 일에 희망이 있을 때 몹시 초조하게 기다림을 비유적으로 이르는 말.
