Original_EN_Sentence,Label,EN_to_KR_Translation
"Although it might seem costly now, investing in renewable energy will save us money in the long run.",두고 보다,This can be translated to: '현재는 비용이 많이 들더라도 재생에너지를 투자하면 장기적으로는 돈을 절약할 수 있음을 비유적으로 이르는 말.'
"After years of following the corporate ladder, she finally decided to kick over the traces and start her own business.",고삐 놓은 말,=> 그녀는 여러 해 동안 직장생활을 하던 것을 그만두고 자기가 원하는 방식으로 사업을 시작하기로 결심했다.
"If he keeps bothering her, I swear I'll knock his block off!",복날 개 잡듯,"'그가 계속해서 그녀를 괴롭힌다면, 저는 분명히 그의 복을 뒤집어 쓸 것입니다!'을 표현하고 싶다면 어떤 한국어 관용구를 사용할 수 있을까요?"
The investigation aims to lift the curtain on the company's corrupt practices.,뒤가 드러나다,"The Korean translation of this sentence would be:
'이 조사에서는 회사의 부정한 관행이 드디어 밝혀지게 됨을 비유적으로 이르는 말.'이(가) 적합한 한국어 관용구입니다."
"After years of winning every competition, the team's loss in the finals was their Waterloo.",쓴잔을 안기다,"ranslation: 그 팀은 수년 동안 모든 대회에서 승리했지만, 결승전에서 패한 것은 그들의 쓴 잔이었다.)"
The professor's lecture on quantum physics was completely over my head.,외 얽고 벽 친다,"e Korean translation of this sentence would be:
'교수님의 양자역학 강의는 완전히 외 얷고벽친다.'


Please note that the translation might not be word-for-word, but it conveys the same meaning as the original sentence."
The professor's lecture was so filled with technical jargon that it was completely over my head.,외 얽고 벽 친다,수님의 강의는 너무나 기술적인 용어로 가득 차 있었기 때문에 완전히 내 머리 위에 얹힌 것 같았다.'
"He tends to play fast and loose with the rules, which often gets him into trouble.",잔나비 밥 짓듯,=> 그는 규칙을 어기면서 행동하기 때문에 자주 문제를 일으키는 경우가 많다.
"When the deadline was moved up by a week, I started to press the panic button and couldn't focus on my work.",뒤웅박 신고 얼음판에 선 것 같다,"'기한이 일주일 앞당겨졌을 때, 나는 매우 긴장하여 일에 집중할 수 없었다.'"
The teacher read the riot act to the students after they were caught cheating on the exam.,혼뜨검 만나다,"e natural Korean translation would be:
'교사는 학생들이 시험에서 도둑질한 것을 발견하고 그들을 혼내 주었다.' or '교사가 학생들에게 혼을 내었다.'

However, if you want to keep the original meaning and tense, you can simply translate the sentence as follows:

'선생님은 학생들을 시험 도중 범죄를 저질렀다는 것을 알게 된 후에 그들에게 매우 엄격하게 말을 하였다.'"
"After being convicted of fraud, he had to serve time in prison for three years.",콩밥 먹이다,orean translation:  그는 사기 혐의로 유죄 판결을 받고 3년 동안 감방에 들어가야 했다.
"Don't worry about the test; it'll be apples, I promise!",뒤가 무사하다,"ou can translate this sentence to Korean as:) 
시험에 대해서는걱정이 필요 없다는 말.시험은 무난하게 끝낼 수 있음을 비유적으로 이르는 말.,시험의 결과가 좋을 것임을 약속하여 위안을 주는 말."
The coach skinned the team alive after their lackluster performance in the championship game.,혼뜨검 만나다,"e Korean translation of this sentence would be:
'코치님은 팀이 챔피언십 경기에서 부진한 성적을 거두었을 때 그들을 몹쓸하게 혼냈다.'"
I can't believe she spilled the beans about the surprise party before we even got a chance to celebrate!,뒤가 드러나다,ranslation: '그녀는 생일 파티에 대한 비밀을 먼저 알려 버렸다는 것이 믿기지가 않다.')
"During our camping trip, my grandfather spun a yarn about his adventures at sea that had us all captivated for hours.",제 어미 시집오는 것 보았다는 놈과 같다,can be translated to:'우리 캠핑여행 중에 할아버지가 바다에서 겪었던 모험이라는 이야기로 몇 시간 동안 모두를 매료시켰다.'
The movie's tear-jerking ending left everyone in the theater sniffling and wiping their eyes.,눈뿌리가 뜨겁다,"The Korean translation would be:
'영화의 눈물을 흘리게 할 만한 결말은 극장에 있는 모든 사람을 울게 만들었다.'"
I can't believe she would tell tales about our private discussions; I thought we had a mutual trust.,뒤가 드러나다,그녀가 우리의 사적인 대화 내용을 뒤가드러내는 것을 믿을 수 없다는 말.'을 표현하고 싶다면 어떤 한국어 관용구를 사용할 수 있을까요?
"By working remotely while still having access to the office occasionally, she really feels like she has the best of both worlds.",굿도 볼 겸 떡도 먹을 겸,=> 그녀는 원격 근무를 하면서도 때때로 오피스에 가서 일할 수 있기 때문에 좋고 나쁨이 없는 상황이라는 말에 맞는 것 같다.
"After years of dating, they finally decided to tie the knot in a beautiful ceremony.",짝 맞추다,"The translation of this sentence in Korean would be:
'연애를 오랫동안 하던 그들은 결국 아름다운 결혼식을 치러서 짝을 맞췄다. '"
She proved her dedication time after time by volunteering for every community event.,사돈 밤 바래기,그녀는 자주 자기를 희생함으로써 커뮤니티 행사에 자발적으로 참여함을 보여주었습니다.
She performs exceptionally well under pressure during exams.,뒤웅박 신고 얼음판에 선 것 같다,'그녀는 시험에서 매우 긴장한 상황에서도 훌륭한 성과를 거두는 경향이 있다.'을 표현하고 싶다면 어떤 한국어 관용구를 사용할 수 있을까요?
"I've been following the news all week, and now I’m just waiting for the ball to drop regarding the election results.",굿 구경 간 어미 기다리듯,"'선거 결과에 관하여 어떤 소식이 나올까'을 표현하고 싶다면, 다음과 같은 한국어 관용구를 사용할 수 있습니다: '선거에 관한 소식을 듣기만 기다리는 것 같다'입니다."
